"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01840073","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","R. Romero","H. S. Irwin","24638","1969","03","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km south of Alto Paraíso, road to São João de Aliança","-47.52","-14.28","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1977087' target='other'> <mi>dwc_moreinfo</mi></a>","NY01840073","NY01840073_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00926149","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","J. J. Wurdack","H. S. Irwin","24481","1969","03","16","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 30 km north of Alto Paraíso de Goiás (formerly Veadeiros).","-47.5167","-13.84555","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926149","NY00926149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1551863","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","R. Romero","J. Semir","4255","1976","03","18","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros, 37 km depois de Alto de Paraiso em direção a Monte Alegre de Goiás.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412696' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551863","NY01551863_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00926148","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","J. J. Wurdack","H. S. Irwin","12402","1966","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926148","NY00926148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00926150","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","J. J. Wurdack","H. S. Irwin","24488","1969","03","16","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 30 km north of Alto Paraíso de Goiás (formerly Veadeiros).","-47.5167","-13.84555","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926150","NY00926150_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1551864","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","R. Romero","J. Semir","4256","1976","03","18","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros, 37 km depois de Alto de Paraiso em direção a Monte Alegre de Goiás.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412720' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551864","NY01551864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00926151","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","J. J. Wurdack","H. S. Irwin","24861","1969","03","21","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 10 km south of Alto Paraíso (formerly Veadeiros)","-47.5167","-14.20708","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926151","NY00926151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","229474","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack",NA,"E. Y. Dawson","14620","1956","04","24","South America","Brazil","Goiás","Alto Paraíso de Goiás","Region of the Chapada dos Veadeiros (7 km S of Veadeiros)","-47.5","-14.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229474","NY00229474_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00926156","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","J. J. Wurdack","W. R. Anderson","7211","1973","03","16","South America","Brazil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, 24 km by road S of Terezina","-47.42163","-13.92979","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926156","NY00926156_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00926147","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","psammophila","Microlicia psammophila","Wurdack","J. J. Wurdack","E. Y. Dawson","14774","1956","05","01","South America","Brazil","Goiás","Alto Paraíso de Goiás","Region of the Chapada dos Veadeiros, slope 10 km. from Veadeiros on Cavalcante road.","-47.5097","-14.1325","1707","1707","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926147","NY00926147_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
