"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","day","yearIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","order","phylum","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2020-12-21 16:20:08-03","MBM","MBM","198340","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M.","PARATYPE","Sobral, M.; Jarenkow, J.A.; Jarenkow, J.A.","8010","1995","12","Southern America","Brazil","Rio Grande do Sul","Morrinho do Sul","Tajuva, Na subida da trilha tajuva-Josafá","500","600","Arbusto 2,5m, flores brancas.; Região intermediária entre formação de mata atlântica e mata nebular, em campo com predominância de arbustos.","MBM198340","MBM198340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:20:08-03","MBM","MBM","198341","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M.","ISOTYPE","Jarenkow, J.A.; Sobral, M.; Sobral, M.","2708","1995","08","Southern America","Brazil","Rio Grande do Sul","Morrinho do Sul","Tajuva","550","700","Arbusto ca. 2,3m alt., muito ramificado. Flores com corola branco-amarelada e estames amarelos.; Em fruticeto na encosta da Serra Geral.","MBM198341","MBM198341","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:20:08-03","MBM","MBM","198342","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M.","PARATYPE","Jarenkow, J.A.; Sobral, M.; Sobral, M.","2702","1995","08","Southern America","Brazil","Rio Grande do Sul","Morrinho do Sul","Tajuva","550","700","Arbusto ca. 2,5m alt.. Flores com ovário verde-claro, estilete/estigmas e pétalas branco-amarelados.; Em fruticeto na encosta íngreme da Serra Geral.","MBM198342","MBM198342","19","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:20:08-03","MBM","MBM","198343","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M.","PARATYPE","Jarenkow, J.A.; Sobral, M.; Sobral, M.","2706","1995","08","Southern America","Brazil","Rio Grande do Sul","Morrinho do Sul","Tajuva","550","700","Arbusto ca. 2,2m alt. Flores com ovário verde-claro, estilete/estigmas e pétalas branco-amarelados.; Em fruticeto na encosta da Serra Geral.","MBM198343","MBM198343","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-02-21 21:45:00-02","MO","MOBOT","2483424","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M.",NA,"Marcos Sobral","Sobral 7934a","1995",NA,"South America","Brazil","Rio Grande do Sul",NA,"Morrinhos do Sul. Sin localidad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","3259993","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,NA,"Marcos Sobral","Sobral 8010","1995","12","South America","Brazil","Rio de Janeiro",NA,"Na subida da trilha Tajuva-Josafa, entre 500-600 m altitude; flores hermafroditas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","3260120","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,NA,"Marcos Sobral","Sobral 9058","2000","8","South America","Brazil","Rio de Janeiro",NA,"En campo rupestre ao longo da trilha da Serra da tajuva; flores creme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-12 16:43:16-03","URICER","HPBR","9789","S","Plantae","Valerianaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral",NA,NA,"KIFFER,R.",NA,"2006","04",NA,"Brasil","RS","Erechim",NA,NA,NA,NA,"HPBR009789",NA,"10",NA,"-52.2738990783691","-27.6341991424561","46790","2","auto",NA,NA,NA,NA,NA,NA
"9","2020-08-20 20:38:33-03","UFSC","FLOR","29069","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Falkenberg, D.B.","Paratypus","Sobral, M.; Jarenkow, J.A.","8010","1995","12",NA,"Brasil","Rio Grande do Sul","Morrinhos do Sul","Subida da trilha Tajuva-Josafá, Tajuva.","500","500","arbusto, flor branca, pistilada, 2,5m altura. PARATYPUS (Novon 9(1): 114-7, 1999).","FLOR0029069",NA,"01","1999","-49.934700012207","-29.3649997711182","12766",NA,"auto","Dipsacales",NA,NA,NA,NA,NA
"10","2020-08-20 20:38:33-03","UFSC","FLOR","29071","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","tajuvensis","Valeriana tajuvensis","Sobral","Sobral, M.","Paratypus","Jarenkow, J.A.; Sobral, M.","2706","1995","08",NA,"Brasil","Rio Grande do Sul","Morrinhos do Sul","Tajuva.","550","550","arbusto, flor ovário verde-claro, estilete/estigmas e pétalas branco-amareladas, 2,2m altura. Abundante na faixa altitudinal. PARATYPUS Valeriana tajuvensis (Novon 9(1): 114-7, 1999).","FLOR0029071",NA,"19","1996","-49.934700012207","-29.3649997711182","12766",NA,"auto","Dipsacales",NA,NA,NA,NA,NA
