"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:42:18-03","E","E","202043","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii","Pennington, T.D.; Daza, A.; Revilla, J.","17394","2002","05","18","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:209555","<a href=http://data.rbge.org.uk/herb/E00202043 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:18-03","E","E","202052","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii","Pennington, T.D.; Reynel, C.; Daza, A.","17292","2001","08","29","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:209546","<a href=http://data.rbge.org.uk/herb/E00202052 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","802163","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii spruceana","P. G. Delprete","8314","2002","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802163","Magnoliophyta","Picramniales","spruceana","(Engl.) Pirani","W. W. Thomas","Acre","Feijó","Basin of Rio Muru, Porto Marque, village of Paraiso, East side of Rio Muru","-71.23","-8.85","220","220","NY00802163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","309427","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii","M. H. Nee","49517","1998","05","31","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309427","Magnoliophyta","Picramniales",NA,"Planch.","W. W. Thomas","Santa Cruz","Ichilo","Along trail from Río Yapacaní into Campamento Mataracú of Parque Nacional Amboró, ca. 1 km N of Campamento Mataracú.","-63.87","-17.53","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","569283","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii","I. L. Basualdo","2894","1990","01","01","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569283","Magnoliophyta","Picramniales",NA,"Planch.","W. W. Thomas","Paraguarí",NA,"Carapegua. Arroyo Mbery","-57.17","-25.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929352","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii sellowii","B. A. S. Pereira","2119","1992","07","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929352","Magnoliophyta","Picramniales","sellowii","Planch.","W. W. Thomas","Distrito Federal","Brasília","APA da Cafuringa. Fazenda palestina. Pequeno afluente de margem direita do rio Sal, com nascente próximo ao curral da fazenda Palestina.","-47.9294","-15.7797",NA,NA,"NY00929352_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","330676","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii spruceana","M. Silveira","941","1994","09","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330676","Magnoliophyta","Picramniales","spruceana","(Engl.) Pirani","W. W. Thomas","Acre","Tarauacá","Bacia do Rio Juruá, Rio Muru, Seringal Vitória Velha, Colocaçao Vista Alegre, margem direita.","-70.8067","-8.4275",NA,NA,"NY00330676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929351","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii","J. R. Stehmann","18794","1990","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929351","Magnoliophyta","Picramniales",NA,"Planch.","J. R. Pirani","Minas Gerais","Pedro Leopoldo",NA,"-44.0431","-19.6183",NA,NA,"NY00929351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02282090","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii spruceana","W. Milliken","2000","1994","08",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2453830' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282090","Magnoliophyta","Picramniales","spruceana","Engl.",NA,"Amazonas",NA,"Environs of the Yanomami village of Watoriketheri, close to the FUNAI PIN Demini on the old route of the abandoned BR-210 Perimetral Norte highway (Km 211)","-62.816667","-1.516667",NA,NA,"NY02282090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02450251","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","sellowii","Picramnia sellowii","D. C. Daly","6774","1991","05","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2629274' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450251","Magnoliophyta","Picramniales",NA,"Planch.",NA,"Acre","Brasiléia","Seringal Porongaba, Colocaçào Sào José","-68.8","-10.85",NA,NA,"NY02450251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
