"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00919120","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","T. C. Plowman","8284","1980","02","02","South America","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919120","NY00919120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01175403","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","B. V. Rabelo","3304",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1398266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175403","NY01175403_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","622625","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","M. Kramer","s.n.","1961","12",NA,"South America","Brazil","São Paulo",NA,"Pindamonhangaba: Cult. no Campo Experimental do Instituto Biológico.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622625","NY00622625_01","L. T. Eiten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","622623","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","M. Sobral","1568","1983","03",NA,"South America","Brazil","Rio Grande do Sul",NA,"Serrinha, Dom Pedrito.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622623","NY00622623_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","622624","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","D. S. D. de Araújo","1616","1977","04","18","South America","Brazil","Rio de Janeiro","Silva Jardim","Poço d'Anta.","-42.283141","-22.583352",NA,NA,"sheet","FEEMA Departamento de Conservaçao Ambiental Tijuca Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622624","NY00622624_01","G. C. Tucker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","622618","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","J. L. Hage","1128","1981","07","22","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra E'.","-39.2273659","-14.771874","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622618","NY00622618_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","622620","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","T. S. dos Santos","3626","1981","08","11","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra E.","-39.2273659","-14.771874","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622620","NY00622620_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","305994","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","M. H. Nee","48822","1998","04","03","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Far SW side of city of Santa Cruz. Along avenue, radial 17-1/2[18-1/2?] and ca. 6th. anillo.","-63.22","-17.83","430","430","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00305994",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-19 09:36:00-02","NY","NYBG","668467","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria",NA,"E. R. Guaglianone","1816","1986","03","14","South America","Argentina","Jujuy","Ledesma","R. 34, río Zora.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","668469","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","B. Trujillo","11327","1972","08","07","South America","Venezuela","Portuguesa",NA,"Sistema de riego río Guanare. Canal B-M.- 62. de 900 lts/seg. Parcela 50.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668469",NA,"T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","44124","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","D. E. Williams","975","1989","09","13","South America","Bolivia","El Beni","José Ballivián","Carmen Florida. Tacana Indian village 7 km upstream of Rurrenabaque on Río Beni","-67.5","-14.5","230","230",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00044124",NA,"G. C. Tucker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","622619","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","J. L. Hage","1189","1981","08","12","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra I'.","-39.2273659","-14.771874","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622619","NY00622619_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","622617","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","iria","Cyperus iria","L.","S. A. Mori","11650","1979","04","02","South America","Brazil","Bahia","Ilhéus","CEPEC, km 22 da Rodovia Ilhéus/Itabuna. Quadra E'.","-39.2273659","-14.771874",NA,NA,"sheet","A coleta é testemunha para um estudo de plantaas invasoras. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622617","NY00622617_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
