"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","county","coordinatePrecision","geoFlag","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","relationshipType","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","2026571","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata","(Ham.) Urb.","R. Spruce","698","1850","05","South America","Brazil","Pará","In vicinibus Santarem.","-54.740486","-2.449614","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165464' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026571","NY02026571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2026575","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata","(Ham.) Urb.","G. T. Prance","5181","1968","06","South America","Brazil","Rondônia","between Jaciparaná and Rio Madeira","-64.408483","-9.232415","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165468' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026575","NY02026575_01","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 12:22:00-03","NY","NYBG","2026570","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata",NA,"B. V. Rabelo","559","1980","07","South America","Brazil","Amapá","S. Joaquim do Pacui.","-51.0663986206055","-0.366667002439499","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165463' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026570","NY02026570_01","18","Macapá","225229","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 12:22:00-03","NY","NYBG","2026576","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata",NA,"L. Coradin","628","1977","10","South America","Brazil","Roraima","65 km. NW of Boa Vista. Within a radius of 15 km from the village of Taiano. Along roads and in agricultural fields. Weedy habitats. Dry sandy-clay soil.","-60.6733016967773","2.81972002983093","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165469' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026576","NY02026576_01","11","Boa Vista","90031","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 12:22:00-03","NY","NYBG","02026567","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata",NA,"A. H. Gentry","13150","1974","12","South America","Brazil","Pará","10 km N of Igarapé-Açu, 75 km E of Belém.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165457' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026567","NY02026567_01","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2026574","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata","(Ham.) Urb.","M. G. da Silva","3082","1977","05","South America","Brazil","Pará","Rio Tocantins, Jatobal, estação da antiga estrada de ferro de Tucuruí. Capoeira, terra firme, solo arenoso.","-49.3927664","-4.6157373","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165467' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026574","NY02026574_01","15","Jacundá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2026569","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata","(Ham.) Urb.","D. F. Austin","6948","1979","09","South America","Brazil","Pará","Road to Atalaia beach from Salinopolis","-47.3053","-0.5989","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165462' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026569","NY02026569_01","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2026568","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata","(Ham.) Urb.","M. N. F. da Silva","295","1983","05","South America","Brazil","Pará","Estrada Santarém-Cuiabá, BR-163, km 974 a 980.","-55.33","-7.416667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165461' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026568","NY02026568_01","12","Itaituba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2026573","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata","(Ham.) Urb.","E. P. Killip","30258","1929","10","South America","Brazil","Pará","Pará",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165466' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026573","NY02026573_01","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 12:22:00-03","NY","NYBG","2026572","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","alata","Operculina alata",NA,"M. G. da Silva","3488","1978","05","South America","Brazil","Pará","Rio Tocantins. Breu Branco. Capoeira de terra firme, solo arenoso.","-49.6725006103516","-3.76610994338989","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165465' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026572","NY02026572_01","10","Tucuruí","59618","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1014415","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","hamiltonii","Operculina hamiltonii","(G.Don) D.F.Austin & Staples","R. de Lemos Fróes","11851","1940",NA,"South America","Brazil","Maranhão","Island of São Luiz.","-44.201115","-2.577323","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1113351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014415","NY01014415_01",NA,"São Luís",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2026565","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","hamiltonii","Operculina hamiltonii","(G.Don) D.F.Austin & Staples","L. F. Coêlho","s.n.","1955","05","South America","Brazil","Amazonas","Igarapé do parque 10. Terra firme.","-60.0063694","-3.0786429","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165437' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026565","NY02026565_01","13","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","495193","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","hamiltonii","Operculina hamiltonii","(G.Don) D.F.Austin & Staples","M. B. Thomas","MT610","1998","09","South America","Brazil","Bahia","Pataxó Indígena Reserva. Hossa of Albino Braz Salvador. [Monte Pascoal National Park]","-39.22","-16.87","sheet","Site: MP <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495193","NY00495193_01","17","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1014417","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","hamiltonii","Operculina hamiltonii","(G.Don) D.F.Austin & Staples","N. A. Rosa","2565","1978","07","South America","Brazil","Maranhão","Santa Elena, próximo do lugarejo Queimados. Campo da Chapada.","-45.2997","-2.2311","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1113353' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014417","NY01014417_01","09","Santa Helena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","495199","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","hamiltonii","Operculina hamiltonii","(G.Don) D.F.Austin & Staples","E. Hassler","8268","1902","12","South America","Paraguay",NA,"In regione cursus superioris fluminis Apa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02099052","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","hamiltonii","Operculina hamiltonii","(G.Don) D.F.Austin & Staples","J. L. da Costa Lima","535","2011","08","South America","Brazil","Rio Grande do Norte","Distrito de Imuna","-35.179003","-6.101219","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953117' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099052","NY02099052_01","27","Nísia Floresta",NA,NA,"G. C. Delgado Jr.","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1014419","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","hamiltonii","Operculina hamiltonii","(G.Don) D.F.Austin & Staples","T. C. Plowman","9275","1980","02","South America","Brazil","Tocantins","Transamazonian highway (BR-230), 6 km west of Estreito (Rio Tocantins).","-47.53","-6.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1113354' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014419","NY01014419_01","28","Tocantinópolis",NA,NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02026577","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","hamiltonii","Operculina hamiltonii","(G.Don) D.F.Austin & Staples","D. F. Austin","6968","1979","10","South America","Brazil","Amapá","On roadside near crossroads from Macapá to Santana, on the equator",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165474' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026577","NY02026577_01","03",NA,NA,NA,"G. W. Staples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
