"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","typeStatus","coordinatePrecision","individualCount","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","797211","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","alvimii","Mikania alvimii","R.M.King & H.Rob.","H. E. Robinson","R. Kral","75846","1988","12","02","South America","Brazil","Goiás","Alto Paraíso de Goiás","22 kms N Alto Paraiso","-47.5097","-14.1325","1100","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797211","NY00797211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","895072","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","alvimii","Mikania alvimii","R.M.King & H.Rob.","C. T. Oliveira","G. G. Hatschbach","36833","1975","05","25","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros.","-47.5097","-14.1325",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895072","NY00895072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","797210","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","alvimii","Mikania alvimii","R.M.King & H.Rob.","W. C. Holmes","R. M. Harley","19563","1977","02","17","South America","Brazil","Bahia",NA,"Lower N.E. slopes of the Pico das Almas, ca. 25 km. W.N.W. of the Vila do Rio de Contas","-41.95","-13.55","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797210","NY00797210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","687352","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","alvimii","Mikania alvimii","R.M.King & H.Rob.","D. J. N. Hind","R. M. Harley","27315","1988","12","20","South America","Brazil","Bahia",NA,"Agua Quente. Pico das Almas Vertente norte. Vale ao noroeste do Pico","-41.98","-13.5","1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687352","NY00687352_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-25 16:50:14-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","alvimii","Mikania alvimii","R.M.King & H.Rob.","Hind, DJN","Harley, RM; Hind, DJN; Mayo, S","27315","1988","12","20","Southern America","Brasil","Bahia","Água Quente","Chapada Diamantina, Pico das Almas. Vertente norte. Vale ao noroeste do Pico","-41.983333","-13.5","1550","1550",NA,"caules de até 70 cm. Bases dos caules em solo solto, brancas; caules purpúreos na parte superior. Corola creme/branca.",NA,NA,"1989","05","-41.983333","-13.5",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:50:25-03","NBC","NL-BOTANY","U.1136929","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","alvimii","Mikania alvimii","King & H.Rob.","Hind DJN","Harley RM; Hind DJN; Mayo SJ",NA,"1988","12","20","Southern America","Brazil","Bahia",NA,NA,"-41.983333","-13.5",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136929","NL-U1136929","1989","05","-41.983333","-13.5","Magnoliopsidae","01","U 0098853",NA,NA,NA,NA
"7","2021-03-01 16:24:42-03","UNICAMP","UEC","66735","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","alvimii","Mikania alvimii","R.M.King & H.Rob.",NA,"Pirani, JR; Assis, MC; Mello-Silva, R; Cordeiro, I","11505","1987","11","04",NA,"Brazil","Minas Gerais","Grão Mogol","Bacia do Ribeirão da Morte. Ca. 1000-1150m. 16°33'30S 42°55'W.","-42.75025","-16.486806",NA,NA,NA,"Ervas odoríferas, de odor agradável, 60cm alt., Flores alvas perfumadas.; No campo limpo de altitude, em solo arenoso e graminoso.","UEC128386","UEC128386",NA,NA,"-42.75025","-16.486806",NA,NA,NA,NA,NA,NA,NA
"8","2014-10-14 15:56:23-03","BS","M","M-0029636","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","alvimii","Mikania alvimii","R.M.King & H.Rob.",NA,"King, R.M.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Bahia Prov., Mun. de Rio de Contas, Base de Pico das Almas, a 18 km as NW de Rio de Contas.",NA,NA,NA,NA,NA,NA,"M0029636",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,"ISOTYPE",NA,NA,NA
"9","2020-12-21 16:16:34-03","MBM","MBM","280771","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","alvimii","Mikania alvimii","R.M. King & H. Rob.","Hind, D.J.N.","Harley, R.M.; et al.; et al.","27315","1988","12","20","Southern America","Brazil","Bahia","Água Quente","Pico das ALMAS",NA,NA,NA,NA,NA,NA,"MBM280771","MBM280771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:33:14-03","UFMG","BHCB","61178","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","alvimii","Mikania alvimii","R.M.King & H.Rob.",NA,"Harley, RM; Hind, DJN; Lughadha, EN; Queiroz, RF; Ganev, W","s.n.","1991","12","31","Southern America","Brasil","Bahia","Abaíra","Campo de Ouro Fino.","-41.9","-13.25","1600","1700",NA,"Projeto Campos rupestres do Brasil. Entre rochas, em solo úmido. Subarbustivos, até 0,6m. Folhas brilhantes. Flores e estiletes alvos.",NA,NA,NA,NA,"-41.9","-13.25",NA,NA,NA,NA,NA,NA,NA
