"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","phylum","order","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","identifiedBy","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","county","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:49-03","E","E","177020","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","Shepherd, G.J. & Kirszenzaft, S.L.","9426","1979","02","04","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:184999","<a href=http://data.rbge.org.uk/herb/E00177020 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:55-03","E","E","181451","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","Sanaiotti, T.M.","116","1990","06","05","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:187875","<a href=http://data.rbge.org.uk/herb/E00181451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:55-03","E","E","196040","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","Harley, R.M.; Nic Lughadha, E.; Souza, V.C.; Sakuragui, C.M.; Hind, D.J.N.; Ganev, W.",NA,"1992","12","26","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:201213","<a href=http://data.rbge.org.uk/herb/E00196040 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196040","Mun. Piata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:55-03","E","E","194522","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","Stannard, B.; Nic Lughadha, E.; Queiroz, R.F.",NA,"1992","02","03","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:200332","<a href=http://data.rbge.org.uk/herb/E00194522 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00194522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:55-03","E","E","194409","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","Harley, R.M.; Giulietti, A.M.; Lughadha, E.N.; Freire Fierro, A.",NA,"1992","01","10","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:199213","<a href=http://data.rbge.org.uk/herb/E00194409 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00194409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:39:49-03","E","E","177021","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","G.J.Shepherd, L.S.Kinoshita, J.B.Andrade & N.Taroda","4537","1977","03","12","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:185002","<a href=http://data.rbge.org.uk/herb/E00177021 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:55-03","E","E","283763","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","Hatschbach, G. & Silva, J.M.","62655","1995","05","12","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:295082","<a href=http://data.rbge.org.uk/herb/E00283763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:49-03","E","E","134624","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","Dubs, Balthasar","2508","1998","07","01","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:143060","<a href=http://data.rbge.org.uk/herb/E00134624 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2398845","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","G. T. Prance","15029","1971","09","29","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2622988' target='other'> <mi>dwc_moreinfo</mi></a>","NY02398845","Rio Cuieras just below mouth of Rio Brancinho","Magnoliophyta","Malpighiales","Aubl.","-60.5089","-2.8275","NY02398845_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01067119","PreservedSpecimen","Plantae","Humiriaceae","Humiria","balsamifera","Humiria balsamifera","J. A. Ratter","R1398","1968","05","12","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205714' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067119","1/2 km N of the Rio Suia-Missu Ferry (approx. 290 km N of Xavantina).","Magnoliophyta","Malpighiales","Aubl.","-52.35239","-12.356739","NY01067119_01","J. A. Ratter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
