"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","relatedCatalogItem","geoFlag","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","638993","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","montanum","Canistrum montanum","Leme","H. E. Luther","J. G. Jardim","3067","2000","07","27","South America","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Conduru. Rod. Serra Grande/Uruçuca ca. 9,4 km. Serra do Conduru vertente E.","-39.1019","-14.485","250","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00638993","NY00638993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01112585","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","montanum","Canistrum montanum","Leme","H. E. Luther","P. Fiaschi","1725","2003","10","23","South America","Brazil","Bahia","Uruçuca","Rodovia Ilhéus-Itacaré, entrada à esquerda, na rotatória de acesso à Uruçuca, ca. 9,5 km, ramal à esq. Parque Estadual Serra do Conduru.","-39.1","-14.48",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112585","NY01112585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01112587","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","montanum","Canistrum montanum","Leme","H. E. Luther","P. Fiaschi","2056","2004","03","18","South America","Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Uruçuca. Area do inventário do plano de manejo","-39.115","-14.4997","380","380","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215085' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112587","NY01112587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01112572","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","montanum","Canistrum montanum","Leme","H. E. Luther","S. C. de Sant'Ana","1084","2003","03","07","South America","Brazil","Bahia","Boa Nova","Fazenda São José, a 8.8 km de Boa Nova, na estrada para Dario Meira, a 1.4 km do ramal à esq.","-40.1544444","-14.4038889","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112572","NY01112572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","822282","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","montanum","Canistrum montanum","Leme","E. M. C. Leme","P. Fiaschi","1762","2003","11","02","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel e sobe até o acesso á serra.","-39.5361111","-14.7702778",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822282","NY00822282_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:38-03","UFRJ","RFA","28310","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","montanum","Canistrum montanum","Leme","A.P.G. Faria; T. Wendt","A.P.G. Faria; T. Wendt","201","2003","05","20",NA,"Brasil","Bahia","Bahia","Planta cultivada no Marie Selby Botanical Gardens (Flórida, EUA) sob o número 2000-0084 A",NA,NA,NA,NA,NA,NA,"RFA52114",NA,"2003","05","20","Paratipo",NA,NA,NA,NA,NA,NA
"7","2021-03-04 11:04:40-03","UFRB","HURB","6425","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","montanum","Canistrum montanum","Leme","M.G.C.Nogueira","Aona, L.Y.S.; Fonseca, W.O. & Simões, S.S.","2918","2013","07","22",NA,"Brasil","Bahia","Ubirataia","Mata próxima a Torre, entre o povoado de Mineiros e Algodão. Vegetação pertubada com retirada de árvore, trilhas na fazenda do Sr. Juju.","-39.6775","-13.881667","715","715",NA,NA,"HURB000006425",NA,"2015","06","17",NA,"39°40'39 W","13°52'54S",NA,NA,NA,NA
"8","2020-07-23 12:00:51-03","CEPLAC","CEPEC","131513","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","montanum","Canistrum montanum",NA,"Leitman, P.M.","Leitman, P.M.","122","2011","02","19",NA,"Brasil","Bahia","arataca","Parque Nacional da Serra das Lontras, trilha do Talhão.","-39.351389","-15.172778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W21'5","15S10'22",NA,NA,NA,NA
"9","2020-07-23 12:00:51-03","CEPLAC","CEPEC","110313","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","montanum","Canistrum montanum",NA,"Sem Informação","Amorim, A. M.","5269","2005","10","12",NA,"Brasil","Bahia","arataca","Serra do Peito-de-Moça, complexo Serra das Lontras. Estrada Arataca-Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio. RPPN Caminho das Pedras. Trilha para o pico e picada à direita.","-39.341667","-15.173611","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,"39W20'30","15S10'25",NA,NA,NA,NA
"10","2020-07-23 12:00:51-03","CEPLAC","CEPEC","117375","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","montanum","Canistrum montanum",NA,"Sem Informação","Lopes, M. M. M.","1462","2007","06","30",NA,"Brasil","Bahia","arataca","Serra das Lontras. Ca. de 7 km no ramal que liga o distrito de Itatinguí à Serra. Fazendas de Monteiro e Ciro.","-39.385278","-15.189444","820","820",NA,"UNICATA.",NA,NA,NA,NA,NA,NA,"39W23'7","15S11'22",NA,NA,NA,NA
