"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","class"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3271","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Eriocnema","acaulis","Eriocnema acaulis","(Cham.) Triana","Carlos A. Ferreira Jr.","2013","12","27","Juliana Ordones Rego; Ferreira Junior, C.A. et all","2013","12","27","Brasil","Minas Gerais","Rio Acima","Ponte do Rio das Velhas, estrada de terra entre Rio Acima e Itabirito","-43.7893981933594","-20.0874996185303","13827","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","909906","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Eriocnema","acaulis","Eriocnema acaulis","Triana","J. Badini",NA,NA,NA,"A. Macedo","1951","01","05","Brazil","Minas Gerais","Ouro Preto","Andorinhas.","-43.5081","-20.2878",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982706' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2856","South America","sheet","NY00909906","NY00909906_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1654133","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Eriocnema","fulva","Eriocnema fulva","Naudin","F. A. Michelangeli",NA,NA,NA,"F. A. Michelangeli","2011","02","04","Brazil","Minas Gerais","Ouro Preto","Rocky canyon 1 km south of the Parque Estadual Itacolomi offices, about 350 m SW of park boundary","-43.51191666666","-20.44296666666",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947819' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1590","South America","sheet","NY01654133","NY01654133_01","1348",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1654132","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Eriocnema","fulva","Eriocnema fulva","Naudin","F. A. Michelangeli",NA,NA,NA,"F. A. Michelangeli","2011","02","04","Brazil","Minas Gerais","Ouro Preto","Rocky canyon 1 km south of the Parque Estadual Itacolomi offices, about 350 m SW of park boundary","-43.51191666666","-20.44296666666",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568272' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1590","South America","sheet","NY01654132","NY01654132_01","1348",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","909908","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Eriocnema","fulva","Eriocnema fulva","Naudin",NA,NA,NA,NA,"P. Clausen",NA,NA,NA,"Brazil","Minas Gerais",NA,"Ribeiro Blanco [Prope flumen vulgo Ribeiro Mauro]",NA,NA,NA,"Our sheet does not give all the collection details, but the holotype gives the following: Brazil, Minas Gerais, Ribeiro Blanco [Prope flumen vulgo Ribeiro Mauro], Claussen 107, Dec. 1843 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982714' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"107","South America","sheet","NY00909908","NY00909908_01",NA,"isotype",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","909907","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Eriocnema","fulva","Eriocnema fulva","Naudin",NA,NA,NA,NA,"P. Clausen",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982710' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"270","South America","sheet","NY00909907","NY00909907_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:31:36-03","MN","R","9205","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Eriocnema","acaulis","Eriocnema acaulis","Triana",NA,NA,NA,NA,"Glaziou, A.F.M.","1888","01","28","Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697","44599","Plantas do Brasil Central","auto","20309",NA,NA,"R000009205","R000009205_001",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:31:36-03","MN","R","9206","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Eriocnema","fulva","Eriocnema fulva","Naudin",NA,NA,NA,NA,"Glaziou, A.F.M.","1884","02","28","Brasil","Minas Gerais","Faria Lemos",NA,"-42.0297012329102","-20.8083000183105","14353","Plantas do Brasil Central","auto","18230",NA,NA,"R000009206","R000009206_001",NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:45:35-02","IPA","IPA","41217","S","Plantae","Plantae",NA,"Melastomataceae","Eriocnema","fulva","Eriocnema fulva","Naudin",NA,NA,NA,NA,"Glaziou",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"20309","Southern America",NA,"IPA0041217",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:33:54-03","UNICAMP","UEC","104906","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Eriocnema","acaulis","Eriocnema acaulis","Triana","Martins, AB","2012",NA,NA,"Andrade, PM; Guimarães Neto, AS","1997","12","15","Brazil","Minas Gerais","Ouro Preto","Estação Ecológica do Tripuí.","-43.5080986022949","-20.2875003814697","44599","Herbáceo.; Sobre pedra, beira d'água, mata ciliar.","auto","1543",NA,NA,"UEC050428","UEC050428",NA,NA,NA,NA,NA,NA,NA
