"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","class","order","fieldNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2019-12-04 15:25:13-03","PUCPR","HUCP","3354","S","Plantae","Eudicotiledonea","Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart.","Hatschbach, GG","1984","09","09","Caldart, MC","004","Brasil","Santa Catarina","Itaiópolis","-49.9063987731934","-26.3363990783691","51919","Coletada 5 dias após a neve.","HUCP00014768","HUCP00014768","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-01-17 11:25:26-02","PUCRS","MPUC","15725","S","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","C.A. Mondin","2012","01","01",NA,NA,"Brasil","SC","Governador Celso Ramos","-48.5591666667","-27.3147222222",NA,"Na vegetação secundária",NA,NA,NA,"Magnoliopsida","Fabales","3602","2012","03","17","South America","Ponta dos Ganchos","-48.5591666667","-27.3147222222","1",NA,NA,NA
"3","2020-10-14 10:01:40-03","FURB","FURB","38726","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Falkenberg, DB","1994",NA,NA,"Falkenberg, D.B.","6734","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000",NA,"FURB03816","FURB03816","auto",NA,NA,NA,"1994","08","23",NA,"Parque Rio Vermelho.",NA,NA,NA,"5","5",NA
"4","2021-03-16 17:52:11-03","UCS","HUCS","11734","PreservedSpecimen","Plantae","Angiospermae","Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Butzke, A.",NA,NA,NA,"Butzke, A.","s.n.","Brasil","Rio Grande do Sul","Gaurama","-52.0942001342773","-27.5841999053955","11998","em beira de mato",NA,NA,"auto",NA,"Fabales",NA,"1993","04","20",NA,"Linha Tonello",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:27:11-03","MBM","MBM","406477","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Marinero, F.","2016","09","12","Marinero, F.; Abbud, M.C.; Abbud, M.C.","494","Brazil","Santa Catarina","Florianópolis","-48.420278","-27.523611",NA,"Arbusto 3 m, ramos escandentes; flores alvas. Local com presença de Pinus e Eucalyptus.; Floresta Ombrófila Densa das Terras Baixas.","MBM406477",NA,NA,NA,NA,NA,"2016","09","08","Southern America","Parque Estadual do Rio Vermelho, Estrada para praia de Moçambique.","-48.420278","-27.523611",NA,"13","13",NA
"6","2020-12-21 16:27:11-03","MBM","MBM","202937","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Falkenberg, D.B.","1994",NA,NA,"Falkenberg, D.B.; Falkenberg, W.; Falkenberg, W.","6734","Brazil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","Arbusto aculeado apoiante, muito ramificado, 1-3 m altura. Flores brancas, em botão ou antese.; Beira da restinga arbórea.","MBM202937","MBM202937","auto",NA,NA,NA,"1994","08","23","Southern America","Parque do Rio Vermelho, beira da estrada que sai do asfalto e vai à praia",NA,NA,NA,"5","5",NA
"7","2020-12-21 16:27:11-03","MBM","MBM","410806","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Ribas, O.S.","2013","06",NA,"Araújo Filho, P.S.","s.n.","Brazil","Santa Catarina","Governador Celso Ramos","-48.5592002868652","-27.3146991729736","13751","Arbusto apoiante com 3 m de altura; flores alvas.; Borda da mata.","MBM410806","MBM410806","auto",NA,NA,NA,"2013","06","06","Southern America","Ganchos",NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:19:02-03","UFPR","UPCB","32038","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","A.Burkart","Falkenberg, D.B.","1994","01","01","Falkenberg, D.B.","6734","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","Arbusto aculeado apoiante, muito ranificado, 1-3m, flor branca, em botão ou antese. Beira de restinga arbórea..",NA,NA,"auto",NA,NA,NA,"1994","08","23",NA,"Parque do Rio Vermelho, beira da estrada que sai do asfalto e vai à praia, Ilha de Santa Catariana",NA,NA,NA,NA,NA,NA
"9","2020-03-27 15:49:00-03","MO","MOBOT","101188765","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart",NA,NA,NA,NA,"Roberto M. Klein|A. Bresolin","Klein 5946","Brazil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000",NA,NA,NA,"auto",NA,NA,NA,"1965","4","26","South America","Arbusto lianoso. Flor branca.",NA,NA,"1","2.00000000",NA,"Holotype"
"10","2020-10-15 09:53:51-03","UFPR","EFC","16027","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Souza, I.","2017","10","25","Sampaio, A.C.F.","87","Brasil","Santa Catarina","Florianópolis","-48.4203","-27.52362",NA,"Arbusto 2 m. Flores brancas. Restinga Arbórea invadida por pinus. Formação Pioneira com Influência Marinha","EFC016027",NA,NA,NA,NA,NA,"2017","06","12",NA,"Parque Estadual do Rio Vermelho - Proximo ao Morro das Aranhas","-48.4203","-27.52362",NA,"15","15",NA
"11","2019-04-02 09:32:06-03","URICER","HPBR","7041","S","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burk.","BUTZKE, A.",NA,NA,NA,"BUTZKE, A. et al",NA,"Brasil","RS","Gaurama","-52.0942001342773","-27.5841999053955","11998","4m de altura","HPBR007041",NA,"auto",NA,NA,NA,"1993","04","20",NA,"LINHA TONELLO",NA,NA,"1",NA,NA,NA
"12","2020-08-20 14:56:08-03","UFSC","FLOR","30482","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Medeiros, J.D.","2012","11","05","Medeiros, J.D.","s.n.","Brasil","Santa Catarina","Florianópolis","-48.419444","-27.523611",NA,"arbusto lianoso lenhoso, flor branca, Fruto Maduro, seco, sem formação de sementes, 3m altura","FLOR0030482","FLOR0030482",NA,NA,"Fabales",NA,"2012","11","05",NA,"Rio Vermelho, acesso à praia Moçambique. Ilha de Santa Catarina. Área pertencente ao Parque Estadual do Rio Vermelho.","48º25'10''W","27º31'25''S",NA,"10","10",NA
"13","2020-08-20 14:56:08-03","UFSC","FLOR","55012","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Medeiros, J.D.","2014","12","22","Medeiros, J.D.","s.n.","Brasil","Santa Catarina","Florianópolis","-48.420278","-27.523611",NA,"Arbusto lianoso. Fruto maduro, seco, sem sementes","FLOR0055012",NA,NA,NA,"Fabales",NA,"2014","12","22",NA,"Praia do Moçambique. Rio Vermelho. Ilha de Santa Catarina.","48º25'13''W","27º31'25''S",NA,NA,NA,NA
"14","2020-08-20 14:56:08-03","UFSC","FLOR","60289","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Nuernberg, A.","2013","03","02","Nuernberg, A.; Zuchiwschi, E.","1009","Brasil","Santa Catarina","Florianópolis","-48.420833","-27.526944",NA,"arbustiva, flor branca. Coordenadas do Parque.","FLOR0060289","FLOR0060289",NA,NA,"Fabales",NA,"2013","03","01",NA,"PAERVE - Parque Estadual do Rio Vermelho, Ilha de Santa Catarina, perto do camping dos escoteiros.","48º25'15''W","27º31'37''S",NA,"15","15",NA
"15","2020-08-20 14:56:08-03","UFSC","FLOR","66428","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Medeiros, J.D.","2019","04","04","Couto, C.","s.n.","Brasil","Santa Catarina","Florianópolis","-48.379722","-27.467222",NA,"em área de restinga, transição para Floresta Ombrófila Densa","FLOR0066428","FLOR0066428_01 FLOR0066428_02",NA,NA,"Fabales",NA,"2019","04","04",NA,"Reserva Particular do Patrimônio Natural (RPPN) Morro das Aranhas.","48º22'47''W","27º28'2''S",NA,NA,NA,NA
"16","2020-08-20 14:56:08-03","UFSC","FLOR","7548","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Medeiros, J.D.","2013","06","07","Medeiros, J.D.","s.n.","Brasil","Santa Catarina","Governador Celso Ramos","-48.543056","-27.301389",NA,"arbusto lenhoso, lianoso, flor branca, final de floração, 5m altura. Novo registro de localidade para a espécie, até agora encontrada somente no Distrito de Rio Vermelho, Ilha de Santa Catarina, Florianópolis, SC.","FLOR0007548","FLOR0007548",NA,NA,"Fabales",NA,"2013","06","07",NA,"Ganchos de Fora.","48º32'35''W","27º18'5''S",NA,"28","28",NA
"17","2020-08-20 14:56:08-03","UFSC","FLOR","33249","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Medeiros, J.D.","2012","08","23","Medeiros, J.D.","s.n.","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","arbusto lianoso, flor brancapoucos frutos, aparentementes todos estéreis, 2,5m altura. Primeiro registro de ocorrência de frutos na espécie.","FLOR0033249",NA,"auto",NA,"Fabales",NA,"2012","08","17",NA,"Acesso à praia Moçambique, Rio Vermelho, Ilha de Santa Catarina.",NA,NA,NA,"2","2",NA
"18","2020-08-20 14:56:08-03","UFSC","FLOR","18623","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Medeiros, J.D.","2012","08","09","Medeiros, J.D.","s.n.","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","arbusto lianoso, flor branca, 4m altura. Frutos desta planta em FLOR 33249. Possui amostra em sílica para estudos moleculares","FLOR0018623",NA,"auto",NA,"Fabales",NA,"2012","08","09",NA,"Acesso à praia Moçambique, Rio Vermelho, Ilha de Santa Catarina.",NA,NA,NA,NA,NA,NA
"19","2020-08-20 20:38:52-03","UFSC","FLOR","24300","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Falkenberg, D.B.","1994",NA,NA,"Falkenberg, D.B.; Falkenberg, W.","6734","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","arbusto apoiante aculeado, muito ramificado, flor branca, 1 a 3m altura. Flores em botão ou antese.","FLOR0024300",NA,"auto",NA,"Fabales",NA,"1994","08","23",NA,"Parque do Rio Vermelho, beira da estrada que sai do asfalto e vai à praia, Ilha de Santa Catarina.",NA,NA,NA,"5","5",NA
"20","2020-08-20 20:38:52-03","UFSC","FLOR","3020","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Burkart, A.","1973",NA,NA,"Klein, R.M.; Souza Sobrinho, R.J. de & Bresolin, A.","5864","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","flor branca. Paratypus Mimosa catharinensis.","FLOR0003020",NA,"auto",NA,"Fabales",NA,"1964","10","06",NA,"Rio Vermelho, Ilha de Santa Catarina.",NA,NA,NA,"2","2","Paratypus"
"21","2020-08-20 20:38:52-03","UFSC","FLOR","3021","PreservedSpecimen","Plantae",NA,"Fabaceae","Mimosa","catharinensis","Mimosa catharinensis","Burkart","Burkart, A.","1973",NA,NA,"Klein, R.M.; Bresolin, A.","5946","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","arbusto lianoso, flor branca. Isotypus Mimosa catharinensis.","FLOR0003021",NA,"auto",NA,"Fabales",NA,"1965","04","28",NA,"Rio Vermelho, Ilha de Santa Catarina.",NA,NA,NA,"2","2","Isotypus"
