"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","order"
"1","2019-10-09 11:09:02-03","UFBA","ALCB","132618","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii","Fontella","Cardoso, D; Lima, HC de; Santos, QC","4123","2016","05","28","Southern America","Brasil","Minas Gerais","Alto Capara","Parque Nacional Capara?. Trilha para o Pico da Bandeira, depois do Terreir?o, a ca. 2 Km do Pico.","-41.800556","-20.43","-41.800556","-20.43","2687","2687","Foto. DNA.","ALCB049402","ALCB049402",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:58-03","ESALQ","ESA","117438","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Oxypetalum","leoni","Oxypetalum leoni",NA,"Romão, G.O.; Colletta, G.D.; Latvis, M.; Gissi, D.S.","2736.0","2010","04","01",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Trilha entre a Tronqueira e o Pico da Bandeira. Campo rupestre","-41.8683013916016","-20.4333000183105",NA,NA,"2000","2890","Liana, corola branca; estilete arroxeado.","ESA117438","ESA117438","D. Gissi","2010","21645","auto",NA,NA,NA,NA
"3","2020-11-04 10:59:58-03","ESALQ","ESA","49963","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii",NA,"Leoni, L.S. et al.","2049.0","1993","01","02",NA,"Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"ESA049963",NA,NA,NA,"21645","auto",NA,NA,NA,NA
"4","2021-03-31 13:35:23-03","MN","R","52174","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii","Fontella","Santos, N.; Campos, I.",NA,"1950","06","29",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"2000","2000",NA,NA,NA,"Rapini, A.","2010",NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:35:23-03","MN","R","94255","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii","Fontella","Rodrigues, M.R.",NA,"1960","02","29",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rapini, A.","2010",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:30:41-03","UFJF","CESJ","71638","PreservedSpecimen","Plantae","Angiosperma","Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii","Fontella","L.V.V. Cruz; S.G. Furtado; D.E.F. Barbosa; L. Menini Neto","238","2018","06","26","América do Sul","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Lagoas","-41.803697","-20.429931","-41.803697","-20.429931","2600","2600","Liana. Corola alvo-vinácea. Látex branco. Em campo úmido próximo as lagoas do parque","CESJ071638",NA,"C.N. Matozinhos","2018",NA,NA,"07","05",NA,NA
"7","2020-12-11 11:31:57-03","UFMG","BHCB","136084","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii","Fontella","Heringer, G; Machado, TM; Reis, SB","422","2010","03","09","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Pico da Bandeira.","-41.798139","-20.433417","-41.798139","-20.433417",NA,"2792","Sépalas verdes, pétalas creme na face adaxial e marrons na face abaxial.; Campo de altitude.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:31:57-03","UFMG","BHCB","136409","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii","Fontella","Bünger, MO; Fernandes, AC; Silva, MH; Ribeiro, ASS","481","2010","03","09","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Trilha Pico da Bandeira - Terreirão.","-41.795833","-20.434778","-41.795833","-20.434778","2890","2890","Arbusto lianescente, pétalas creme na face interna, androginóforo vináceo.; Campo sobre afloramento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 18:24:55-03","USP","SPF","160929","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii","Fontella","Krieger, L","s.n.","1989","04","30",NA,"Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Campos altos. Terreirão, acima da cachoeira.",NA,NA,NA,NA,NA,NA,"Cipó em clareira. Flores pentâmeras, cálice branco, sépalas retorcidas. Corola vinho, rosada na margem. Estelite róseo.","SPF00160929",NA,"Farinaccio, MA","2004",NA,NA,"01",NA,NA,NA
"10","2021-03-15 18:24:55-03","USP","SPF","160930","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","leonii","Oxypetalum leonii","Fontella","Rapini, A","885","2000","03","05",NA,"Brasil","Minas Gerais","Caparaó","Parque Nacional do Caparaó, Trilha para o Pico da Bandeira.","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"Planta volúvel. Pétalas adaxialmente alvas, abaxialmente acastanhadas, corona vinácea com as bordas alvas, eventualmente toda esbranquiçada, apêndice do ginostégio róseo.","SPF00160930",NA,"Rapini, A","2002","15056","auto","02",NA,NA,NA
