"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:32-03","E","E","99999","PreservedSpecimen","Plantae","Melastomataceae","Miconia","holosericea","Miconia holosericea","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1999","08","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109544","<a href=http://data.rbge.org.uk/herb/E00099999 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778125","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","H. C. H. Silva","2002","06","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778125","Magnoliophyta","Myrtales","Cogn.","M. R. de V. Barbosa","98","Pernambuco","Igarassu","Mata da Sao José","-35.0028","-7.8389","25","25","NY00778125_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","521605","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","J. R. Pirani","1993","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521605","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","2636","Sergipe","Santa Luzia do Itanhi","Estancia Santa Luzia, 18 km da Estancia","-37.5","-11.3",NA,NA,"NY00521605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","521608","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","R. S. Cowan","1954","12","17","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521608","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","38842",NA,NA,"In forst of Montagne de Mahury, near Cayenne",NA,NA,"130","170","NY00521608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","521604","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","S. C. de Sant'Ana","1993","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521604","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","446","Sergipe","Santa Luzia do Itanhi","SE. Entrada a 1 km à esquerda da estrada Santa Luzia/Crasto; ca. 1 km adentro","-37.4481","-11.3508",NA,NA,"NY00521604_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 03:25:00-03","NY","NYBG","521609","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","J. C. Lindeman","1980","09","19","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521609","Magnoliophyta","Myrtales",NA,"M. J. Jansen-Jacobs","486",NA,NA,"Area of Kabalebo Dam project, distr. Nickerie; E of road Km 67.3","-57.8","4.5","30","130","NY00521609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 22:28:00-03","NY","NYBG","1722356","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","T. W. Henkel","1998","06","02","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051490' target='other'> <mi>dwc_moreinfo</mi></a>","NY01722356","Magnoliophyta","Myrtales",NA,"F. Almeda; D. S. Penneys","6733","Potaro-Siparuni",NA,"Pakaraima Mts., upper Ireng R., 1 km downstream from Kurutuik Falls.","-59.9867","5.085","800",NA,"NY01722356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 22:28:00-03","NY","NYBG","1722357","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","T. W. Henkel","1998","06","03","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1052746' target='other'> <mi>dwc_moreinfo</mi></a>","NY01722357","Magnoliophyta","Myrtales",NA,"F. Almeda; D. S. Penneys","6868","Potaro-Siparuni",NA,"Pakaraima Mts., upper Ireng R., 1 km downstream from Kurutuik Falls.","-59.9867","5.085","800",NA,"NY01722357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","778126","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","H. C. H. Silva",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778126","Magnoliophyta","Myrtales","Cogn.","M. R. de V. Barbosa","117","Pernambuco","Igarassu","Igarassu. Mata da Usina Sao José","-35.0028","-7.8389","110","110","NY00778126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","521607","PreservedSpecimen","Plantae","Melastomataceae","Miconia","francavillana","Miconia francavillana","J. R. Pirani","1994","12","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521607","Magnoliophyta","Myrtales","Cogn.","J. J. Wurdack","3470","Espírito Santo","Vila Velha","ES-060, mata de restinga a W da rodovia, ca. 1 km N da Praia da Sereias","-40.286823","-20.328351",NA,NA,"NY00521607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
