"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","maximumElevationInMeters","decimalLongitude","decimalLatitude","identifiedBy","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4041739","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","G. H. H. Tate","113","1926","02","17","South America","Bolivia","La Paz","Pongo","12000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348072' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041739","NY04041739_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4041734","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","J. J. Wurdack","1558","1962","08","03","South America","Peru","Amazonas","Upper slopes and summit of Cerro Campanario","3600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348067' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041734",NA,"Chachapoyas","3900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4041733","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","E. P. Killip","22058","1929","04","27","South America","Peru","Junín","Mount La Juntay, near Huancayo","4700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348066' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041733","NY04041733_01","Huancayo Province",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4041731","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","E. P. Killip","22064","1929","04","27","South America","Peru","Junín","Mount La Juntay, near Huancayo","4700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348064' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041731","NY04041731_01","Huancayo Province",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4041743","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","G. H. H. Tate","112","1926","02","17","South America","Bolivia","La Paz","Pongo","3658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348076' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041743","NY04041743_01","Pedro Domingo Murillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4041718","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","R. B. Burbidge","75/309","1975","01","24","South America","Colombia","Magdalena","Sierra Nevada de Santa Maria.","3750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348051' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4041740","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","H. H. Rusby","407","1885","10",NA,"South America","Bolivia","La Paz","Unduavi","2438","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348073' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041740","NY04041740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4041713","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","M. A. Sundue","1340B","2007","05","04","South America","Colombia","Cundinamarca","Mun. Fomeque. Carretera que lleva del PNN Chingaza a La Calera.","3550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348046' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041713",NA,NA,NA,"-73.81036","4.71364",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4041720","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","L. J. Dorr","5568","1988","06","17","South America","Venezuela","Mérida","La Cuenca del Rio Los Granates. Parque Nacional Sierra Nevada","3140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348053' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041720",NA,"Rangel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4041736","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","castaneum","Asplenium castaneum","Schltdl. & Cham.","L. J. Dorr","6760","1989","12","21","South America","Bolivia","La Paz","Huañahawira, 3km NE of Quimé. Could forest above the Río Khatu","3300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4348069' target='other'> <mi>dwc_moreinfo</mi></a>","NY04041736","NY04041736_01","Inquisivi",NA,"-67.25","-17.03",NA,NA,NA,NA,NA,NA,NA,NA
