"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1419107","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla","Müll.Arg.","D. C. Zappi","A. M. Amorim","4739","2005","02","02","South America","Brazil","Bahia","Camacan","Camacã: Fazenda Serra Bonita, RPPN SERRA BONITA, 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917","835","835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1536254' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419107","NY01419107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02636541","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla","Müll.Arg.","C. P. Bruniera","P. Fiaschi","2121","2004","03","16","South America","Brazil","Bahia","Uruçuca","Estra da de Serra Grande/Uruçuca, Km 8. Área do Inventário do plano de manejo. Fazenda Serraria.","-39.0653","-14.3514","140","140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475278' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636541","NY02636541_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-04 11:06:22-03","UFRB","HURB","13958","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla","Müll.Arg.",NA,"Victor Jr., V.","1836","2013","01","17",NA,"Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,NA,NA,"HURB000013958",NA,"33549","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-07 09:14:55-03","UEFS","HUEFS","127080","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla","Müll.Arg.","D.Zappi","Fiaschi, P.","2192","2004","04","01",NA,"Brasil","Bahia","Uruçuca","Estrada que liga Itacaré Á Serra Grande. Pouco depois do Km 43, ramal á direita após acesso para aCachoeira do Tijuípe. Área explorada no plano de manejo.","-39.079167","-14.386667",NA,NA,NA,"Mata alterada para extração de palmito e madeira.","HUEFS0127080","HUEFS0127080",NA,NA,"Asteranae","2008","08","39W4'45''","14S23'12''",NA,NA
"5","2019-10-07 09:14:55-03","UEFS","HUEFS","109101","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla","Müll.Arg.","D.Zappi","Amorim, A.M.","4739","2005","02","02",NA,"Brasil","Bahia","Camacan","Fazenda Serra Bonita, RPPN SERRA BONITA, 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.565278","-15.391667","835","835",NA,"Margem de estrada e capoeira. Vegetação Montana.","HUEFS0109101","HUEFS0109101",NA,NA,"Asteranae","2008","08","39W33'55''","15S23'30''",NA,NA
"6","2019-10-07 09:14:55-03","UEFS","HUEFS","62998","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla","Müll.Arg.","D.Zappi","Jardim, J.G.","3981","2002","02","26",NA,"Brasil","Bahia","Una","RPPN Ecoparque de Una(IESB). Trilha margeando o Ribeirão da Lontras.","-39.066667","-10.166667",NA,NA,NA,"Floresta Ombrófila.","HUEFS0062998",NA,NA,NA,"Asteranae","2005","06","39W4'","10S10'",NA,NA
"7","2019-09-04 19:06:37-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla",NA,NA,"B. Luschnath",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Type [status unknown]",NA
"8","2020-07-23 12:21:22-03","CEPLAC","CEPEC","109064","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla",NA,"Sem Informação","Lopes, M. M. M.","308","2005","11","21",NA,"Brasil","Bahia","Barro Preto","Serra da Pedra Lascada, 13,7 Km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção à serra.","-39.202778","-14.770278","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W12'10","14S46'13",NA,NA
"9","2020-07-23 12:21:22-03","CEPLAC","CEPEC","102262","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla",NA,"C. P. Bruniera","J.G. Jardim","3981","2002","02","26",NA,"Brasil","Bahia","UNA","RPPN de Una (IESB). Trilha margando o Ribeirão das Lontras.","-39.066667","-10.166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W4'","10S10'",NA,"30/12/2011"
"10","2020-07-23 12:21:22-03","CEPLAC","CEPEC","102529","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","pachyphylla","Rudgea pachyphylla",NA,"C. P. Bruniera","P. Fiaschi","2121","2004","03","16",NA,"Brasil","Bahia","URUÇUCA","Estra da de Serra Grande/Uruçuca, Km 8. Área do Inventário do plano de manejo. Fazenda Serraria.","-39.065278","-14.351389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W3'55","14S21'5",NA,"30/12/2011"
