"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","locality","occurrenceRemarks","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","order","individualCount"
"1","2020-11-04 11:02:45-03","ESALQ","ESA","15735","PreservedSpecimen","Plantae","Magnoliophyta","Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","Delfini, C.","Souza, V.C. et al.","5913.0","1994","04","22","Brasil","São Paulo","Iporanga","-48.5900001525879","-24.5799999237061","38740","ESA015735","ESA015735","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:06-03","UFV","VIC","5689","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","Delfini, C.","Coons, M.P.; et al.","294","1977","03","24","Brasil","Minas Gerais",NA,NA,NA,NA,"VIC005689","VIC005689",NA,"2008","08","Parque Florestal da Serra de Ibitipoca, Na Mata de Galeira.","Planta com cerca 2,0 metros de altura. Flor alva. Ftuto avermelhado. Face dorsal das folhas rósea.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:32:19-03","UFJF","CESJ","68917","PreservedSpecimen","Plantae","Angiosperma","Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","C. Delfini","G.B. Oliveira; G.C. Iote","118","2015","12","18","Brasil","Minas Gerais","Lima Duarte","-43.897222","-21.696111",NA,"CESJ068917",NA,NA,"2017","03","Parque Estadual do Ibitipoca, Nanofloresta Nebular da Gruta da Cruz, local sombreado próximo à entrada da Gruta","Subarbusto, face abaxial discolor e frutos anemocóricos","América do Sul","-43.897222","-21.696111","1646","1646",NA,NA,NA,NA
"4","2019-11-21 14:32:19-03","UFJF","CESJ","68918","PreservedSpecimen","Plantae","Angiosperma","Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","C. Delfini","G.B. Oliveira; J.H.C. Ribeiro","171","2016","04","28","Brasil","Minas Gerais","Lima Duarte","-43.897222","-21.696111",NA,"CESJ068918",NA,NA,"2017","03","Parque Estadual do Ibitipoca, Nanofloresta Nebular da Gruta da Cruz, local sombreado próximo à entrada da Gruta","Subarbusto, flores estaminadas alvas e estames amarelados, frutos anemocóricos","América do Sul","-43.897222","-21.696111","1646","1646",NA,NA,NA,NA
"5","2020-06-30 18:32:05-03","UFJF","CESJ","34145","PreservedSpecimen","Plantae","Angiosperma","Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","C. Delfini","R.M. Castro; F.R.G. Salimena; P.H. Nobre","356","2001","05","19","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417","CESJ034145",NA,"auto","2017","03","Parque Estadual do Ibitipoca","Pedra do Gavião, erva terrestre no campo rupestre.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-30 18:32:05-03","UFJF","CESJ","21228","PreservedSpecimen","Plantae","Angiosperma","Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","C. Delfini","L. Krieger; P.I.S. Braga","CESJ21228","1986","07","10","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417","CESJ021228",NA,"auto","2017","03","Parque Estadual do Ibitipoca","Erva, até 2m de altura.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-30 18:32:05-03","UFJF","CESJ","40625","PreservedSpecimen","Plantae","Angiosperma","Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","C. Delfini","V.L. Gomes-Klein; G. Soares","3406","1997","12","13","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417","CESJ040625",NA,"auto","2017","03","Parque Estadual do Ibitipoca, logo após a casa de manutenção e estacionamento.","Arbusto umbrófilo, na margem direita da estrada, que segue após a casa de manutenção. Inflorescência com botões com cálice verde e corola alva. Frutos secos pardos.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:33:48-03","UFMG","BHCB","48075","PreservedSpecimen","Plantae","Dicotyledon","Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade",NA,"Lombardi, JA","3098","1999","12","10","Brasil","Minas Gerais","Fervedouro","-42.2789001464844","-20.7255992889404","20038","BHCB047745",NA,"auto",NA,NA,"Parque Estadual da Serra do Brigadeiro","Herbácea, ca. 0,5m.; Mata atlântica em diversos graus de pertubação.","Southern America",NA,NA,"1400","1400",NA,NA,NA,NA
"9","2020-12-11 11:33:48-03","UFMG","BHCB","160370","PreservedSpecimen","Plantae","Dicotyledon","Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade",NA,"Delfini Feliciano, C; Tsuji, R","32","2008","01","18","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417",NA,NA,"auto","2008","11","Parque Estadual do Ibitipoca, Mata entre a Gruta do Viajante e a cantina.","Erva, ca. 60cm, folhas face adaxial verde, face abaxial avermelhada, indumento alvo.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","38966",NA,"Plantae",NA,"Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade",NA,"A. C. Brade; Altamiro, Apparicio","18400","1946","05","23","Brasil","Espírito Santo","Itaguaçu","-40.855598449707","-19.8019008636475","26990","MBML038966","MBML038966","auto",NA,NA,"Santa Maria","Flor alva.",NA,NA,NA,NA,NA,"ISOTIPO",NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","2627872","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","altamiroi","Begonia altamiroi",NA,NA,"A. C. Brade","19185","1948","8","8","Brazil","Espírito Santo","Castelo","-41.184700012207","-20.6035995483398","23588","US00314249","US00314249_01","auto",NA,NA,"Braco do sul",NA,"South America - Neotropics",NA,NA,NA,NA,NA,"Dicotyledonae","Violales","1"
"12","2020-09-12 05:00:02-03","US","US","2946469","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","altamiroi","Begonia altamiroi",NA,NA,"A. C. Brade","19185","1948","8","8","Brazil","Espírito Santo","Castelo","-41.184700012207","-20.6035995483398","23588","US00314251","US00314251_01","auto",NA,NA,"Braco do sul",NA,"South America - Neotropics",NA,NA,NA,NA,NA,"Dicotyledonae","Violales","1"
"13","2020-09-12 05:00:02-03","US","US","2627879","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","altamiroi","Begonia altamiroi",NA,NA,"A. C. Brade","19932","1949","5","31","Brazil","Espírito Santo","Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086","35694","US00314252","US00314252_01","auto",NA,NA,"Vargem",NA,"South America - Neotropics",NA,NA,"650","650",NA,"Dicotyledonae","Violales","1"
"14","2019-11-13 11:16:39-03","USP","SPF","35511","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","Delfini-Feliciano, C","Cordeiro, I","CFCR5711","1984","10","30","Brasil","Minas Gerais","São Thomé das Letras","-44.9852981567383","-21.7222003936768","16076","SPF00035511",NA,"auto","2009","01","Serra de São Thomé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 10:01:40-03","IBt","SP","415714","S","Plantae",NA,"Begoniaceae","Begonia","altamiroi","Begonia altamiroi","Brade","Brade, AC","Brade, AC; Altamiro; Apparicio","18400","1946","05","23","Brasil","Espírito Santo","Itaguaçu","-40.855598449707","-19.8019008636475","26990","SP000361","SP000361","auto",NA,NA,"Santa Maria",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA
