"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","locality","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2423313","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","P. L. Krieger","14161","1976","07","09","South America","Brazil","Minas Gerais","Caparaó","-41.9043998718262","-20.523099899292","15056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685739' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423313","NY02423313_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376077","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","H. S. Irwin","2794","1959","03","03","South America","Brazil","Espírito Santo","Alegre","-41.796679","-20.434061",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376077",NA,NA,"H. O. Sleumer","Pico da Bandeira, Serra Caparaó","2865","2865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L.2608305","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Lutz A",NA,"1915","02","01","Southern America","Brazil","Espirito Santo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2608305 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2608305","NL-L2608305",NA,"Sleumer HO","Estada de Espirito Santa Minas Geras.",NA,NA,"Magnoliopsidae","L 0794738",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L 0007182","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Moreira AX",NA,"1945","10","31","Southern America","Brazil","Espirito Santo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200007182 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0007182","NL-L0007182",NA,"Romao GO","Brasil, Espiritu Santo,Serra de Caparao, Pico Luiz Inacio",NA,NA,"Magnoliopsidae",NA,"2009","05","28","isotype",NA,NA,NA,NA
"5","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L.2608303","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Castellanos A",NA,"1960","11","15","Southern America","Brazil","Espirito Santo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2608303 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2608303","NL-L2608303",NA,"Romao GO","Depois de Casa Queimada.",NA,NA,"Magnoliopsidae","L 0794739","2009","05","28",NA,NA,NA,NA,NA
"6","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L.2608304","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Brade AC",NA,"1941","09","10","Southern America","Brazil","Espirito Santo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2608304 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2608304","NL-L2608304",NA,"Romao GO",NA,NA,NA,"Magnoliopsidae","L 0794740","2009","05","28",NA,NA,NA,NA,NA
"7","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L.2608306","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Angeli C",NA,"1960","11","14","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2608306 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2608306","NL-L2608306",NA,NA,"Minas Gerais: Serra do Caparaó entre Macieiras e morro do Lajõ.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L.2608307","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Voll O",NA,"1936","11","02","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2608307 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2608307","NL-L2608307",NA,NA,"Minas - Caparaó.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L.2608308","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Irwin HS",NA,"1959","03","03","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2608308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2608308","NL-L2608308",NA,NA,"Espiritu Santo, Serra do Caparaó, Pico da Bandeira,2865.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L.2608309","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","caparoensis","Gaylussacia caparoensis","Sleumer","Lutz A",NA,"1917","03","09","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2608309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2608309","NL-L2608309",NA,NA,"Campos de Caparaó - (high mountains), state of Epirito Touto- Minao Gerais.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
