"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","559072","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.","R. Callejas Posada","R. B. Foster","7347","1983","12","10","South America","Peru","Madre de Dios","Manú","Atalaya. Vicinity of Hacienda Amazonia, 2-3 km west of village, across Rio Alto Madre","-71.2","-12.92","700","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559072","NY00559072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4121905","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.",NA,"A. S. Hitchcock","s.n.","1923","07","05","South America","Ecuador","Guayas",NA,"Teresita, 3 kilometers west of Bucay",NA,NA,"270",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4439624' target='other'> <mi>dwc_moreinfo</mi></a>","NY04121905","NY04121905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559074","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.","R. Callejas Posada","M. Monsalve-Benavides","707","1985","02","26","South America","Colombia","Valle del Cauca",NA,"Bajo Calima; Concession Pulpapel/Buenaventura","-77","3.92","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559074","NY00559074_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559070","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.","J. A. Steyermark","A. C. González","1173","1977","09","02","South America","Venezuela","Miranda",NA,"Dto. Paéz: Fila La Tigre, Qda. San Juan: 18 kms al SO de Cúpira",NA,NA,"600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559070","NY00559070_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4121907","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.",NA,"L. J. Dorr","5845","1988","10","23","South America","Ecuador","Morona-Santiago",NA,"Vieja Cordillera de Cutucú-Santiago road, E of the Rio Namangoza; km 35.","-78.2","-2.67","600","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4439626' target='other'> <mi>dwc_moreinfo</mi></a>","NY04121907","NY04121907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4121923","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.",NA,"B. Øllgaard","9046","1976","08","31","South America","Ecuador","Pastaza",NA,"Road Puyo-Maccas (under construction), 31 km from Puyo","-77.83","-1.62","1100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4439642' target='other'> <mi>dwc_moreinfo</mi></a>","NY04121923","NY04121923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4121926","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.",NA,"A. H. Gentry","36065","1982","03","04","South America","Peru","Pasco",NA,"Drainage of Río Palcazu between km 51 and 60 of new road in construction NW of Villa Rica toward Puerto Bermudez","-75.08","-10.5","700",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4439645' target='other'> <mi>dwc_moreinfo</mi></a>","NY04121926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4121924","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.",NA,"J. A. Steyermark","54241","1943","08","31","South America","Ecuador","El Oro",NA,"along Quebrada de Mono, tributary to Río Moro Moro, above Monos in Bajada de Monos, between Buenacentura and Garganta de Piñas",NA,NA,"1065","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4439643' target='other'> <mi>dwc_moreinfo</mi></a>","NY04121924","NY04121924_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4121942","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.",NA,"J. A. Steyermark","91195","1962","07","20","South America","Venezuela","Sucre","Peninsula de Paria","Cerro Patao, Norte de Puerto de Hierro, Noreste de Güiria: Selva siempre verde, quebrada con riachuelo, arriba del campamento, abajo de la fila, por debajo de la cumbre",NA,NA,"850","860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4439661' target='other'> <mi>dwc_moreinfo</mi></a>","NY04121942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4121939","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","emarginella","Peperomia emarginella","(Sw. ex Wikstr.) C.DC.",NA,"R. L. Liesner","10901","1981","03","20","South America","Venezuela","Táchira",NA,"ca 35 km SSE of San Cristóbal. La Buenaña, 6-12 km W of Quebrada Colorado","-72.15","7.47","600","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4439658' target='other'> <mi>dwc_moreinfo</mi></a>","NY04121939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
