"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","verbatimLongitude","verbatimLatitude","yearIdentified","class","order","monthIdentified","relatedCatalogItem","typeStatus"
"1","2020-11-04 11:04:12-03","ESALQ","ESA","79289","PreservedSpecimen","Plantae","Magnoliophyta","Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","G.Heimen & R.Paul","Zappi, D.C.","Queiroz, L.P. et al.","4420.0","1995","07","10","Brasil","Bahia","Abaíra","-41.6636009216309","-13.2496995925903","26531","ESA079289","ESA079289","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:27:13-03","UNICAMP","UEC","120509","S","Plantae","Magnoliopsida","Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","G.Heimen & R.Paul","Zappi, DC","Aona, LYS; Oliveira, RP; Pansarin, ER; Mickeliunas, L; Belinello, R","838","2001","08","06","Brazil","Bahia","Morro do Chapéu","-41.1561012268066","-11.5500001907349","98143","UEC041165","UEC041165","auto","Cerrado de altitude, terreno arenoso, estrada a direita em direção ao Morrão.","1000","1100","Flores e frutos róseos.",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-04 11:04:45-03","UFRB","HURB","13646","PreservedSpecimen","Plantae",NA,"Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","Heimen & R.J. Paul",NA,"Mendes, D. B.; Machado, M.","38","2015","11","09","Brasil","Bahia","Jacaraci","-42.502028","-14.875083",NA,"HURB000013646","HURB000013646 HURB000013646_1",NA,"Ca. 5,3 km ao sul de Jacaraci na BA-156 contados a partir do entroncamento da BA-156, dobrar à direita (oeste) no ponto 14º52'50,3S, 42º25'37,2W, após 3,3km dobrar à direita (norte) no ponto 14º52'22,1W, 42º27'12,3W; Logo em seguida no ponto 14º52'8,1","1105","1105","No mesmo local também havia: Arrojadoa albiflora, Leocereus bahiensis, Pilosocereus pachycladus.","42º30'7,3W","14º52'30,3S",NA,NA,NA,NA,NA,NA
"4","2021-03-04 11:04:45-03","UFRB","HURB","16615","PreservedSpecimen","Plantae",NA,"Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","Heimen & R.J.Paul",NA,"Mendes, D.B.","110","2016","12","22","Brasil","Bahia","Piatã","-41.78475","-13.090472",NA,"HURB000016615","HURB000016615 HURB000016615_1",NA,NA,"1262","1262",NA,"41º47'05,1W","13º05'25,7S",NA,NA,NA,NA,NA,NA
"5","2019-11-13 11:17:20-03","USP","SPF","80851","PreservedSpecimen","Plantae",NA,"Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","Heimen & R.J.Paul","Zappi, DC; Taylor, NP","Harley, RM","27430","1988","12","23","Brasil","Bahia","Água Quente","-41.983333","-13.45",NA,"SPF00080851",NA,NA,"Pico das Almas","1500","1500",NA,"-41.983333","-13.45","1989",NA,NA,NA,NA,NA
"6","2019-11-13 11:17:20-03","USP","SPF","80885","PreservedSpecimen","Plantae",NA,"Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","Heimen & R.J.Paul","Zappi, DC; Taylor, NP","Harley, RM","25554","1988","11","27","Brasil","Bahia","Rio de Contas","-41.9","-13.683333",NA,"SPF00080885",NA,NA,"Pico das Almas","1200","1200",NA,"-41.9","-13.683333","1989",NA,NA,NA,NA,NA
"7","2019-11-13 11:17:20-03","USP","SPF","81026","PreservedSpecimen","Plantae",NA,"Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","Heimen & R.J.Paul","Zappi, DC","Zappi, DC","144","1989","07","18","Brasil","Bahia","Seabra","-41.7703018188477","-12.4186000823975","57155","SPF00081026",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-07 09:18:39-03","UEFS","HUEFS","112601","PreservedSpecimen","Plantae","Angiospermae","Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","Heimen & R.J.Paul",NA,"Lambert, S.M.","1","2004","09","25","Brasil","Bahia","Campo Formoso","-41.198333","-10.366389",NA,"HUEFS0112601","HUEFS0112601 HUEFS0112601_01 HUEFS0112601_02",NA,"Próximo ao povoado de Lajes dos Negros. Atravessa um riacho, segue pela margem direita.","912","912","Campo rupestre.","41W11'54''","10S21'59''",NA,"Caryophyllanae","Caryophyllales",NA,NA,NA
"9","2019-10-07 09:18:39-03","UEFS","HUEFS","112605","PreservedSpecimen","Plantae","Angiospermae","Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","Heimen & R.J.Paul",NA,"Lambert, S.M.","5","2004","10","22","Brasil","Bahia","Morro do Chapéu","-41.177778","-11.564722",NA,"HUEFS0112605","HUEFS0112605",NA,"ca. 02 Km da saída da cidade em direção ao Morrão - Terreno de Marlon.","1101","1101","Caatinga.","41W10'40''","11S33'53''",NA,"Caryophyllanae","Caryophyllales",NA,NA,NA
"10","2019-10-07 09:18:39-03","UEFS","HUEFS","166852","PreservedSpecimen","Plantae","Angiospermae","Cactaceae","Melocactus","paucispinus","Melocactus paucispinus","Heimen & R.J.Paul",NA,"Machado, M.","1168","2008","10","11","Brasil","Bahia","Morro do Chapéu","-41.163333","-11.592778",NA,"HUEFS0166852","HUEFS0166852",NA,"ca. 4km ao sul da cidade na estrada para Bonito, tabuleiro arenoso a leste da estrada","1085","1085","caatinga","41W9'48''","11S35'34''",NA,"Caryophyllanae","Caryophyllales",NA,NA,NA
