"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","infraspecificEpithet","county","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","3875244","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa","(Griseb.) M.A.Spencer & L.B.Sm.","H. D. Clarke","10754","2003","07","10","South America","Guyana","Potaro-Siparuni","Mt. Wokomung, summit.","-59.86161","5.06758","1560","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4168405' target='other'> <mi>dwc_moreinfo</mi></a>","NY03875244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02099213","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa","(Griseb.) M.A.Spencer & L.B.Sm.","F. A. Michelangeli","2548","2014","03","27","South America","Guyana","Potaro-Siparuni","Kaieteur National Park, upper Mure Mure basin, near divide with Kuribrong basin","-59.526","5.27572","515","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2362836' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099213","J. Aguirre-Santoro","NY02099213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01393183","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa micrantha","(Baker) M.A.Spencer & L.B.Sm.","L. M. Campbell","817","2001","09","18","South America","Venezuela","Amazonas","Cerro Cuao-Sipapo, canyon on northeastern end of massif.","-67.3783","5.0417","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4385781' target='other'> <mi>dwc_moreinfo</mi></a>","NY01393183",NA,"NY01393183_01","micrantha","Mun. Atures","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4169480","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa micrantha","(Baker) M.A.Spencer & L.B.Sm.","K. M. Redden","7027","2010","07","19","South America","Guyana","Cuyuni-Mazaruni","Tulameng Mtn., eastern slope, along line towards summit.","-60.965","5.5578","976","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4498316' target='other'> <mi>dwc_moreinfo</mi></a>","NY04169480",NA,NA,"micrantha",NA,"990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3875250","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa","(Griseb.) M.A.Spencer & L.B.Sm.","H. D. Clarke","9273","2001","06","17","South America","Guyana","Potaro-Siparuni","Mt. Ayanganna, east face, plateau above second of four escarpments.","-59.9725","5.3769","1380","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4168430' target='other'> <mi>dwc_moreinfo</mi></a>","NY03875250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01856318","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa","(Griseb.) M.A.Spencer & L.B.Sm.","J. C. Betancur","16530","2012","09","04","South America","Colombia","Antioquia","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, río Tercero, cerca a la desembocadura al río Carauta, finca La Pradera.","-76.2258","6.6356","1640","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950277' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856318","J. C. Betancur","NY01856318_01",NA,"Frontino","1680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3875246","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa","(Griseb.) M.A.Spencer & L.B.Sm.","J. Aguirre-Santoro","1883","2013","08","19","South America","Suriname","Sipaliwini","Trail from Caiman camp to tepui summit, SW rim of the tepui.","-56.16989","3.89033","855","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4168426' target='other'> <mi>dwc_moreinfo</mi></a>","NY03875246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3875247","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa","(Griseb.) M.A.Spencer & L.B.Sm.","J. Aguirre-Santoro","1857","2013","08","15","South America","Suriname","Sipaliwini","Tafelberg. Geijkes creek; about 100 m from main waterfall.","-56.18272","3.93928","612","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4168427' target='other'> <mi>dwc_moreinfo</mi></a>","NY03875247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3875245","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa","(Griseb.) M.A.Spencer & L.B.Sm.","K. J. Wurdack","5725","2012","05","25","South America","Guyana","Cuyuni-Mazaruni","Below 1st escarpment (of four) of Kamakusa Mt., 0-1 mi. SW of Dalo (3rd) Camp.","-60.2089","5.8317","790","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4168425' target='other'> <mi>dwc_moreinfo</mi></a>","NY03875245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01552619","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","spiculosa","Racinaea spiculosa stenoglossa","(L.B.Sm.) M.A.Spencer & L.B.Sm.","N. T. da Silva",NA,"1966","01","27","South America","Brazil","Amazonas","Rio Negro, Rio Cauaburí, Rio Matucará. Serra Pirapucú.","-65.867369","0.531955","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1046368' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552619","T. S. Coser","NY01552619_01","stenoglossa",NA,"1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
