"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus"
"1","2016-09-28 13:43:00-03","NY","NYBG","502549","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris","C. M. Taylor","E. M. Zardini","38550","1994","02","23","South America","Paraguay","Misiones","Between San Juan Bautista and road San Ignacio-Pilar. Talaty, 8 km SE of San Juan Bautista","-57.23","-26.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","502552","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris","J. H. Kirkbride Jr.","I. Silberbauer-Gottsberger","255R-51072","1972","10","05","South America","Brazil","São Paulo","18 km north of Botucatu (14 km east of Sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-RR station 13 de Maio","-48.42","-22.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502552","(Cham. & Schltdl.) Steud.","Botucatu","550","550","NY00502552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","502551","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris","C. M. Taylor","M. H. Nee","42156","1991","12","20","South America","Bolivia","Santa Cruz","10 km ENE of center of Santa Cruz, on dirt road to Monte Cristo","-63.08","-17.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502551","(Cham. & Schltdl.) Steud.","Andrés Ibáñez","390","390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 13:43:00-03","NY","NYBG","502550","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris","W. H. Lewis","T. M. Pedersen","4553","1957","05","04","South America","Argentina","Corrientes","Estancia Santa Marta",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502550",NA,"Mburucuyá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:10:07-03","UNESP-IBB","BOTU","11217","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Richardia","stellaris","Richardia stellaris","Gottsberger, I.S.","Gottsberger, I.S.","30971","1971","09","30",NA,"Brasil","São Paulo","18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio.","-48.416667","-22.75",NA,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope. ; Coleção: Cerrado Estação 13 de Maio","BOTU011217","(Cham. & Schltdl.) Steud.","Botucatu",NA,NA,NA,"1976","48°25'w","22°45's",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:38-03","UNESP-IBB","BOTU","4831","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Richardia","stellaris","Richardia stellaris","Gottsberger, I.S.","Sobreiro, N.A.","42","1974","11","02",NA,"Brasil","São Paulo",NA,NA,NA,NA,"Cerrado. Erva com flor ranca.","BOTU004831","(Cham. & Schltdl.) Steud.","Botucatu",NA,NA,NA,"1975","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-15 11:14:54-03","FUNED","FUNED-POL","4268","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Richardia","stellaris","Richardia stellaris",NA,"Claudia Simeao",NA,"2000","05","29",NA,"Brasil","MG","Estaçao Ecologica UFMG",NA,NA,NA,NA,"POL004268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:27:53-03","NBC","NL-BOTANY","L.2955696","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris",NA,"Herzog T",NA,"1910","12","01","Southern America","Bolivia",NA,"Auf trockenen Hügeltriften bei Camatindi.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955696","(Cham. & Schltdl.) Steud.",NA,NA,NA,"NL-L2955696",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:27:53-03","NBC","NL-BOTANY","L.2955697","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris",NA,"Herzog T",NA,"1910","12","01","Southern America","Bolivia",NA,"Auf trockenen Hügeltriften bei Camatindi.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955697","(Cham. & Schltdl.) Steud.",NA,NA,NA,"NL-L2955697",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:27:53-03","NBC","NL-BOTANY","L.2955698","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris",NA,"Pedersen TM",NA,"1961","10","31","Southern America","Argentina",NA,"Estancia 'San Juan Bautista', Dept. Paso de los Libres, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955698","(Cham. & Schltdl.) Steud.",NA,NA,NA,"NL-L2955698",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:27:53-03","NBC","NL-BOTANY","L.2955699","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris",NA,"Pedersen TM",NA,"1954","08","13","Southern America","Argentina",NA,"Estancia 'La Yela', Dep. Empedrado, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955699 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955699","(Cham. & Schltdl.) Steud.",NA,NA,NA,"NL-L2955699",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:27:53-03","NBC","NL-BOTANY","L.2955700","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris",NA,"Pedersen TM",NA,"1957","05","04","Southern America","Argentina",NA,"Estancia 'Santa Maria', Dep. Mburucuyá, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955700 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955700","(Cham. & Schltdl.) Steud.",NA,NA,NA,"NL-L2955700",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:27:53-03","NBC","NL-BOTANY","U.1581793","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris",NA,"Steinbach J",NA,"1925","10","01","Southern America","Bolivia",NA,"Lomas del vio luchi, Prov. Sara, Depart. Santa Cruz.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1581793 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1581793","(Cham. & Schltdl.) Steud.",NA,NA,NA,"NL-U1581793",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:27:53-03","NBC","NL-BOTANY","U.1581801","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Richardia","stellaris","Richardia stellaris",NA,"Pedersen TM",NA,"1957","05","04","Southern America","Argentina",NA,"Estancia 'Santa Maria', Dep. Mburucuyá, Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1581801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1581801","(Cham. & Schltdl.) Steud.",NA,NA,NA,"NL-U1581801",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
