"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","locality","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","798856","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","regis","Lychnophora regis","H.Rob.","H. E. Robinson","G. G. Hatschbach","47921","1984","06","15","South America","Brazil","Bahia","Mucugê","-41.3706","-13.0056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798856","NY00798856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:46-03","UFBA","ALCB","031105","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","regis","Lychnophora regis","H.Rob.","Ogasawara, HA","Guedes, ML; et al.","5131","1997","06","29","Southern America","Brasil","Bahia","Mucugê","-41.344167","-12.986667",NA,"ca. 2 m. Capítulos com flores alvas.",NA,NA,"2012","04","-41.344167","-12.986667","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:46-03","UFBA","ALCB","114592","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","regis","Lychnophora regis","H.Rob.","Ogasawara, HA","Guedes, ML; Alunos de Botânica BIOC05","21840","2014","06","14","Southern America","Brasil","Bahia","Piatã","-41.904444","-13.0775",NA,"Folhas sésseis eretas, apice recurvado , face abaxiax com indumento esbranquiçado. Capítulos na s porções terminais dos ramos, flores liláses.",NA,NA,"2014","07","-41.904444","-13.0775","1367","1367","Chapada Diamantina",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:46-03","UFBA","ALCB","89013","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","regis","Lychnophora regis","H.Rob.","Roque, N; Liro, RM","Roque, N; Acevedo-Rodríguez, P; Funk, V; Keeley, S","2121","2009","07","04","Southern America","Brasil","Bahia","Mucugê","-41.385833","-13.000833",NA,"Ca. 1,5 m de alt. Folhas discolores. Brácteas involucrais verdes, corola lilás.",NA,NA,"2009","07","-41.385833","-13.000833","987","987","Chapada Diamantina, Ca. 3 km do Cemitério em direção à Mucugê",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:47-03","UFBA","ALCB","031105","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","regis","Lychnophorella regis","(H.Rob.) Loeuille, Semir & Pirani","Cândido, JB","Guedes, ML","5131","1997","06","19","Southern America","Brasil","Bahia","Mucugê","-41.494167","-12.986667",NA,"Ca. 2 m. Capítulos em flores alvas. Ocasional.",NA,NA,"2018","11","-41.494167","-12.986667","1250","1250","Chapada Diamantina","06",NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:47-03","UFBA","ALCB","033599","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","regis","Lychnophorella regis","(H.Rob.) Loeuille, Semir & Pirani","Cândido, JB","Hind, DJN; Bautista, HP; Harley, RM; Smith, S","PCD&nf;3643","1996","07","15","Southern America","Brasil","Bahia","Mucugê","-41.4075","-12.95",NA,"1,60 m, caule castanho, folhas adensadas no ápice dos ramos. Folhas coriáceas, discolores, face abaxial creme, adaxial verde-escuro, margem revoluta. Inflorescência com filários amarelo-esverdeados, ápice arroxeado, papus vermelho, corola de tubo alv",NA,NA,"2018","11","-41.4075","-12.95","1070","1070","Chapada Diamantina, Pedra Redonda, entre o rio Preto e o rio Paraguaçu","06",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:47-03","UFBA","ALCB","101895","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","regis","Lychnophorella regis","(H.Rob.) Loeuille, Semir & Pirani","Cândido, JB","Guedes, ML; Gomes, FS; Guaré, F; Silveira, ER; et al.","18857","2011","04","22","Southern America","Brasil","Bahia","Mucugê","-41.333333","-13",NA,"de ca 1 m de altura. Folhas caulinares, lineares, revoluta, face abaxial com pêlos brancos. Inflorescância terminal, capítulos com flores liláz.",NA,NA,"2018","11","-41.333333","-13",NA,NA,"Chapada Diamantina","06",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:47-03","UFBA","ALCB","117585","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","regis","Lychnophorella regis","(H.Rob.) Loeuille, Semir & Pirani","Cândido, JB","Roque, N; Funk, VA; Sancho, G","4501","2014","10","29","Southern America","Brasil","Bahia","Mucugê","-41.358611","-12.9575",NA,"até 2,5 m alt., folhas discolores. Brácteas involucrais verdes. Corola e anteras alvas, estigma lilás.; campo rupestre",NA,NA,"2018","11","-41.358611","-12.9575","815","815","Chapada Diamantina, Trilha para a cachoeira da Sibéria.","06",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:47-03","UFBA","ALCB","65322","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","regis","Lychnophorella regis","(H.Rob.) Loeuille, Semir & Pirani","Cândido, JB","Roque, N; Watanabe, MTC; Mota, AC da; Passos Júnior, LA; Botelho, RB; Santos, TM; Anjos,","772","2003","12","03","Southern America","Brasil","Bahia","Mucugê","-41.320556","-12.956111",NA,"ca 1,2 m alt. Capítulos passados.",NA,NA,"2018","11","-41.320556","-12.956111","1148","1148","Chapada Diamantina, Estrada Andaraí - Mucugê, próxmo a torre da Telemar","06",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:10:47-03","UFBA","ALCB","75071","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophorella","regis","Lychnophorella regis","(H.Rob.) Loeuille, Semir & Pirani","Cândido, JB","Roque, N; Alunos de Botânica III","1543","2006","12","02",NA,"s/localidade",NA,NA,NA,NA,NA,"Cerca de 2 m de alt. Folhas discolores. Capítulos com frutos.",NA,NA,"2018","11",NA,NA,NA,NA,NA,"06",NA,NA,NA,NA,NA,NA
