"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","minimumElevationInMeters","geoFlag","maximumElevationInMeters","identifiedBy","relatedCatalogItem","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","1015520","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","S. J. da Silva Neto","888","1996","07","09","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas da parcela de morrote, entre as linhas 6 e 10.","-42.3917","-22.6508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107326' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015520","NY01015520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2480261","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","G. Eiten","7459","1966","07","26","South America","Brazil","Rio de Janeiro","Resende","Itatiáia National Park. South face of Mt. Itatiáia, road from Maromba to Macieiras.","-44.4467010498047","-22.468900680542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2701165' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480261","NY02480261_01","36089","1360","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","813749","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","M. Alves","1741","2000","01","06","South America","Brazil","São Paulo","Peruíbe","Estação Ecológica Juréia-Itains, Caminho do Imperador.","-47.173377","-24.51031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813749","NY00813749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","636566","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","B. D. Sucre","6958","1970","05","28","South America","Brazil","São Paulo",NA,"Ilha Bela; Serra dos castelhanos.","-45.254379","-23.817849","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636566","NY00636566_01",NA,"250",NA,"340",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","636556","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","T. M. Koyama","13690","1970","02","06","South America","Brazil","Rio de Janeiro",NA,"Itatiaia, Parque Nacional, Maromba.","-44.60984","-22.334516","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636556","NY00636556_01",NA,"1500",NA,"1500",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00923231","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","U. Confúcio","9603",NA,NA,NA,"South America","Brazil","Minas Gerais","Juiz de Fora","Perto de cachoeira.","-43.468373","-21.740665","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923231","NY00923231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","636565","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","B. D. Sucre","2265","1968","01","28","South America","Brazil","Rio de Janeiro",NA,"Petrópolis Rocio.","-43.251651","-22.476161","sheet","Jardim Botânico do Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636565","NY00636565_01",NA,"700",NA,"700",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","636557","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","T. M. Pedersen","8958","1969","01","04","South America","Brazil","São Paulo","Guarujá",NA,"-46.25","-23.99","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636557","NY00636557_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","636564","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","B. D. Sucre","2466","1968","03","16","South America","Brazil","Rio de Janeiro",NA,"Petrópolis, Rocio.","-43.245074","-22.475577","sheet","Jardim Botânico do Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636564","NY00636564_01",NA,"700",NA,"700",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","636563","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","pilulifera","Rhynchospora pilulifera","Bertol.","M. Alves","1746","2000","01","06","South America","Brazil","São Paulo","Peruíbe","Estaçao Ecológica Juréia-Itains, Caminho do Imperador.","-47.173377","-24.51031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636563","NY00636563_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
