"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:29-03","UNESC","CRI","9143","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.","R. Affonso","2010","11","20","R. Affonso","110","2010","11","20","Brasil","Santa Catarina","Florianópolis","Trilha da cachoeira, Costa da Lagoa, Ilha de Santa Catarina.","-48.462778","-27.566944","48º27'46''W","27º34'1''S","17","17","Habitat: borda da mata Habito: erva apoiante","CRI002168","CRI002168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","9098","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.","M. Verdi","2011","10","08","M. Verdi; J. Durigon","6015","2011","10","08","Brasil","Rio Grande do Sul","Maquiné","Caminho para Lagoa do Palmital.","-50.151667","-29.778889","50º9'6''W","29º46'44''S","10","10","Restinga","CRI002169","CRI002169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:12-03","UNESC","CRI","13548","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.","Renato Colares","2018","05","25","Renato Colares; Thuany Machado",NA,"2018","04",NA,"Brasil","Santa Catarina","Siderópolis",NA,"-49.455","-28.596389","49º27'18''W","28º35'47''S","96","96","Habito: Trepadeira","CRI012155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:12-03","UNESC","CRI","13461","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.","Renato Colares","2018","05","29","Renato Colares; Thuany Machado",NA,"2018","03",NA,"Brasil","Santa Catarina","Treviso","Campo Morosini","-49.444167","-28.531111","49º26'39''W","28º31'52''S","235","235","Habitat: Terrestre Habito: Herbácea","CRI012068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:12-03","UNESC","CRI","13676","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.","Alexandre Medeiros","2017","09","23","Alexandre Medeiros",NA,"2017","09","23","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 722 Habitat: Terrestre Habito: Herbácea","CRI012283",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","612531","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.","M. Barros",NA,NA,NA,"R. Reitz","9191","1959","10","22","Brazil","Santa Catarina",NA,"Mata da Companhia Hering, Bom Retiro, Blumenau.","-49.082834","-26.926032",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612531","NY00612531_01",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00939605","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.",NA,NA,NA,NA,"H. S. Irwin","26254","1970","02","07","Brazil","Minas Gerais","Paracatu","Serra da Anta, summit of chapada, ca. 10 km S.E. of Paracatu","-46.80175","-17.2787",NA,NA,"675","675","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939605","NY00939605_01",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00939607","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.","T. M. Koyama",NA,NA,NA,"W. R. Anderson","10165","1973","05","12","Brazil","Goiás","Goiás","Serra Dourada, ca. 17 km (straight line) S of Goiás Velho, ca. 6 km NE of Mossâmedes, in and along margin of forest on lower eastern slope of serra","-50.1333","-15.9333",NA,NA,"700","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939607","NY00939607_01",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00939608","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.",NA,NA,NA,NA,"W. W. Thomas","4615","1985","10","26","Brazil","Mato Grosso","Poconé","Pantanal. 16 km NW of Porto Jofre on Transpantaneira (MT060) to Poconé.","-56.92","-17.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939608","NY00939608_01",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01201680","PreservedSpecimen","Plantae","Cyperaceae","Scleria","secans","Scleria secans","(L.) Urb.",NA,NA,NA,NA,"P. J. M. Maas","290","1971","04","27","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1453443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201680","NY01201680_01",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA
