"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class","order","occurrenceRemarks","barcode","scientificNameAuthorship","continentOcean","typeStatus","imagecode","verbatimLongitude","verbatimLatitude"
"1","2015-07-02 14:04:31-03","JBP","HPL","10217","S","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","R. Tsuji","2008","03","11","R. Tsuji","2515","2008","03","11","Brasil","RS","Nova Roma do Sul","Coletado no município de Nova Roma do Sul; próximo a uma igreja.","-51.4081","-28.9903","9715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:04:31-03","JBP","HPL","10879","S","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","H. Lorenzi","2008","11","26","H. Lorenzi","6549","2008","11","26","Brasil","RS","Bento Gonçalves","Localidade de Pinto Bandeira no vale do Rio das Antas.","-51.5192","-29.1714","21248","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:34:23-03","IAP","PACA-AGP","96672","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","J. Larocca",NA,NA,NA,"J. Larocca",NA,"2004","05","02","Brasil","RS","Nova Roma do Sul","Rio das Antas","-51.4081001281738","-28.9902992248535","9715","auto","Magnoliophyta","Magnoliopsida","Polygalales","HASU 17282&nf;CERAN - Companhia Energética Rio das Antas","PACA096672",NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:34:23-03","IAP","PACA-AGP","97505","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata",NA,NA,NA,NA,"J. Larocca",NA,"2004","12",NA,"Brasil","RS","Veranópolis","Rio das Antas","-51.5494003295898","-28.9361000061035","16670","auto","Magnoliophyta","Magnoliopsida","Polygalales","HASU 17296","PACA097505",NA,NA,NA,NA,NA,NA
"5","2013-04-01 09:15:35-03","IPT","BCTW","19800","S","Plantae",NA,"Callisthene","inundata","Callisthene inundata","Instituto Plantarum",NA,NA,NA,"Lorenzi, H.","59",NA,NA,NA,"Brasil","Rio Grande do Sul","Nova Roma",NA,NA,NA,NA,NA,"Magnoliophyta","Magnoliopsida",NA,NA,NA,"O.L.Bueno, A.D.Nilson & R.G.Magalh.",NA,NA,NA,NA,NA
"6","2019-11-25 12:12:49-03","UFSM","SMDB","17859","S","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Nilson, A D; Raddatz D. D.","2017","11","21","Raddatz, D D; Da Rosa, R C","s.n.","2017","07","19","Brasil","Rio Grande do Sul","Nova Roma do Sul",NA,"-51.4081001281738","-28.9902992248535","9715","auto",NA,NA,NA,"Árvore de 7 a 10 m de altura, com tronco retorcido, engrossado na base até cerca de 70 cm do solo, logo ramificado, ramos flexíveis, inermes, de crescimento limitado de cor verde-acinzentados, flácidos e lisos. Material testemunho de pesquisa dis","SMDB017859","O.L.Bueno, A.D.Nilson & R.G.Magalh.",NA,NA,NA,NA,NA
"7","2019-03-29 10:41:44-03","UFSM","HDCF","6093","S","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","Marchiori, J. N. C.","2009","01","31","Marchiori, J. N. C.",NA,"2009","01","31","Brasil","Rio Grande do Sul","Farroupilha",NA,"-51.3478012084961","-29.2250003814697","19545","auto",NA,NA,NA,"Espécie reófita, madeira cortada",NA,"Bueno et al.","América",NA,NA,NA,NA
"8","2019-09-04 18:17:02-03","F","FMNH-SEEDPLANTS","V0074786F","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata",NA,NA,NA,NA,"A. D. Nilson & R. G. de Magalhães","36","1998","11","17","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta","Dicotyledoneae",NA,NA,"V0074786F",NA,"South America","Isotype","V0074786F_01",NA,NA
"9","2019-11-01 15:11:43-03","UnB","UB","9187","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata","et al.; Bueno, O",NA,NA,NA,"Nilson, A; Magalhães, RG","36","1998","11","17","Brasil","Rio Grande do Sul","Farroupilha","As margens do Rio das Antas, próximo da ponte RS 448","-51.3478012084961","-29.2250003814697","19545","auto","Dicotyledoneae",NA,NA,"Projeto Pro-Guaíba.; Árvore. Flor amarela; Mata ciliar. Solo: Solo rochoso com afloramento basáltico.","UB0040545","O.L. Bueno, A.D. Nilson & R.G. Magalh.","Southern America","isotype","UB0040545",NA,NA
"10","2019-11-01 15:11:43-03","UnB","UB","11682","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","inundata","Callisthene inundata",NA,NA,NA,NA,"Nilson, A; Magalhães, RG","36","1998","11","17","Brasil","Rio Grande do Sul","Farroupilha","Próximo a ponte, RS 448","-51.3478012084961","-29.2250003814697","19545","auto","Dicotyledoneae",NA,NA,"(OBS:) Projeto Pró-Guaíba.; Árvore 10m. Flor amarela; Mata ciliar, às margens do Rio das Antas. Solo: solo rochoso com afloramento basáltico.",NA,"O.L. Bueno, A.D. Nilson & R.G. Magalh.","Southern America","isotype",NA,NA,NA
