"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","435735","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","paulistana","Polygala paulistana","Grondona","isotype","F. C. Hoehne","36551","1936","10","20","South America","Brazil","São Paulo","Capital, Itahim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00435735","NY00435735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00784358","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"G. G. Hatschbach","25949","1971","01","06","South America","Brazil","Paraná","Serra S. Luis.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784358","NY00784358_01","J. J. Wurdack","Balsa Nova","-49.6356","-25.5842","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-12 15:31:49-03","UFABC","HUFABC","001932","PreservedSpecimen","Plantae","Angiospermas",NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"Keller V.C.","86","2017","09","12",NA,"Brasil","São Paulo","Parque Estadual do Juquery, Próximo à torre de observação do setor B",NA,"Erva, flores brancas","HUFABC001932",NA,NA,"Franco da Rocha","-46.701828","-23.345083",NA,NA,"-46.701828","-23.345083",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:17:31-03","ESALQ","ESA","50088","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Polygalaceae","Polygala","pumila","Polygala pumila",NA,NA,"Scaramuzza, C.A.M. et al.","1176.0","1993","06","23",NA,"Brasil","São Paulo",NA,NA,NA,"ESA050088","ESA050088","Souza, V.C.","Itararé","-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA
"5","2019-08-27 13:31:53-03","IAP","PACA-AGP","54125","PreservedSpecimen","Plantae","Magnoliophyta","Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"Rambo, B.",NA,"1952","12","15",NA,"Brasil","RS","Fortaleza",NA,"Habitat: In campestribus graminosis Fenofase: flor","PACA054125",NA,"R. Lüdtke","Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,NA,NA,"21601","auto","Magnoliatae","2005","07","15",NA
"6","2020-12-21 16:41:21-03","MBM","MBM","5994","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norling",NA,"Hatschbach, G.","18905",NA,NA,NA,"Southern America","Brazil","Paraná","Entre Arapoti e Wenceslau Braz",NA,NA,"MBM005994","MBM005994","Wurdack, J.","Arapoti","-49.8266983032227","-24.1578006744385",NA,NA,NA,NA,"41852","auto",NA,NA,NA,NA,NA
"7","2020-12-21 16:41:21-03","MBM","MBM","37223","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norling",NA,"Hatschbach, G.","3140",NA,NA,NA,"Southern America","Brazil","Paraná","João Eugênio",NA,NA,"MBM037223","MBM037223","Wurdack, J.","Campo Largo","-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,"53742","auto",NA,NA,NA,NA,NA
"8","2020-12-21 16:41:21-03","MBM","MBM","37221","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norling",NA,"Hatschbach, G.","8960",NA,NA,NA,"Southern America","Brazil","Paraná","Parque Vila Velha, Rio Guavirova",NA,NA,"MBM037221","MBM037221","Wurdack, J.","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"9","2020-12-21 16:41:21-03","MBM","MBM","101922","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norling",NA,"Hatschbach, G.","49781",NA,NA,NA,"Southern America","Brazil","Paraná","São Luís do Purunã",NA,NA,"MBM101922","MBM101922","Marques, M.C.M.","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA
"10","2020-12-21 16:41:21-03","MBM","MBM","7053","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norling",NA,"Hatschbach, G.","12827",NA,NA,NA,"Southern America","Brazil","Paraná","Parque Vila Velha",NA,NA,"MBM007053","MBM007053","Wurdack, J.","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"11","2020-12-21 16:41:21-03","MBM","MBM","19190","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norling",NA,"Hatschbach, G.","25949",NA,NA,NA,"Southern America","Brazil","Paraná","São Luís",NA,NA,"MBM019190","MBM019190","Wurdack, J.","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:41:21-03","MBM","MBM","37222","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norling",NA,"Hatschbach, G.","3378",NA,NA,NA,"Southern America","Brazil","Paraná","Rio dos Papagaios",NA,NA,"MBM037222","MBM037222","Wurdack, J.","Campo Largo","-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,"53742","auto",NA,NA,NA,NA,NA
"13","2019-11-01 15:28:35-03","PUC-RIO","FCAB","2219","PreservedSpecimen","Plantae",NA,"Angiospermae","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"P. Capell S.J.","s.n.","1952","12",NA,NA,"Brasil","São Paulo",NA,NA,NA,"002219",NA,NA,"Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"14","2021-02-11 17:21:22-03","UFPR","UPCB","2812","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norlind.",NA,"Braga, R.","457","1960","10","11",NA,"Brasil","Paraná","Barigüi do Portão",NA,"Herbácea, flor creme. Campo..",NA,NA,"Wurdack, J.J.","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"25180","auto",NA,"1960","12",NA,NA
"15","2009-07-09 17:05:00-03","MO","MOBOT","2482257","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"Gert G. Hatschbach","Hatschbach 25949","1971","1","6","South America","Brazil","Paraná","Balsa Nova. Serra São Luis",NA,NA,NA,NA,"Bernardi, L.",NA,NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","1690602","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","paulistana","Polygala paulistana","Grondona","Isotype","F. C. Hoehne & A. Gehrt","36551","1936","10","20","South America - Neotropics","Brazil","São Paulo","Itahym.",NA,NA,"US00611059","US00611059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"17","2020-09-12 05:00:02-03","US","US","2623020","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"G. Hatschbach","25949","1971","1","6","South America - Neotropics","Brazil","Paraná","Serra São Luis",NA,NA,"US01878987","US01878987_01 US01878987_02",NA,"Balsa Nova","-49.6356010437012","-25.5839004516602","1100",NA,NA,NA,"27346","auto","Dicotyledonae",NA,NA,NA,"1"
"18","2020-09-12 05:00:02-03","US","US","2370122","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"G. Hatschbach","3140","1952","10","22","South America - Neotropics","Brazil","Paraná","João Eugenio",NA,NA,"US01878992","US01878992_01 US01878992_02",NA,"Campo Largo","-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,"53742","auto","Dicotyledonae",NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","2536766","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"G. Hatschbach","18905","1968","3","22","South America - Neotropics","Brazil","Paraná","Entre Arapoti e Wenceslau Braz",NA,NA,"US01878986","US01878986_01 US01878986_02",NA,"Arapoti","-49.8266983032227","-24.1578006744385",NA,NA,NA,NA,"41852","auto","Dicotyledonae",NA,NA,NA,"1"
"20","2020-09-12 05:00:02-03","US","US","2403712","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"G. Hatschbach","8960","1962","3","3","South America - Neotropics","Brazil","Paraná","Parque Vila Velha, Guavirova",NA,NA,"US01878989","US01878989_01 US01878989_02",NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","796",NA,NA,NA,"46557","auto","Dicotyledonae",NA,NA,NA,"1"
"21","2020-09-12 05:00:02-03","US","US","2601400","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"G. Hatschbach","12827","1965","9","19","South America - Neotropics","Brazil","Paraná","Parque Vila Velha",NA,NA,"US01878988","US01878988_01 US01878988_02",NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"46557","auto","Dicotyledonae",NA,NA,NA,"1"
"22","2020-09-12 05:00:02-03","US","US","1055467","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind","Isosyntype","P. K. Dusén","10359","1910","10","20","South America - Neotropics","Brazil",NA,"Ponto Grossa.",NA,NA,"US00611058","US00611058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"23","2020-09-12 05:00:02-03","US","US","2339774","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"R. E. Braga & R. Lange","457","1960","10","11","South America - Neotropics","Brazil","Paraná","Barigui do Portão.",NA,NA,"US01878990","US01878990_01 US01878990_02",NA,"Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"25180","auto","Dicotyledonae",NA,NA,NA,"1"
"24","2020-09-12 05:00:02-03","US","US","2370127","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"G. Hatschbach","3378","1953","12","20","South America - Neotropics","Brazil","Paraná","Rio Papagaios",NA,NA,"US01878991","US01878991_01 US01878991_02",NA,"Campo Largo","-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,"53742","auto","Dicotyledonae",NA,NA,NA,"1"
"25","2019-12-09 17:30:42-03","UFPR","EFC","2668","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","pumila","Polygala pumila","Norlind",NA,"Tramujas, A.P.","186","1990","10","16",NA,"Brasil","Paraná","Serra dos Órgãos",NA,"Herbácea 10 cm em campo de altitude a 1739 m s.n.m., pico Tucum. Flores creme.","EFC002668",NA,NA,"Campina Grande do Sul","-48.8554","-25.2555","1739","1739","-48.8554","-25.2555",NA,NA,NA,NA,NA,NA,NA
