"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032803","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","A. Chautems","G. G. Hatschbach","55448","1991","06","14","South America","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, subida ao Pico da Bandeira.","-41.852071","-20.418942","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206654' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032803","NY01032803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02713082","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"L. de S. Leoni","4197","1999","05","14","South America","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional ao lado da trilha (direita de quem sobr) em direção a tronqueira.","-41.8683013916016","-20.4333000183105","1400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3040741' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713082","NY02713082_01","isotype","21645","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:11:16-03","ESALQ","ESA","64883","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23735.0","2000","02","22",NA,"Brasil","Espírito Santo","Alegre","Parque Nacional do Caparaó. Mata ciliar do Rio Norte. 20o26'45S; 41o44'07W. 1110msm","-41.5331001281738","-20.763599395752","1110","1110",NA,"Arbusto, ca. 1,5m alt.; corola róseo-avermelhada","ESA064883","ESA064883",NA,"26101","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:11:16-03","ESALQ","ESA","69591","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Novelino, R.F. et al.","22231.0","1988","03","19",NA,"Brasil","Minas Gerais","Caparaó","Parque Nacional do Caparaó","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"ESA069591","ESA069591",NA,"15056","auto",NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:02:18-03","JBP","HPL","3136","S","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula",NA,"E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","1922","2001","02","21",NA,"Brasil","MG","Alto Caparaó","Coletada no Parque Nacional do Caparaó, na subida para a tronqueira.","-41.8683","-20.4333",NA,NA,NA,NA,NA,NA,NA,"21645","auto","2001","02","21",NA,NA,NA,NA
"6","2015-07-02 14:42:34-03","JBP","HPL","11618","S","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","H. Wiehler","L.S. Leoni","1519","1991","04","24",NA,"Brasil","MG","Carangola","Coletado na Serra da Grama, em área de transição; frequente na área de coleta, em meio a arbustos. Candollea 52:275.","-42.466667","-20.733333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991","10","14","42° 28' W","20° 44' S",NA,NA
"7","2020-12-20 21:17:56-03","UFV","VIC","026066","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"Caiafa, A.N.; Umbelino, M.","173","2001","05","17",NA,"Brasil","Minas Gerais","Araponga","PESB Serra das cabeças, 3° cabeça.","-42.5208015441895","-20.6667003631592",NA,NA,NA,"Planta de cerca de 1.20 m, portando flores tubulares roxas,crescendo em interior de mata em trilha.","VIC026066","VIC026066",NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:17:56-03","UFV","VIC","009293","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"Vidal, W.N.; et al.","630","1985","02","13",NA,"Brasil","Minas Gerais","Araponga","PESB Serra das cabeças, Próximo a fazenda.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,"VIC009293","VIC009293",NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:17:56-03","UFV","VIC","038618","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"Tinti, B.V.","s.n.","2010","04","23",NA,"Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, Pedra do pato.","-42.2789001464844","-20.7255992889404",NA,NA,NA,"Herbácea de campo graminoso.","VIC038618","VIC038618",NA,"20038","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:17:56-03","UFV","VIC","20709","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems","Chautems, A.","Valente, G.E.","1611","2004","05","31",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, Serra das 3 cabeças totem deitado, alt 1722 m. Platô da serra.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,"VIC020709",NA,NA,"16385","auto","2010","03","04",NA,NA,NA,NA
