"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","individualCount","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","118641","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Unspecified Determiner","isotype","A. S. Pires","1008","1962","02","04","South America","Brazil","São Paulo","Barra de Una (rodovia Bertioga - Sao Sebastiao), - Cultivada no Jardim Botanico de Sao Paulo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00118641","NY00118641_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2569988","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro",NA,"Isotype","A. S. Pires & O. Handro","1008","1962","2","4","South America - Neotropics","Brazil","São Paulo",NA,NA,NA,"US00115422","US00115422_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2569989","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro",NA,"Isotype","A. S. Pires & O. Handro","1008","1962","2","4","South America - Neotropics","Brazil","São Paulo",NA,NA,NA,"US01737422",NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-16 18:32:00-03","USP","SPF","83028","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Handro, O","isotype","Pires, AS; Handro, O","1008","1962","02","04",NA,"Brasil","São Paulo","Rodovia Berioga - São Sebastião - Cultivada no Jardim Botânico de São Paulo.",NA,"Vive no humus sobre e entre as pedras na mata sombria e húmida. Fl. alvas.","SPF00083028","SPF00083028",NA,NA,"1963","03","Barra de Una",NA,NA,NA,NA
"5","2019-11-13 11:16:42-03","USP","SPF","83027","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Handro, O","paratype","Pires, AS","s.n.","1959","02",NA,NA,"Brasil","São Paulo","Praia de Guaratuba (rodovia Bertioga - São Sebastião).",NA,NA,"SPF00083027",NA,NA,NA,"1963","03","Bertioga","-46.138599395752","-23.8544006347656","37616","auto"
"6","2019-11-13 11:16:42-03","USP","SPF","83030","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Handro, O",NA,"Pires, AS","933","1960","06",NA,NA,"Brasil","São Paulo","Barra de Una (rodovia Bertioga - São Sebastião).",NA,NA,"SPF00083030",NA,NA,NA,"1963","03","São Sebastião","-45.4099998474121","-23.7600002288818","41977","auto"
"7","2019-11-21 10:01:49-03","IBt","SP","53970","S","Plantae",NA,NA,"Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Handro, O","Paratype","Pires, AS","s.n.","1959","02",NA,NA,"Brasil","São Paulo","Rodovia Bertioga - São Sebastião, praia de Guaratuba",NA,"Na mata úmida, sobre pedras. Flores alvas","SP000061","SP000061",NA,NA,"1963","03",NA,NA,NA,NA,NA
"8","2019-11-21 10:01:49-03","IBt","SP","54304","S","Plantae",NA,NA,"Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Handro, O","Paratype","Pires, AS","s.n.","1959","07",NA,NA,"Brasil","São Paulo","Rodovia Bertioga - São Sebastião, Praia de Guaratuba",NA,"Sobre pedras, na mata úmida","SP000063","SP000063",NA,NA,"1963","03",NA,NA,NA,NA,NA
"9","2019-11-21 10:01:49-03","IBt","SP","56636","S","Plantae",NA,NA,"Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Handro, O","Paratype","Pires, AS; Handro, O","933","1960","06",NA,NA,"Brasil","São Paulo","Rodovia Bertioga - São Sebastião, Barra de Una",NA,"Na mata úmida, sobre e entre pedras. Planta ca. 70 cm alt.","SP000062","SP000062",NA,NA,"1963","03",NA,NA,NA,NA,NA
"10","2019-11-21 10:01:49-03","IBt","SP","59779","S","Plantae",NA,NA,"Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Handro, O","Holotype","Pires, AS; Handro, O","1008","1962","02","04",NA,"Brasil","São Paulo","Barra do Una. Rodovia Bertioga - São Sebastião. Cultivada no Jardim Botânico de São Paulo",NA,"Vive no humus entre e sobre as pedras na mata sombria e úmida. Flores alvas","SP000060","SP000060",NA,NA,"1963","03","Peruíbe","-46.9900016784668","-24.3199996948242","21922","auto"
"11","2019-11-21 10:01:49-03","IBt","SP","336955","S","Plantae",NA,NA,"Begoniaceae","Begonia","piresiana","Begonia piresiana","Handro","Gomes da Silva, SJ",NA,"Gomes da Silva, SJ","s.n.","1992","02","13",NA,"Brasil","São Paulo","Parque Estadual das Fontes do Ipiranga",NA,"erva ca, 0,5m alt. Folhas verdes, abaxial com pilosidade ferrugínea, frutos róseos",NA,NA,NA,NA,"1998","04","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto"
