"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","coordinatePrecision","geoFlag","yearIdentified","typeStatus","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2016-11-01 14:37:00-02","NY","NYBG","776867","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","suborbicularis","Inga suborbicularis","T. D. Pennington","A. M. V. de Carvalho","6975","2001","08","17","South America","Brazil","Bahia","Encruzilhada","Encruzilhada: Rod. Encruzilhada/Ribeirao do Largo 13.3 km N","-40.8142","-15.515","895","895","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57842' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776867","NY00776867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1551200","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","suborbicularis","Inga suborbicularis",NA,"A. V. Popovkin","385","2008","09","27","South America","Brazil","Bahia","Entre Rios","Fazenda Rio do Negro. Restinga type forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.0486","-12.0178",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1913794' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551200","NY01551200_01","T.D.Penn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1552033","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","suborbicularis","Inga suborbicularis",NA,"D. B. O. S. Cardoso","2412","2009","02","07","South America","Brazil","Bahia","Entre Rios","Estrada para a Fazenda Rio do Negro.","-37.95","-11.88",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552033","NY01552033_01","T.D.Penn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02694298","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","suborbicularis","Inga suborbicularis",NA,"A. V. Popovkin","148","2008","01","14","South America","Brazil","Bahia","Entre Rios","Residual stands of the Atlantic Forest. Restinga-type forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","-38.084400177002","-11.9419002532959","153",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969183' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694298","NY02694298_01","T.D.Penn.","52418","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","517960","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","suborbicularis","Inga suborbicularis","T. D. Pennington","W. W. Thomas","11286","1996","11","14","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Trail to peak of Monte Pascoal. Upper slopes and top of Monte Pascoal.","-40.5747","-15.2647","250","536","sheet","Site: MP <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517960","NY00517960_01","T.D.Penn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1551175","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","suborbicularis","Inga suborbicularis",NA,"D. B. O. S. Cardoso","2412","2009","02","07","South America","Brazil","Bahia","Entre Rios","Estrada para a Fazenda Rio do Negro.","-37.95","-11.88",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1912672' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551175","NY01551175_01","T.D.Penn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:40:01-03","EAO","IAN","125383","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","suborbicularis","Inga suborbicularis","Pennington, TD","Belém, RP","3745","1968","06","27","Southern America","Brasil","Minas Gerais",NA,"Rodovia BR 4, Km 944.",NA,NA,NA,NA,NA,"Arvorezinha de 4m de altura. Corola esverdeada, estames brancos, caule marron.","IAN125383",NA,"T.D. Penn.",NA,NA,"1996","holotipo",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:09:55-03","NBC","NL-BOTANY","U.1304931","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","suborbicularis","Inga suborbicularis",NA,"Harley RM; et al.",NA,"1977","01","12","Southern America","Brazil",NA,NA,"Parque Nacional de Monte Pascoal. On N.W. slopes of Monte Pascoal.","-39.416667","-16.883333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304931","NL-U1304931","T.D.Penn.",NA,NA,NA,NA,"Magnoliopsidae","-39.416667","-16.883333",NA,NA,NA,NA,NA
"9","2019-02-22 11:45:28-03","IPA","IPA","85571","S","Plantae","Plantae",NA,"Leguminosae-Mim.","Inga","suborbicularis","Inga suborbicularis","Gomes-Silva, A.","Amaral, C.; Santos, E.; Santos, E.","55","1998","03","06","Southern America","Brasil","Sergipe","Itaporanga d'Ajuda","Caueira, mata de reserva da área de assentamento, borda da trilha.","-37.3106002807617","-10.9981002807617",NA,NA,NA,"Árvore ca. 6m de altura, frutos imaturos verdes com pêlos amarronzados.","IPA0085571",NA,"T.D. Penn.","31945","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-27 13:48:56-03","UFS","ASE","2620","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","suborbicularis","Inga suborbicularis","Felix, LP; Mata, MF","Carneiro, EM","414","1982","08","03","Southern America","Brasil","Sergipe","São Cristóvão","Rita Cacete","-37.206389","-11.014722",NA,NA,NA,"Arbusto. Flores esverdeadas. Estames o dobro da corola e alva. Folhas compostas com raque alado. Tabuleiro. Solo argiloso.","ASE0032571","ASE0032571","T.D.Penn.",NA,NA,"2008",NA,NA,"-37.206389","-11.014722","08","12",NA,NA,NA
