"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039330","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","M. Gomes","M. A. Nadruz Coelho","2259","2009","01","14","South America","Brazil","Rio de Janeiro","Magé","Parquen Nacional da Serra dos Orgãos. Distrito de Piabetá, PARNASO, trilha para Petrópolis.","-43.1558","-22.5778","173","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485509' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039330","NY01039330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1182866","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","M. Gomes","S. de V. A. Pessôa","582","1991","08","29","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Picada para Serra Queimada). Área FR42.","-42.883","-22.483","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411012' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182866","NY01182866_01","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:38-03","UNESP-IBB","BOTU","27048","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Smith, S.F.","Hatschbach, G.","68615","1998","10","17",NA,"Brasil","Bahia","Una",NA,NA,NA,NA,NA,"Arbusto, 3 m de altura, pedúnculo rosado, flor com base alva, ápice violeta. Restinga arbórea.","BOTU027048",NA,NA,"1999","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:54-03","UFRJ","RFA","25686","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","M.Gomes","A. Quinet","mar-54","2000","11","24",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá","-43.124444","-22.573333","200",NA,"Árvore, 10m de altura, 32cm de DAP, folha verde discolor, comum no local","RFA29285",NA,"200","2000","43º7'28''W","22º34'24''S","12","12",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-12 15:31:51-03","UFABC","HUFABC","001124","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll. Arg.","Brunieira, C P","Bruniera, C P; Silva, W","717","2012","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Trilha da Catanuba, subindo pela represa da Serra Velha, floresta submontana e montana.","-43.416667","-22.583333",NA,NA,"Voucher para estudos anatômicos e moleculares, foto, prensada em álcool 70%; Árvore ca 4,5m alt. Folhas coriáceas discolores. Frutos verdes a verde escuros, frequente.","HUFABC001124","HUFABC001124",NA,"2012","-43.416667","-22.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-12 15:31:51-03","UFABC","HUFABC","001125","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll. Arg.","Brunieira, C P","Bruniera, C P; Silva, W","758","2012","03","31",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Baixada nos entornos da represa do Barrelão, floresta submontana e montana.","-43.416667","-22.583333",NA,NA,"foto prensada em álcool 70%; Árvore ca 4m alt. Folhas cartáceas, discolores, raque verde. Frutos verde-amarelados com linhas longitudinais mais claras.","HUFABC001125","HUFABC001125",NA,"2012","-43.416667","-22.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-12 15:31:51-03","UFABC","HUFABC","001126","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll. Arg.","Brunieira, C P","Bruniera, C P; Silva, W","719","2012","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Trilha da Catanuda, subindo pela represa da Serra Velha, floresta submontana e montana.","-43.416667","-22.583333",NA,NA,"Voucher para estudos moleculares, prensada em álcool 70%; Árvore ca 2,7m alt. Folhas coriáceas, discolores. Estéril, frequente.","HUFABC001126","HUFABC001126",NA,"2012","-43.416667","-22.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-12 15:31:51-03","UFABC","HUFABC","001127","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll. Arg.","Brunieira, C P","Bruniera, C P; Silva, W","718","2012","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Trilha da Catanuda, subindo pela represa da Serra Velha, floresta submontana e montana.","-43.416667","-22.583333",NA,NA,"Voucher para estudos moleculares, prensada em álcool 70%; Árvore ca 2,7m alt. Folhas coriáceas, discolores. Estéril, frequente.","HUFABC001127","HUFABC001127",NA,"2012","-43.416667","-22.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:24:01-03","UFBA","ALCB","122337","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll.Arg.","Gomes, M","Martinelli, G; Lima, HC; Gomes, JC","14400","1990","10","10","Southern America","Brasil","Rio de Janeiro","Paraty","Área de Proteção Ambiental de Cairuçu. Estrada para a Praia do Sono.","-44.7131004333496","-23.2178001403809","50",NA,"2,20 metros de altura, ciófila; folhas marcadamente discolor; inflorescência alvacenta, com flores em botões alvas.","ALCB007431","ALCB007431","50","1996",NA,NA,"06",NA,"34470","auto",NA,NA,NA,NA,NA
"10","2020-11-04 11:18:58-03","ESALQ","ESA","13091","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rudgea","vellerea","Rudgea vellerea","Müll. Arg.","Pinho-Ferreira, M.A.","Moraes, P.L.R.","871.0","1993","12","18",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,"ESA013091","ESA013091",NA,"2004",NA,NA,"05","04","34265","auto",NA,NA,NA,NA,NA
