"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","identifiedBy","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:42:25-03","E","E","283885","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","Howorth, R.","202","1999","06","29","W. Tropical South America","VE","herbarium specimen of unspecif","BGBASE:295571","<a href=http://data.rbge.org.uk/herb/E00283885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4149866","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","R. L. Liesner","11643","1981","05","01","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471191' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149866","Magnoliophyta","Piperales","Ruiz & Pav.","Táchira","10 (airline) km E of La Fundación, 13 to 23 km by road, around Represa Dorada","-71.7797","7.7967","600","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4149877","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","R. L. Liesner","20504","1986","05","02","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471202' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149877","Magnoliophyta","Piperales","Ruiz & Pav.","Bolívar","Amaruay-tepui. West side, steep slope to base of wall. .1 to .3 km N of SW corner of Tepui","-62.25","5.92","600","740","Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1015237","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","R. Callejas Posada","1601","1983","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102150' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015237","Magnoliophyta","Piperales","Ruiz & Pav.","Bahia","2 km oeste de Camacã. Estrada Camacã - Pau Brasil.","-39.4956","-15.4194","160","160","Camacan","E. J. Tepe","NY01015237_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4149765","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","J. Jaramillo","6568","1984","04","07","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471090' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149765","Magnoliophyta","Piperales","Ruiz & Pav.","Pichincha","Reserva Forestal ENDESA, Río Silanche: Corporación Forestal Juan Manuel Durini, km 113 de la carretera Quito-Pto. Quito, faldas occidentales, a 10 km al Norte de la carretera principal","-79.03","0.08","650","700",NA,NA,"NY04149765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4149781","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","W. H. Camp","E39","1944","06","28","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471106' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149781","Magnoliophyta","Piperales","Ruiz & Pav.",NA,"Santiago-Zamora: Oriente: Valley of the río Zamora, east of Loja. Ridge across the river from the village of Zamora",NA,NA,"1829",NA,NA,NA,"NY04149781_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4149890","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","G. S. Bunting","12793","1983","02","02","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471215' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149890","Magnoliophyta","Piperales","Ruiz & Pav.","Zulia","cuenca del río Guasare, alrededores del Destacamento Guasare N° 1 (La Yolanda), en las laderas del cerro ca. 5 km . al SSE del Destacamento, entre el caño Indio y la fila arriba de su orilla izquierda, en bosque húmedo original","-72.4917","10.8694","600","700","Mara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4149721","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","G. A. Aymard Corredor","4071","1985","08","03","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471046' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149721","Magnoliophyta","Piperales","Ruiz & Pav.","Bolívar","Concesión Minera Oro Uno. 7 Km. al N-O de la Clarita","-61.45","6.22","180",NA,"Sifontes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","870005","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","C. A. Cid Ferreira","2570","1980","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870005","Magnoliophyta","Piperales","Ruiz & Pav.","Acre","Vizinhança da cidade","-68.6567","-9.0658",NA,NA,"Sena Madureira","E. F. Guimarães","NY00870005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","801816","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","M. H. Nee","49521","1998","05","31","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801816","Magnoliophyta","Piperales","Ruiz & Pav.","Santa Cruz","Along trail from Río Yapacaní into Campamento Mataracú of Parque Nacional Amboró, ca. 1 km N of Campamento Mataracú.","-63.87","-17.53","350","350","Ichilo","M. H. Nee","NY00801816_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4149816","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","M. Rimachi Y.","11309","1995","02","01","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471141' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149816","Magnoliophyta","Piperales","Ruiz & Pav.","Loreto","Dtto. Iquitos. Carretera de Iquitos-Nauta, km 21.5, trocha de penetración hasta el caserio de Yarana, Río Nanay, monte abierto",NA,NA,"120","150","Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","870003","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","B. A. Krukoff","5289",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870003","Magnoliophyta","Piperales","Ruiz & Pav.","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,NA,"T. G. Yuncker","NY00870003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4149868","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","R. L. Liesner","17861","1984","02","23","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471193' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149868","Magnoliophyta","Piperales","Ruiz & Pav.","Amazonas","Base of slope of Duida near Culebra on Río Cunucunuma","-65.73","3.73","210",NA,"Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4149824","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","J. M. Schunke-Vigo","10701","1979","01","07","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471149' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149824","Magnoliophyta","Piperales","Ruiz & Pav.","San Martín","Quebrada de Ishichimi, cerca al Fundo del Sr. Ludeña",NA,NA,"400",NA,"Mariscal Cáceres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","870007","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","B. A. Krukoff","5351",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870007","Magnoliophyta","Piperales","Ruiz & Pav.","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,NA,"T. G. Yuncker","NY00870007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4149838","PreservedSpecimen","Plantae","Piperaceae","Piper","obliquum","Piper obliquum","J. M. Schunke-Vigo","1253","1966","11","18","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4471163' target='other'> <mi>dwc_moreinfo</mi></a>","NY04149838","Magnoliophyta","Piperales","Ruiz & Pav.","Huánuco","Dtto. Honoria. Bosque Nacional de Iparia: Región de bosque seco tropical: (sensu Tosi, 1960) a lo largo del Río Pachutea cerca del campamento Miel de Abeja (1 km arriba del pueblo de Tournavista o unos 20 km arriba de la confluencia con el Río Ucayali). En Bosque alto en el camino a Ayamiría",NA,NA,"300","400","Pachitea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
