"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02206156","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","R. B. Faden","P. Fiaschi","2866","2005","03","18","South America","Brazil","Bahia","Camacan","Camacã: RPPN Serra Bonita, 9.7 km W de Camacã na estrada para Jacareci, ramal para a RPPN, ca. 6 km da entrada","-39.5653","-15.3917","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207061' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206156","NY02206156_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01112598","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","R. B. Faden","P. Fiaschi","1953","2004","02","14","South America","Brazil","Bahia","Jussari","Estrada de Jussari para Palmira, entrada à esq. Ca. 7,5 km após Jussari. Fazenda Teimoso. RPPN Serra do Teimoso.","-39.5361111","-15.1602778",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1212369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112598","NY01112598_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00836907","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","R. B. Faden","W. W. Thomas","13332","2003","03","15","South America","Brazil","Bahia","Jussari","Fazenda Serra do Teimoso, Reserva Serra do Teimoso. Near top of mountain, in area near source of the Riberao da Bica.","-39.5425","-15.0956","750","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836907","NY00836907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02714735","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","A. M. Amorim","J. G. Jardim","2083","1999","03","25","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira, ntrada ca. 7,5Km de Jussari. Faz. Teimoso, 1,5Km a E da entrada. RPPN Serra do Teimoso.","-39.5289","-15.1586",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474503' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714735","NY02714735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2422932","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.",NA,"M. O. de O. Pellegrini","328","2013","04","16","South America","Brazil","Espírito Santo","Santa Leopoldina","Colina Verde, arrredores do Morro do agudo","-40.4392","-20.0997","347",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675101' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422932","NY02422932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1747365","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","L. Y. S. Aona-Pinheiro","A. M. V. de Carvalho","4585","1994","08","19","South America","Brazil","Bahia","Santa Luzia","Ca. 7.5 km na estrada da BR 101 para Santa Luzia. Região da Mata Higrófila Sul Baiana.","-39.3972","-15.4142",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1986444' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747365","NY01747365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01873503","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","A. M. Amorim","W. W. Thomas","11740","1998","02","08","South America","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238044' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873503","NY01873503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","471191","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","R. B. Faden","W. W. Thomas","12309","2001","03","14","South America","Brazil","Bahia","Jussari","Fazenda Serra do Teimoso. RPPN Serra do Teimoso","-39.52908","-15.155617",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471191","NY00471191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","566331","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","R. B. Faden","S. C. de Sant'Ana","1019","2001","01","13","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Faz. Teimoso. RPPN Serra do Teimoso","-39.5286","-15.1581",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566331","NY00566331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","110674","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","acaulis","Dichorisandra acaulis","Cogn.","R. B. Faden","W. W. Thomas","11157","1996","03","25","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, along trail leading to summit of Monte Pascoal.","-40.5747","-15.2647","150","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00110674","NY00110674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
