"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","stateProvince","decimalLongitude","decimalLatitude","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2016-09-28 13:20:00-03","NY","NYBG","137279","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Citharexylum","ramizii","Citharexylum ramizii","isotype fragment","A. F. M. Glaziou","15327","1883","05","09","South America","Brazil","Bords du Rio Itamaraty, pres de Cochamba a Petropolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00137279","NY00137279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","137280","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Citharexylum","ramizii","Citharexylum ramizii","isotype fragment","A. F. M. Glaziou","15327","1883","05","09","South America","Brazil","Bords du Rio Itamaraty, pres de Cochamba a Petropolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00137280","NY00137280_01","Glaz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","22205","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","macrophylla","Schlegelia macrophylla","isotype","W. A. Ducke","1854","1945","10","24","South America","Brazil","Esperança (ad ostium fluminis Javari)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022205","NY00022205_01","Ducke","Amazonas","-69.925712","-4.4053522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","483735","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","parviflora","Schlegelia parviflora",NA,"W. W. Thomas","7120","1991","07","01","South America","Brazil","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","sheet","Serra Grande inventory voucher specimen. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483735","NY00483735_01","(Oerst.) Monach.","Bahia","-39.0617","-14.4231","L. G. Lohmann","Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","684651","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","parviflora","Schlegelia parviflora",NA,"S. A. Mori","13037","1979","11","28","South America","Brazil","Antiga rodovia que liga a Estação Ecológica Pau-brasil à Sta. Cruz de Cabrália, a 7 km ao NE da Estação. Ca. 12 km ao NW de porto Seguro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684651","NY00684651_01","(Oerst.) Monach.","Bahia","-39.0244","-16.2783","L. A. Mattos Silva","Santa Cruz Cabrália",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01193299","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","parviflora","Schlegelia parviflora",NA,"E. Lleras","P17006","1973","08","01","South America","Brazil","Rio Javari behind Palmeiras Army Post. Forest on terra firme,","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317560' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193299","NY01193299_01","(Oerst.) Monach.","Amazonas",NA,NA,"J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01092754","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","parviflora","Schlegelia parviflora",NA,"M. M. M. Lopes","1025","2006","08","06","South America","Brazil","RPPN Caminho das Pedras, em trilha de acesso ao Peito-de-Moça. Topo da encosta.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233058' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092754","NY01092754_01 NY01092754_02","(Oerst.) Monach.","Bahia","-39.3417","-15.1736","O. Kosovsky","Arataca","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 20:25:00-03","NY","NYBG","684653","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","parviflora","Schlegelia parviflora",NA,"R. M. Klein","2399","1960","03","10","South America","Brazil","Mata da Cia. Hering, Bom Retiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684653","NY00684653_01",NA,"Santa Catarina","-49.082834","-26.926032","N. Y. Sandwith","Blumenau","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","483734","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","parviflora","Schlegelia parviflora",NA,"G. G. Hatschbach","69114","1999","05","17","South America","Brazil","Varzeao.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483734","NY00483734_01","(Oerst.) Monach.","Espírito Santo","-41.1344","-20.3397","G. G. Hatschbach","Venda Nova do Imigrante","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","687515","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","parviflora","Schlegelia parviflora",NA,"P. K. H. Dusén","12028","1911","08","10","South America","Brazil","Volta Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=876828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687515","NY00687515_01","(Oerst.) Monach.","Paraná",NA,NA,"A. H. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
