"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","recordNumber","continentOcean","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","752","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","corallina","Lymania corallina","(Brong. ex Beer) R.W.Read","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Ludovic Kollmann; P. Lima","2011","02","18","Brasil","Bahia","Igarapiúna","Mata de Pacangé, Fazenda Mechelin. Mata Atlântica alagadiça","39°08'51,2''","13°44'07,2''","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","517942","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","corallina","Lymania corallina","(Beer) Read","H. E. Luther",NA,NA,"W. W. Thomas","1994","09","28","Brazil","Bahia","Ilhéus","2.0 km. NNE of Banco da Vitoria on road leading to W edge of Mata da Esperança.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359599' target='other'> <mi>dwc_moreinfo</mi></a>","10698","South America","-39.0911","-14.7772","sheet","NY00517942","NY00517942_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00907230","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","corallina","Lymania corallina","(Beer) Read","E. M. C. Leme",NA,NA,"W. W. Thomas","1994","09","23","Brazil","Bahia","Ilhéus","Cidade de Ilhéus, 3 km N of Rodoviaria, Mata da Esperança, forest N of dam and reservoir.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161578' target='other'> <mi>dwc_moreinfo</mi></a>","10609","South America","-39.06917","-14.78194","sheet","NY00907230","NY00907230_01","50","50",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","810604","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","corallina","Lymania corallina","(Beer) Read","H. E. Luther",NA,NA,"W. W. Thomas","2002","08","04","Brazil","Bahia","Itacaré","10 km W of jct. road from Ilhéus to Itacaré (BA 001) on road from Itacaré to BR 101, then 1.6 km S on fazenda road to Reserva Fazenda Capitao",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154836' target='other'> <mi>dwc_moreinfo</mi></a>","13046","South America","-39.0885","-14.345","sheet","NY00810604","NY00810604_01","125","125",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376830","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","corallina","Lymania corallina","(Beer) Read","E. M. C. Leme",NA,NA,"A. M. V. de Carvalho","1991","09","11","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359600' target='other'> <mi>dwc_moreinfo</mi></a>","3598","South America","-39.0617","-14.4231","sheet","NY00376830","NY00376830_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376832","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","corallina","Lymania corallina","(Beer) Read","M. A. Spencer",NA,NA,"A. M. Amorim","1992","10","06","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7,3 km na estrada Serra Grande-Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359601' target='other'> <mi>dwc_moreinfo</mi></a>","809","South America","-39.0617","-14.4231","sheet","NY00376832","NY00376832_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","884809","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","corallina","Lymania corallina","(Beer) Read","E. M. C. Leme",NA,NA,"W. W. Thomas","1994","09","20","Brazil","Bahia","Ilhéus","Cidade de Ilhéus, 3 km N of Rodoviaria, Mata da Esperança, forest N of dam and reservoir.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161576' target='other'> <mi>dwc_moreinfo</mi></a>","10568","South America","-39.06917","-14.78194","sheet","NY00884809","NY00884809_01","50","50",NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:29:40-03","UFRJ","RFA","28186","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","corallina","Lymania corallina","(Brong. ex Beer) R.W.Read",NA,NA,NA,"L. O. F. Sousa; T. Wendt; A. P. G. de Faria; G. K. Brown; J. L. da Paixão","2003","04","01","Brasil","Bahia","Uruçuca","Rodovia Uruçuca - Serra Grande. Parque Estadual do Conduru","39º6'20''W","14º28'49''S","Erva epífita, folhas cartáceas concolores verdes, frutos verdes","458",NA,"-39.105556","-14.480278",NA,"RFA52220",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:29:40-03","UFRJ","RFA","31222","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","corallina","Lymania corallina","(Brong. ex Beer) R.W.Read","L. O. F. de Sousa","2003","09","Sousa","2003","09","01","Brasil","Bahia","Uruçuca","Serra Grande, Parque Estadual de Conduru, Estrada Uruçuca",NA,NA,"Epífita, ciófila, inflorescência rosa e folhas verdes e pétalas brancas","458",NA,"-39.2844009399414","-14.5930995941162",NA,"RFA52218",NA,NA,NA,"01","33791","auto",NA,NA,NA
"10","2020-06-29 11:29:40-03","UFRJ","RFA","43606","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","corallina","Lymania corallina","(Brong. ex Beer) R.W.Read",NA,NA,NA,"L.O.F. Souza",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"-43.2075004577637","-22.9027996063232",NA,"RFA55491",NA,NA,NA,NA,"57442","auto",NA,NA,NA
