"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","dayIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","class"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2861","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme","Elton. C. M. Leme","2009","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","36787","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Canistrum","ingratum","Canistrum ingratum","Mez",NA,NA,NA,NA,NA,"Magalhães, MG","1585","Southern America","Brasil","IAN036787","IAN036787_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:03:56-03","ESALQ","ESA","43863","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B. Sm.","Martins, S.E.","2007","04",NA,"Erva terrestre; roseta ca. 1 m diam.; brácteas vermelho-vináceas; frutos imaturos verde-claros.","Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.","12130.0",NA,"Brasil","ESA043863",NA,"01","1996","09","01","Minas Gerais","Alto Caparaó.","BLOQUEADO","-41.8683013916016","-20.4333000183105","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:46-03","MN","R","32379","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B. Sm.","Fontoura, T.","1987","07",NA,NA,"Foster, M.B.","128",NA,"Brasil","R010005434","R010005434 R010005434_1","21","1939","07","01","São Paulo","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:31-03","MN","R","215827","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme","Neves, B.F.S.","2012","10",NA,NA,"Coser, T.S. 403; Uribbe, F.P. & Neves, B.",NA,NA,"Brasil","R010007154",NA,"10","2011","03","28","Espirito Santo",NA,NA,"-41.512778","-20.419167",NA,NA,"41º30'46''W","20º25'09''S",NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:31-03","MN","R","211055","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme","Kessous, I.M.","2016","05",NA,NA,"Moura, R. 483; Vianna-Filho, M.D.M. & Carrijo, T.T.",NA,NA,"Brasil","R010019894","R010019894 R010019894_1","20","2008","01","18","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-45.090586","-20.512364",NA,NA,"45°05'26,11''W","20°30'44,51''S",NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:31-03","MN","R","193202","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme","Silva, B.R.","1998","06",NA,NA,"Silva, B.R.","63",NA,"Brasil","R010016925","R010016925 R010016925_1 R010016925_2","29","1998","06","10","Rio de Janeiro","Engenheiro Paulo de Frontin","Sacra Família","-43.6782989501953","-22.5496997833252","14263","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:37:51-02","BGBM","B","B 10 0248888","S","Plantae",NA,NA,"Bromeliaceae","Canistrum","ingratum","Canistrum ingratum","Mez",NA,NA,NA,NA,"Commissão Geographicae Geologica de Minas Herbario No. 1585 <a href=http://herbarium.bgbm.org/object/B100248888 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","H. de Magalhães","1585","Middle and South America","Brazil","B100248888","B100248888",NA,"1896","07",NA,NA,NA,"Serra de Mantigueira.",NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA,NA,NA
"9","2020-12-20 21:16:30-03","UFV","VIC","31808","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme",NA,NA,NA,NA,"Planta epífita, folhas verde a amareladas, inflorescência no centro da roseta, brácteas rosadas.","Pereira, T.A.R.","et. al.",NA,"Brasil","VIC031808","VIC031808",NA,"2008","08","22","Minas Gerais","Araponga","Trilha do Moinho, PESB","-42.5208015441895","-20.6667003631592","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:16:30-03","UFV","VIC","15279","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme",NA,NA,NA,NA,"Brácteas vermelhas, esciófila, sépalas amarelas.","Paula, C.C.","1055",NA,"Brasil","VIC015279","VIC015279",NA,"1995","11","13","Minas Gerais","Fervedouro","PESB, margem do córrego do ouro","-42.2789001464844","-20.7255992889404","20038","auto",NA,NA,NA,"1400","1400",NA,NA,NA
"11","2019-11-21 14:33:02-03","UFJF","CESJ","68566","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","Leme","B. Moreira","2016",NA,NA,"Epífita, flor amarela. Interior de mata","B. Moreira; L.C.D. Dias","232","América do Sul","Brasil","CESJ068566",NA,NA,"2015","04","20","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, trilha da janela do céu, próxima ao areal","-43.878056","-21.679444",NA,NA,"-43.878056","-21.679444",NA,"1600","1600",NA,NA,NA
"12","2019-11-21 14:33:02-03","UFJF","CESJ","43780","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","Leme","T.Trindade","2007","09",NA,"Erva terrestre em mata ciliar, bráctea do escapo vermelha na face adaxial e abaxial, flores com ápice esverdeado e base alva.","C.N. Matozinhos; N.L. Abreu; B.F.Mello; F.S. Souza","183","América do Sul","Brasil","CESJ043780",NA,"28","2005","04",NA,"Minas Gerais","Rio Preto","Serra Negra, Ninho da Égua.","-43.8278007507324","-22.0891990661621","20815","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:19:02-03","UNICAMP","UEC","73702","S","Plantae","Liliopsida",NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B.Sm.","Proença, SL","1998","12",NA,"Erva rupícula de 1m de altura. Brácteas da inflorescência vermelhas. Sépalas amarelas.","Kinoshita, LS; Moreira, JLA","9522",NA,"Brazil","UEC005059","UEC005059","21","1995","04","06","São Paulo","Lavrinhas","12 km ao Norte de Lavrinhas, Vale do Ribeirão do Braço.","-44.881667","-22.462778",NA,NA,"-44.881667","-22.462778",NA,NA,NA,NA,NA,NA
"14","2015-09-03 21:09:55-03","MNHN","RECOLNAT_MNHN_P","P01684043","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B.Sm.",NA,NA,NA,NA,". . Specimen in monographia Bromeliacearum citatum <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684043' target='other'> <mi>dwc_moreinfo</mi></a>","Glaziou, A.",NA,NA,"Brasil","P01684043","P01684043_01",NA,"1881","5","12","Rio de Janeiro",NA,"Brésil. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13250","hb",NA
"15","2015-09-03 21:06:15-03","MNHN","RECOLNAT_MNHN_P","P01684041","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B.Sm.",NA,NA,NA,NA,". . Specimen in monographia Bromeliacearum citatum, Reçu le 16 juillet 1882 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684041' target='other'> <mi>dwc_moreinfo</mi></a>","Glaziou, A.",NA,NA,"Brasil","P01684041","P01684041_01",NA,"1882","7","16","Rio de Janeiro",NA,"Brésil. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14340","hb",NA
"16","2021-03-17 19:21:04-03","MNHN","RECOLNAT_MNHN_P","P00753389","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B.Sm.","Smith",NA,NA,NA,"Reçu le 29 juin 1880 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753389' target='other'> <mi>dwc_moreinfo</mi></a>","Glaziou, A.",NA,NA,"Brésil","P00753389","P00753389_01 P00753389_02",NA,NA,NA,NA,NA,NA,"Province de Rio de Janeiro",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,"11692","hb",NA
"17","2015-09-03 21:09:53-03","MNHN","RECOLNAT_MNHN_P","P01684039","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B.Sm.",NA,NA,NA,NA,". s.d. Reçu le 12 mai 1881 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684039' target='other'> <mi>dwc_moreinfo</mi></a>","Glaziou, A.",NA,NA,"Brasil","P01684039","P01684039_01",NA,NA,NA,NA,"Rio de Janeiro",NA,"Brésil. Province de Rio-Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13252","hb",NA
"18","2015-09-03 21:09:54-03","MNHN","RECOLNAT_MNHN_P","P01684040","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B.Sm.",NA,NA,NA,NA,". . donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684040' target='other'> <mi>dwc_moreinfo</mi></a>","Glaziou, A.",NA,NA,"Brasil","P01684040","P01684040_01",NA,"1881","6","6","Rio de Janeiro","Nova Friburgo","Brésil. RJ. Nova Friburgo. Nova Friburgo, Rio de Janeiro, Sudeste, Brasil, América do Sul","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,"13252","hb",NA
"19","2015-09-03 21:09:55-03","MNHN","RECOLNAT_MNHN_P","P01684042","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B.Sm.",NA,NA,NA,NA,". . donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684042' target='other'> <mi>dwc_moreinfo</mi></a>","Glaziou, A.",NA,NA,"Brasil","P01684042","P01684042_01",NA,"1882","7","12","Rio de Janeiro","Rio de Janeiro","Brésil. R.J. Sur les roches ombragés, à la Tijuca. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,"14340","hb",NA
"20","2015-09-03 21:09:55-03","MNHN","RECOLNAT_MNHN_P","P01684044","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B.Sm.",NA,NA,NA,NA,". Juin 1881. donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684044' target='other'> <mi>dwc_moreinfo</mi></a>","Glaziou, A.",NA,NA,"Brasil","P01684044","P01684044_01",NA,"1881","6","1","Rio de Janeiro","Rio de Janeiro","Brésil. RJ. Tijuca. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,"13250","hb",NA
"21","2020-12-11 11:43:36-03","UFMG","BHCB","143221","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker)",NA,NA,NA,NA,"Saxícola em interior de mata, próximo a curso de água. Inflorescência passada.","Machado, TM; Stehmann, JR; Martins da Costa, I","176","Southern America","Brasil",NA,NA,NA,"2010","09","24","Espírito Santo","Ibitirama","Parque Nacional do Caparaó, Pedra Roxa, no leito do rio.","-41.73525","-20.393444",NA,NA,"-41.73525","-20.393444",NA,"1172","1172",NA,NA,NA
"22","2020-12-11 11:43:36-03","UFMG","BHCB","183326","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker)",NA,"2016","09",NA,"Epífita; Dentro de Mata","Paucar, JOA; Batista, JAN; Silva, GS; Bragioni, TLS; Lima, LV","46","Southern America","Brasil","BHCB039538",NA,"15","2016","09","15","Minas Gerais","Espera Feliz","Parque Nacional do Caparaó, Myrante do Lajão, saíndo da trilha da Macieira para a Cachoeira do Aurélio.","-41.833694","-20.48",NA,NA,"-41.833694","-20.48",NA,"1827","1827",NA,NA,NA
"23","2009-07-31 07:05:00-03","MO","MOBOT","2945561","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","giganteum","Canistrum giganteum","(Baker) L.B. Sm.","L.B. Sith",NA,NA,NA,NA,"George Eiten|Liene T. Eiten","Eiten 7742-B","South America","Brazil",NA,NA,NA,"1966","7","31","Rio de Janeiro",NA,"Município de Resende: Itatiáia National Park. South face of Mt Itatiáia. Along road west of telivision replay tower, east of head of main valley of Rio Itatiáia, Primary forest 15 m tall with open canopy. Soil with humas layer 4-5 dm deep, below this mineral soil is a light yellow-brown and below reddish",NA,NA,NA,NA,NA,NA,NA,"1840.00000000",NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","2945566","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","ingratum","Canistrum ingratum","Mez",NA,NA,NA,NA,NA,"* MEGELHAES","MEGELHAES 1585","South America","Brazil",NA,NA,NA,"1896","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","22621",NA,"Plantae",NA,NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme","L. Kollmann/10-09-2008",NA,NA,NA,"Terrestre na sombra. Brácteas vermelhas, bainha marrom clara.","L. Kollmann; et al","6747",NA,"Brasil","MBML022621","MBML022621_1 MBML022621_2",NA,"2004","06","12","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA,NA
"26","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","23914",NA,"Plantae",NA,NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme","L. Kollmann/10-09-2008",NA,NA,NA,"Terrestre.","L. Kollmann; et al","7585",NA,"Brasil","MBML023914","MBML023914_1 MBML023914_2",NA,"2005","03","25","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA,NA
"27","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","37440",NA,"Plantae",NA,NA,"Bromeliaceae","Wittrockia","gigantea","Wittrockia gigantea","(Baker) Leme","T.S. Coser/21-06-2011",NA,NA,NA,"Rupícola. Folhas verde avermelhas, vermelho escuro no ápice, bainha castanho claro. Inflorescência com brácteas verde avermelhadas. Frutos verde amarelados.","C. N. de Fraga; R.Goldenberg, P.H.Labiak & M.M.Saavedra.","2133",NA,"Brasil","MBML037440","MBML037440_1 MBML037440_2",NA,"2008","07","19","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Goela da Onça. Floresta Ombrófila Densa Altomontana com Inselbergues.","-41.111389","-20.516111",NA,NA,"41W6'41","20S30'58",NA,"1500","1500",NA,NA,NA
