"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","individualCount","class","dayIdentified","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1015072","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLugh.","E. Lucas","S. A. Mori","12390","1979","06","21","South America","Brazil","Bahia","Rio de Contas","4 km ao N de Rio de Contas.","-41.77","-13.53","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099543' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015072","NY01015072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0051759","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLugh.","E. Nic Lughadha, 1998.","R. M. Harley; E. Nic Lughadha, R. F. Queiroz","H-50758","1992","1","12",NA,"Brazil","Bahia",NA,"Mun. Abaira: Barra.","-41.7667","-13.3","1300",NA,NA,"Shrub 2m tall; bark fibrous, acinzentada (ash-colored)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019286","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLugh.",NA,"R.M. Harley; DJN Hind & R. Simao","25778","1988","10","30",NA,"Brazil","Bahia","Rio de Contas","Pico das Almas:vertente leste. Trilho Faz. Silvina - Queiroz.","-41.9333","-13.5333","1350","1450",NA,"Isotype of Myrcia almasensis; Arbusto ate 1.5m de altura. Folhas brilhantes, verdes na face superior, discolores, a face inferior branca, com pilosidade um pouco ferruginea. Flores alvas, levemente perfumadas.",NA,NA,"ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0051758","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLugh.","E. Nic Lughadha, 1998.","Wilson Ganev","1489","1992","11","18",NA,"Brazil","Bahia",NA,"Mpio. Abaira: Sicota- Serrinha road.","-41.85","-13.3333","1470",NA,NA,"Shrub 1.5m tall; leaves green discolorous; fruits green-yellowish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:37:06-03","MBM","MBM","254537","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","almasensis","Myrcia almasensis","Nic Lugh.","Nic Lughadha, E.","Harley, R.M.; et al.; et al.","50758","1992","01","12","Southern America","Brazil","Bahia","Abaíra","Barra","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"MBM254537","MBM254537",NA,"26531","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:39:21-03","UFMG","BHCB","102467","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLughadha",NA,NA,"3522","1994","07","14","Southern America","Brasil","Bahia","Abaíra","Caminho Jambreiro-Belo Horizonte. Carrasco de encosta com campo rupestre com solo arenoso, com muitas rochas.","-41.85","-13.3","110","1150",NA,"Arbusto de ca. 2.20m, muito ramificado. Folhas coriáceas verdes discolores. Pedicelo crème-esverdeado. Flores com cálice crème-esverdeado e anteras alvas. Frutos imaturos verde-amarelados. Planta em início de floração, comum.","BHCB012388","BHCB012388",NA,NA,NA,"1999","-41.85","-13.3",NA,NA,NA,NA,NA
"7","2020-09-02 16:33:57-03","Cenargen","CEN","111861","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLugh.","J. E. Q. Faria Júnior","Jair Eustáquio Quintino de Faria Jr.","1908","2011","09","25",NA,"Brasil","BA","PIATA","Estrada para Inúbia, ca 12 km após o entroncamento com a estrada de Piatã.","-41.8875","-13.080555","1381","1381","Exsicatas","Ambiente rupestre na encosta de morro. Botões florais cinéreos em inflorescência triflora, pentêmeros (coletado em sílica gel). Doação do Herbário UB.","CEN00111861","CEN00111861",NA,NA,NA,"2011","-41.8875","-13.080555","09","1",NA,NA,NA
"8","2019-11-13 11:26:57-03","USP","SPF","111996","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLugh.","Nic Lughadha, E","Ganev, W","2290","1993","10","23",NA,"Brasil","Bahia","Abaíra",NA,"-41.9","-13.3","1150","1150",NA,NA,"SPF00111996",NA,NA,NA,NA,"1999","-41.9","-13.3",NA,NA,NA,NA,NA
"9","2019-11-13 11:26:57-03","USP","SPF","120081","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLugh.","Nic Lughadha, E","Ganev, W","3522","1994","07","14",NA,"Brasil","Bahia","Abaíra",NA,"-41.85","-13.3","1100","1150",NA,NA,"SPF00120081",NA,NA,NA,NA,"1999","-41.85","-13.3",NA,NA,NA,NA,NA
"10","2019-11-13 11:26:57-03","USP","SPF","121665","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","almasensis","Myrcia almasensis","NicLugh.","Sobral, M","Queiroz, LP","PCD3999","1996","11","03",NA,"Brasil","Bahia","Piatã","Serra de Santana","-41.760833","-13.150278","1309","1309",NA,NA,"SPF00121665",NA,NA,NA,NA,"2004","-41.760833","-13.150278",NA,NA,NA,NA,NA
