"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","stateProvince","phylum","order","minimumElevationInMeters","maximumElevationInMeters","imagecode","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:35:44-03","E","E","319728","PreservedSpecimen","Plantae","Alismataceae","Echinodorus","bolivianus","Echinodorus bolivianus","isotype","Hassler, E. (Dr.)","12654","E. Tropical South America","PY","Paraguaria centralis: in regione lacus Ypacaray.","herbarium specimen of unspecif","BGBASE:323171","<a href=http://data.rbge.org.uk/herb/E00319728 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:44-03","E","E","514030","PreservedSpecimen","Plantae","Alismataceae","Helanthium","bolivianum","Helanthium bolivianum",NA,"Pedersen, Troels Myndel","3080","Temperate South America","AR","Dep. Mburucuyá; Estancia Santa Maria","herbarium specimen of unspecif","BGBASE:519964","<a href=http://data.rbge.org.uk/herb/E00514030 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514030","1954","12","31","Provincia de Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-21 18:36:00-02","NY","NYBG","214633","PreservedSpecimen","Plantae","Alismataceae","Alisma","bolivianum","Alisma bolivianum","isotype","O. E. White","1540","South America","Bolivia","Reyes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214633","1921","10","25",NA,"Magnoliophyta","Alismatales","304.8","304.8","NY00214633_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","214634","PreservedSpecimen","Plantae","Alismataceae","Alisma","bolivianum","Alisma bolivianum","isotype","O. E. White","1540","South America","Bolivia","Reyes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214634","1921","10","25",NA,"Magnoliophyta","Alismatales","304.8","304.8","NY00214634_01","Rusby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","393753","PreservedSpecimen","Plantae","Alismataceae","Echinodorus","bolivianus","Echinodorus bolivianus",NA,"G. Eiten","2286","South America","Brazil","Campos das Sete Lagôas. Fazenda campininha, just north of Rio Moji-Guaçu. 3.6 km NNW of PADUA SALES (about 27 km. NW of city of MOJI-MIRIM.)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=401058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393753","1960","09","03","São Paulo","Magnoliophyta","Cornales","575","625","NY00393753_01","(Rusby) Holm-Niels.","R. R. Haynes; L. B. Holm-Nielsen","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00734937","PreservedSpecimen","Plantae","Alismataceae","Echinodorus","bolivianus","Echinodorus bolivianus",NA,"G. G. Hatschbach","24614","South America","Brazil","Cachoeirão.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00734937","1970","08","13","Mato Grosso do Sul","Magnoliophyta","Cornales",NA,NA,"NY00734937_01","(Rusby) Holm-Niels.","R. R. Haynes; L. B. Holm-Nielsen","Terenos","-54.8603","-20.4422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00734938","PreservedSpecimen","Plantae","Alismataceae","Echinodorus","bolivianus","Echinodorus bolivianus",NA,"H. S. Irwin","17009","South America","Brazil","Ca. 30 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00734938","1966","06","12","Mato Grosso","Magnoliophyta","Cornales","400","400","NY00734938_01","(Rusby) Holm-Niels.","R. R. Haynes; L. B. Holm-Nielsen",NA,"-52.32","-14.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00734939","PreservedSpecimen","Plantae","Alismataceae","Echinodorus","bolivianus","Echinodorus bolivianus",NA,"H. S. Irwin","8423","South America","Brazil","Rio Torto, immediately N. of Brasília","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00734939","1965","09","18","Distrito Federal","Magnoliophyta","Cornales","975","975","NY00734939_01","(Rusby) Holm-Niels.","R. R. Haynes; L. B. Holm-Nielsen","Brasília","-47.88","-15.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","393749","PreservedSpecimen","Plantae","Alismataceae","Echinodorus","bolivianus","Echinodorus bolivianus",NA,"G. G. Hatschbach","57918","South America","Brazil","Balneário Ipanema","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=401046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393749","1992","08","31","Paraná","Magnoliophyta","Cornales",NA,NA,"NY00393749_01","(Rusby) Holm-Niels.","R. R. Haynes","Paranaguá","-48.5092","-25.5203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393750","PreservedSpecimen","Plantae","Alismataceae","Echinodorus","bolivianus","Echinodorus bolivianus",NA,"R. M. Harley","18011","South America","Brazil","On the coast road between Alcobaça and Prado. 12 km N of Alcobaça. Alt ca. sea level","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=401055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393750","1977","01","16","Bahia","Magnoliophyta","Cornales",NA,NA,"NY00393750_01","(Rusby) Holm-Niels.","R. R. Haynes; L. B. Holm-Nielsen",NA,"-39.22","-17.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
