"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00809237","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","G. G. Hatschbach","30329","1972","09","16","South America","Brazil","Paraná","Dois Vizinhos","3 Barras; margens rio Iguaçu","-53.0569","-25.7336","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809237","NY00809237_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00809242","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","V. Zak","3189","1987","12","13","South America","Ecuador","Pichincha",NA,"Carretera Quito-Chiriboga-Empalme, Km 92, desvio a Mulaulte, en borde del carretero y en quebrada de Mulaulte.","-78.83","-0.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809242",NA,"H. E. Robinson","1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00809244","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","M. H. Nee","45186","1994","07","13","South America","Bolivia","Santa Cruz","Florida","Along nearly dry tributary to Río Bermejo, 1.5 km. NW (upstream) from junction with Río Piojeras to form the Río Piraí.","-63.57","-18.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=569938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809244",NA,"H. E. Robinson; J. F. Pruski","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00809238","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","F. C. Hoehne","s.n.","1936","07","31","South America","Brazil","São Paulo",NA,"Ilha Seca, Fazenda Guanabara",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809238","NY00809238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00809239","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","M. Kuhlmann","932","1943","08","23","South America","Brazil","São Paulo","Monte Alegre do Sul","Monte Alegre do Sul, Estação Experimental","-46.68","-22.6803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809239","NY00809239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017667","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","G. G. Hatschbach","17085","1967","08","29","South America","Brazil","Paraná",NA,"S. Izabel do Ivaí.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221530' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017667","NY01017667_01","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00809243","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","J. L. Zarucchi","6771","1988","05","21","South America","Colombia","Antioquia","San Carlos","Km 16 of road San Carlos-Granada (3.3 km past road to San Luis).","-75.08","6.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809243",NA,"H. E. Robinson","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00809241","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","E. M. Zardini","39964","1994","07","21","South America","Paraguay","Alto Paraná",NA,"Monumento Científico Moisés Bertoni (Río Paraná).","-54.6","-25.65","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809241",NA,"H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00809240","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","L. Riedel","s.n.","1834","08",NA,"South America","Brazil",NA,NA,"R. Paranahyba",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809240","NY00809240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","872225","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","N. A. Rosa","2198","1977","06","01","South America","Brazil","Mato Grosso",NA,"Margem direita do R. Juruena.","-58.3804411","-11.0249185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872225","NY00872225_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-24 17:10:28-03","UTFPR","DVPR","4676","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","Caxambu, MG; et al.","5504","2014","07","18",NA,"Brasil","Paraná","Fênix","RPPN Porto Velho, Propriedade de Ivan Luis de Castro Bittencourt.","-51.5716","-23.53445",NA,"arbusto ca. 2,50 m, heliófito. Capítulos alvos.; Relevo: suave-ondulado - Vegetação: Floresta Estacional Semidecidual Submontana - Solo: Latossolo vermelho. Beira da trilha.","DVPR004676",NA,"Cordeiro, J","353","353","2015","-51.5716","-23.53445",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:34:46-03","EAO","IAN","59030","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","morifolium","Eupatorium morifolium","Mill.","Pires, JM","2611","1950","07","11","Southern America","Brasil","São Paulo",NA,"Dois Córregos.",NA,NA,NA,"Cipó; flor branca.","IAN059030",NA,"Barroso, GM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:10:16-03","UFBA","ALCB","128082","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","Caxambu, MG; Siqueira, EL; Chagas, MP","6614","2015","07","02","Southern America","Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu - próximo ás Cataratas do Iguaçu","-54.438333","-25.689167",NA,"CA. 2,5 M. heliófita. capítulos imaturos esverdeados; relevo: suave-ondulado&nf;Vegetação: Floresta Estaconal Semidecidual Aluvial","ALCB045558","ALCB045558","Caxambu, MG",NA,NA,"2017","-54.438333","-25.689167","08","02",NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:10:16-03","UFBA","ALCB","36293","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","Caxambu, MG; Siqueira, EL; Chagas, MP; Miranda, YC","6652","2015","08","05","Southern America","Brasil","Paraná","Nova Tebas","Estação Ecológica Municipal Reinaldo Petrechen.","-51.947778","-24.370278",NA,"Heliófito, ca. 2 m. Capítulos alvacentos.; Relevo: ondulado.","ALCB045243","ALCB045243","Cordeiro, J","613","613","2017","-51.947778","-24.370278",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:48:49-03","NBC","NL-BOTANY","L.3958385","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","Ule EHG",NA,"1911","08","01","Southern America","Brazil","Amazonas",NA,"Seringal S. Francisco. Rio Acre.",NA,NA,NA,"Bl. weiss 1-4 m.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3958385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3958385","NL-L3958385","Robinson HE",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"16","2020-02-08 08:48:49-03","NBC","NL-BOTANY","U 0078217","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","King RM; et al.",NA,NA,NA,NA,"Southern America","Colombia",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200078217 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0078217",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw15131",NA,NA,NA,NA
"17","2020-02-08 08:48:49-03","NBC","NL-BOTANY","U.1126118","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","Alston AHG",NA,"1939","01","18","Southern America","Venezuela",NA,NA,"State of Trujilo, near Motatan.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1126118 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1126118","NL-U1126118","Cleef AM",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"18","2020-02-08 08:48:49-03","NBC","NL-BOTANY","U.1126119","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Critonia","morifolia","Critonia morifolia","(Mill.) R.M.King & H.Rob.","Ellenberg H",NA,"1957","07","16","Southern America","Peru",NA,NA,"Felswand auf Massenkalk Cueva de Las Lechusas bei Tingo Maria, 40-50 N.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1126119 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1126119","NL-U1126119","Cleef AM",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
