"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:38:32-03","E","E","151903","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","Smith, Herbert H.","218","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:160052","<a href=http://data.rbge.org.uk/herb/E00151903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00918997","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","E. P. Heringer","6545","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918997","Magnoliophyta","Poales","Roxb.","G. C. Tucker","1958","12","21","Minas Gerais","Belo Horizonte","-43.9378","-19.9208","NY00918997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476568","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","M. H. Nee","47530","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476568","Magnoliophyta","Poales","Roxb.","G. C. Tucker","1997","12","26","Santa Cruz","Ignacio Warnes","-63.05","-17.275",NA,"2.5 km NW of La Esperanza and 2 km SE of junction with Montero-Okinawa highway.","270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","709557","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","L. Buscalioni","3731","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709557","Magnoliophyta","Poales","Roxb.","G. C. Tucker","1899","07","04","Pará",NA,NA,NA,"NY00709557_01 NY00709557_02","Rio Tocantins, Travessão Do Ronca tra ItacaYuna S. João do Araguaya.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","622565","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","Charudatan","6","South America","Brazil","sheet",NA,"CV 1. Sueli 020 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622565","Magnoliophyta","Poales","Roxb.","W. W. Thomas","1995","11","18","Pernambuco","Petrolina","-40.5006","-9.3986","NY00622565_01","Posto Texaco, Rod. 122E, em direçao a Paulo Afonso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01174564","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","P. R. J. Bamps","5291","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395925' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174564","Magnoliophyta","Poales","Roxb.",NA,NA,NA,NA,"Pará",NA,NA,NA,"NY01174564_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01174565","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","W. A. Rodrigues","5090","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174565","Magnoliophyta","Poales","Roxb.","G. C. Tucker",NA,NA,NA,"Pará",NA,NA,NA,"NY01174565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01174563","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","M. Barbosa da Silva","1100","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174563","Magnoliophyta","Poales","Roxb.","G. C. Tucker",NA,NA,NA,"Pará",NA,NA,NA,"NY01174563_01 NY01174563_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","622567","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","Charudatan","8","South America","Brazil","sheet",NA,"CV 3. Amostra Sueli 022. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622567","Magnoliophyta","Poales","Roxb.","W. W. Thomas","1995","11","18","Pernambuco","Petrolina","-40.5006","-9.3986","NY00622567_01","Posto Texaco, Rod. 122E. Saída de Petrolina em direçao a Paulo Afonso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","476575","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","M. H. Nee","48813","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476575","Magnoliophyta","Poales","Roxb.","G. C. Tucker","1998","04","03","Santa Cruz","Andrés Ibáñez","-63.07","-17.77",NA,"Jardín Botánico de Santa Cruz, 12 km E of center of Santa Cruz on road to Cotoca. Ditch along NW edge, just south of the Cactario.","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01174562","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","digitatus","Cyperus digitatus","J. J. Strudwick","4148","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395918' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174562","Magnoliophyta","Poales","Roxb.","G. C. Tucker","1981","08","05","Pará",NA,"-55.1657197","-0.2209974","NY01174562_01","Sete Varas airstrip on Rio Curua.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
