"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00784338","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","E. M. Grondona","F. C. Hoehne","s.n.","1928","11","01","South America","Brazil","Paraná","Ponta Grossa.","-50.077154","-25.140873","sheet","Ex. 1a Secçao Botanica e Agronomia do Instituto Biologico de Defesa Agricola e Animal. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784338","NY00784338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01131936","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","R. Lüdtke","R. Lüdtke","63","2002","11","20","South America","Brazil","Rio Grande do Sul","BR 285, a 30 km. de São Borja em direção à São Luiz Gonzaga.","-55.2753","-28.9947","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131936","NY01131936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","687532","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","E. Chodat","H. Luederwaldt","48","1907","05",NA,"South America","Brazil","São Paulo","Capital.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687532","NY00687532_01","Ipiranga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 18:08:00-03","NY","NYBG","00749406","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia",NA,"A. L. Bernardi","E. Hassler","7265",NA,NA,NA,"South America","Paraguay",NA,"Prope Concepcion.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=896830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","784346","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","A. L. Bernardi","J. E. Montes","27665","1958","04","01","South America","Argentina","Misiones","Mineral.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759194' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784346",NA,"Cainguás","270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01131953","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","R. Lüdtke","R. Lüdtke","122","2003","01","08","South America","Brazil","Rio Grande do Sul","BR-392, km. 72, em direção à Canguçú.","-52.3422","-31.7719","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285245' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131953","NY01131953_01","Pelotas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","784347","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","A. L. Bernardi","J. E. Montes","27665","1958","04","01","South America","Argentina","Misiones","Mineral.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784347",NA,"Cainguás","270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00784340","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","J. J. Wurdack","G. G. Hatschbach","23065","1969","12","03","South America","Brazil","Paraná","Rod.BR-277.","-50.6042","-25.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784340","NY00784340_01","Imbituva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02398803","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.",NA,"L. M. M. Carreira","654","1983","03","24","South America","Brazil","Mato Grosso","Sto. Antonio do Levenger. Engenho Velho","-56.0767","-15.8658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2619939' target='other'> <mi>dwc_moreinfo</mi></a>","NY02398803","NY02398803_01","Santo Antônio do Leverger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","784344","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","A. L. Bernardi","F. J. Fernández Casas","FC3933","1980","09","25","South America","Paraguay","Caaguazú","Entre Caaguazú y Coronel Oviedo.",NA,NA,"sheet","Iter Paraguayense (IX-X, 1980) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00856788","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","J. F. B. Pastore","L. M. M. Carreira","654","1983","03","24","South America","Brazil","Mato Grosso","Sto. Antonio do Levenger. Engenho Velho","-56.0767","-15.8658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856788",NA,"Santo Antônio do Leverger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","784345","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","A. L. Bernardi","W. G. F. Herter","Pl.Ur.N.°1314a","1933","12","02","South America","Uruguay","Rivera","Ataques.",NA,NA,"sheet","EX HERB.HERT.N.° <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784345",NA,NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00784339","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","J. J. Wurdack","R. Reitz","17757","1965","12","16","South America","Brazil","Paraná","Fazenda 3 (Trois) Capoes, Guarapuava.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784339","NY00784339_01",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","784343","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","E. Chodat","F. C. Hoehne","s.n.","1927","04","29","South America","Brazil","Minas Gerais","Pouso Alegre.","-45.9358","-22.2303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784343","NY00784343_01","Pouso Alegre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00749430","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","A. L. Bernardi","F. J. Fernández Casas","3899","1980","09","24","South America","Paraguay","Caaguazú","Cerca y al Sur de Yhú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=896825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749430","NY00749430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","784342","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","J. J. Wurdack","W. J. Burchell","4422","1827","03","07","South America","Brazil","São Paulo","Morumbe (=Morumbí now in NW part of the city of Sao Paulo), to the Porto SSE.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784342","NY00784342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00784341","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","J. J. Wurdack","L. B. Smith","14788","1965","01","18","South America","Brazil","Paraná","Fazenda Cajurú, source of Rio Cajurú.","-49.32","-24.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784341","NY00784341_01","Jaguariaíva","1000","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-08 17:43:25-03","EAO","IAN","26204","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Polygalaceae","Polygala","areguensis","Polygala areguensis","Benn.",NA,"Balansa, B","2187",NA,NA,NA,NA,"Paraguai",NA,NA,NA,NA,NA,NA,"IAN026204","IAN026204_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-08 17:43:25-03","EAO","IAN","26341","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN026341","IAN026341_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-04 15:25:39-03","PUCPR","HUCP","5865","S","Plantae","Eudicotiledonea",NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A. St.-Hil. & Moq.","Acra, LA","Piacentini, N","007","1985","08","04",NA,"Brasil","Paraná",NA,"-49.0633010864258","-25.4416999816895",NA,NA,"HUCP00017002","HUCP00017002","Piraquara",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-26 18:09:20-03","CPAN-UFMS","COR","7030","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","DE PAULA, L.H.F.; MOURA, M.A.D.","Moura,M.A.D.","7","2000","11","18",NA,"Brasil","Mato Grosso do Sul","BEP-Base de Estudos do Pantanal. Paratudal; Argilo-arenoso; Plano.","-57.6533012390137","-19.0091991424561",NA,"Com Flor: Rosa",NA,NA,"Corumbá",NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:22:59-03","UFBA","ALCB","10326","PreservedSpecimen","Plantae","Dicotyledon",NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.",NA,"Schinini, A; Tressens, SG; Vanni, R","18222","1979","09","09","Southern America","Argentina",NA,"Dep. Monte Caseros&nf;Ruta 122,15 km W de Monte Caseros",NA,NA,NA,"Flores purpúreas.; En suelos modificado a orillas del camino.","ALCB034116","ALCB034116","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:22:59-03","UFBA","ALCB","45993","PreservedSpecimen","Plantae","Dicotyledon",NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.","Schinini, A","Schinini, A; Casals Galbany, M; León, AR de","35086","1999","09","15","Southern America","Argentina","Corrientes","Ea. Dionisio, Ruta 40, 32 km SW de Colonia Pellegrini, Colonia Uguay","-57.466667","-28.666667",NA,"erecta. Flores moradas. Abundante.; con rocas aflorantes.","ALCB034117","ALCB034117","Dep. Mercedes",NA,NA,NA,NA,"1999","-57.466667","-28.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:15:48-03","NBC","NL-BOTANY","L.2159974","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","areguensis","Polygala areguensis","A.W.Benn.",NA,"Hassler E",NA,"1913","05","01","Southern America","Paraguay",NA,"Paraguaria Centralis: in regione lacus Ypacaray.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2159974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2159974","NL-L2159974",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 09:15:55-03","NBC","NL-BOTANY","L.4166359","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.",NA,"Pedersen TM",NA,"1986","10","13","Southern America","Paraguay",NA,"Plantae paraguarienses. Estancia ''La Peria''. Dep. Pte. Hayes.","-59.566667","-23.433333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4166359 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4166359","NL-L4166359",NA,NA,NA,NA,NA,NA,"-59.566667","-23.433333","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1527938","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.","Bernardi L","Lindeman JC",NA,"1980","12","22","Southern America","Brazil","Rio Grande do Sul","Rio Grande do Sul, Embrapa - UEPAE, former Faz. 5 Cruces, 10 km SE of Bagé.",NA,NA,NA,"Medium grazed natural campo.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1527938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1527938","NL-U1527938",NA,NA,NA,NA,NA,"1994",NA,NA,"Magnoliopsidae","02","07","U 0252679",NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1527939","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.","Bernardi L","Lindeman JC; Irgang BE; Valls JFM",NA,"1971","10","30","Southern America","Brazil","Rio Grande do Sul","20 km W de Passo Fundo.",NA,NA,NA,"Campo com pequeno banhado.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1527939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1527939","NL-U1527939",NA,NA,NA,NA,NA,"1994",NA,NA,"Magnoliopsidae","02","07","U 0252698",NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1527940","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.","Bernardi L","Lima D de Andrade; Vianna EC; Ferreira A; Irgang BE",NA,"1972","11","24","Southern America","Brazil","Rio Grande do Sul","Brasil. Estrada Barra do Quaraí - Uruguaiana, km 65.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1527940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1527940","NL-U1527940",NA,NA,NA,NA,NA,"1994",NA,NA,"Magnoliopsidae","02","11","U 0252699",NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1529864","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.",NA,"Krapovickas A; Cristóbal CL; Arbo MM; Maruñak V; Maruñak RI; Irigoyen J",NA,"1970","11","29","Southern America","Argentina","Corrientes","Prov. Corrientes, Dep. Santo Tome. Margen izuierda ayo. Aguapey, 52 km SE de Ruta Nac. No. 12, desvio a Gobernador Virasoro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1529864 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1529864","NL-U1529864",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0252696",NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1529865","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.",NA,"Pedersen TM",NA,"1984","11","13","Southern America","Argentina","Chaco",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1529865 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1529865","NL-U1529865",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0085182",NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1529867","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.",NA,"Tressens SG; Cáceres S; Vanni RO; Zamudio C",NA,"1989","02","24","Southern America","Argentina",NA,"Prov. Corrientes, Dep. Mercedes. Laguna Ibera. Paso Picada. Reserva Natural Provincial del Ibera.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1529867 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1529867","NL-U1529867",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1529869","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.",NA,"Pedersen TM",NA,"1952","06","03","Southern America","Argentina",NA,"Estancia,,Santa Teresa'. Dep. Mburucuya. Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1529869 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1529869","NL-U1529869",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1529870","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.",NA,"Herter WG",NA,"1933","12","02","Southern America","Uruguay",NA,"Dep. de Rivera. Ataques.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1529870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1529870","NL-U1529870",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 09:15:55-03","NBC","NL-BOTANY","WAG.1936836","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.",NA,"Pedersen TM",NA,"1986","10","13","Southern America","Paraguay",NA,"Plantae paraguarienses. Estancia ''La Peria''. Dep. Pte. Hayes.","-59.566667","-23.433333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1936836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1936836","NL-WAG1936836",NA,NA,NA,NA,NA,NA,"-59.566667","-23.433333","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-12 01:36:13-03","UFPI","TEPB","10104","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil.","Silva Jr, A.","Silva Jr, A.","13","1988","08","22",NA,"Brasil","Rio Grande do Sul","N. Campus","-51.1472015380859","-29.7602996826172",NA,"<ll>dwc_commonname:</ll> Folha de Moluco",NA,NA,"São Leopoldo",NA,NA,"10287","auto","1988",NA,NA,NA,"08","22",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-19 10:25:00-03","CPAP","CPAP","12832","PreserverdSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.",NA,"Pott, A.","6858","1994","03","06",NA,"Brasil","MS","Entre aeroporto e quartel (paiol) do Exército","-57.866667","-21.7",NA,"Erva ereta. FLOR: arroxeada. FRUTO: . INTERESSE: Medicinal. FREQUÊNCIA: Esparsa. AMBIENTE: Pastagem nativa com arbustos e árvores de chaco. SUBSTRATO: solo argiloso (gley pouco húmico eutrófico). RELEVO: plano.",NA,NA,"Porto Murtinho","90","90",NA,NA,NA,"57°52' W","21°42' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-19 10:25:00-03","CPAP","CPAP","17178","PreserverdSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.",NA,"Pott, A.","7945","1998","04","05",NA,"Brasil","MS","Estância Caiman; Sub-região de Miranda; Pantanal","-56.368611","-19.856944",NA,"Erva subereta. FLOR: roxa. FRUTO: . INTERESSE: Medicinal. FREQUÊNCIA: Esparsa. AMBIENTE: Campo alagável. SUBSTRATO: solo siltoso. RELEVO: plano.",NA,NA,"Aquidauana","95","95",NA,NA,NA,"56°22'07'' W","19°51'25'' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-19 10:25:00-03","CPAP","CPAP","23648","PreserverdSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","A. Pott; V. J. Pott","Pott, A.","10878","2002","11","19",NA,"Brasil","MS","Fazenda Santa Cruz.","-56.080833","-20.145833",NA,"Erva. . Frequente. Flor roxa. Campo alagável com Paspalum notatum. Solo: siltoso. Relevo: plano.",NA,NA,"Aquidauana","125","125",NA,NA,"2002","56°04'51''W","20°08'45''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-19 10:25:00-03","CPAP","CPAP","3502","PreserverdSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","molluginifolia","Polygala molluginifolia","A.St.-Hil. & Moq.","A. Pott","Pott, A.","3103","1987","07","29",NA,"Brasil","MS","Fazenda Acurizal; Sub-região do Nabileque; Pantanal - beira do corixo Mutum, (atrás da pista de avição) piquete, sede da fazenda","-57.166667","-18.633333",NA,"Erva ereta, arbusto escandente 1-1,5m. FLOR: vinho. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Rara. AMBIENTE: Campo arbustivo de beira de corixo (rio estacional); muito alagável. SUBSTRATO: solo argiloso preto mal drenado. RELEVO: plano.",NA,NA,"Corumbá","85","85",NA,NA,"1987","57°10' W","18°38' S",NA,"02",NA,NA,NA,NA,NA,NA,NA,NA,NA
