"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","dayIdentified","coordinatePrecision","barcode","imagecode","geoFlag","class","order","typeStatus","previousCatalogNumber"
"1","2019-10-09 11:11:18-03","UFBA","ALCB","106711","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner","Quaresma, AS","2010","10","Franco, IM; Costa, FN; Andrino, CO; Araújo, MI; Quaresma, AS; Araújo, MI","349","2010","04","23","Southern America","Brasil","Minas Gerais","Serro","Diamantina, Parque Estadual do Pico do Itambé. Descida do Pico por Capivari, próximo ao cume do pico","-43.351111","-18.396111","-43.351111","-18.396111","1942","1942","ca. 80 cm em solo pedregoso. Flores rosa esbranquiçadas com tubos da corola vináceos.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:11:18-03","UFBA","ALCB","108365","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner",NA,NA,NA,"Quaresma, AS","354","2012","04","11","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","PERP. Caminho para o pico 2 irmaos","-43.329167","-18.211111","-43.329167","-18.211111","1479","1479","ca. 40 cm. Bracteas involucrais verdes com estrias vinaceas, papus purpura, corola rosea.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:25:19-03","UNICAMP","UEC","23409","S","Plantae","Magnoliopsida","Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner","Nakajima, JN","1991","04","Sucre, D; Plowman, T","5199","1969","05","30",NA,"Brazil","Rio de Janeiro","Itatiaia","Macieras, +/- 1900 msm, Parque Nacional do Itatiaia.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"Até 60 cm de altura, crescendo em beira de mata úmida. caules, rachis da inflorescência e face ventral da folha rosa, face dorsal verde claro flores rosas.; Beira da mata","09","19648","UEC127278","UEC127278","auto",NA,NA,NA,NA
"4","2019-10-07 09:12:01-03","UEFS","HUEFS","193021","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner",NA,NA,NA,"Quaresma, A.S.","354","2012","04","11",NA,"Brasil","Minas Gerais","São Gonçalo do Rio Preto","PERP.Caminho do barraco para o Pico 2 irmãos.","-43.329167","-18.211111","43W19'45''","18S12'40''","1479","1479","Campo sujo.",NA,NA,"HUEFS0193021",NA,NA,"Asteranae","Asterales",NA,NA
"5","2019-10-07 09:12:01-03","UEFS","HUEFS","193034","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner",NA,NA,NA,"Quaresma, A.S.","367","2012","04","11",NA,"Brasil","Minas Gerais","São Gonçalo do Rio Preto","PERP.Pico 2 irmãos","-43","-18","43W","18S","1753","1753","Campo rupestre",NA,NA,"HUEFS0193034",NA,NA,"Asteranae","Asterales",NA,NA
"6","2016-08-23 10:58:54-03","NHMLondon","NHM-LONDON-BOT","BM000796011","S","Plantae",NA,"Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner",NA,NA,NA,"George Gardner; b.1812; d.1849; Gardner","4839/2","1840","09",NA,NA,"Brasil","Minas Gerais",NA,NA,"-44.096503","-19.690239","-44.096503","-19.690239",NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/b1945d2ffeaae485c70b820e330fcf2324484e80/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Holotype","NHMUK:ecatalogue:4989071"
"7","2019-11-01 14:54:34-03","UnB","UB","179609","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner.","Nakajima, JN; Rivera, VL","2013",NA,"Bringel, JBA; Moreira, HJC","990","2012","04","12","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Rodovia GO-118, entre as cidades de Alto Paraíso e Teresina de Goiás","-47.526667","-14.039444","-47.526667","-14.039444","1537","1537","Folhas coletadas em sílica gel; Erva 20cm. Flor rosa; Cerrado com estrato arboreo/arbustivo dominado por indivíduos Mimosa spp. bastante espaçados e com um ponto de afloramento rochoso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-05-06 11:54:07-03","UFU","HUFU","33571","S","Plantae",NA,"Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner","Nakajima, J.N.","2003","08","Krieger, L.","20161","1984","05","06",NA,"Brasil","Minas Gerais",NA,"Serra da Piedade",NA,NA,NA,NA,NA,NA,"Subarbusto com flores róseas.",NA,NA,"HUFU00055530","HUFU00055530",NA,NA,NA,NA,NA
"9","2019-05-06 11:54:07-03","UFU","HUFU","26510","S","Plantae",NA,"Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner","Nakajima, J.N.","2003","05","Forzza, R.C.; Heluy, M.A.; Araújo, F.S. & Valente, A.","1813","2001","02","09",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Arredores do parque. Trilha que sai na portaria do parque para o lado esquerdo.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Subarbusto, ca. 0,5 m. Flores com cálice verde e corola rósea.; Campo areno pedregoso próximo a mata ciliar.",NA,"30417","HUFU00055531","HUFU00055531","auto",NA,NA,NA,NA
"10","2017-09-11 17:08:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Stevia","resinosa","Stevia resinosa","Gardner",NA,NA,NA,"Gardner, G","4839",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in prov. Minas Geraes ad Serra da Piedade",NA,NA,NA,NA,NA,NA,"ex parte",NA,NA,NA,NA,NA,NA,NA,NA,NA
