"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","relatedCatalogItem"
"1","2020-04-27 16:08:55-03","UFES","VIES","20683","S","Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","Couto, D.R.","2010","01","Couto, D.R.; Pinto Júnior, H.V.","1371","2010","01","04","Brasil","Espírito Santo","Mimoso do Sul","Conceição de Muqui.","-41.3664016723633","-21.0641994476318","29430","VIES020683","VIES020683","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:08:55-03","UFES","VIES","5359","S","Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","Kollmann, L.J.C.","2007","04","Vinha, P.C.","1168","1990","11","11","Brasil","Espírito Santo","Serra","Reserva Biológica Mestre Álvaro.","-40.3078002929688","-20.1285991668701","16451","VIES005359","VIES005359","auto","04",NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","35949",NA,"Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","L. Kollmann/20-01-2008",NA,NA,"L. Kollmann; A.P. Fontana, D.Couto, C. Fraga & M. Simonelli","10370","2008","01","20","Brasil","Espírito Santo","Alegre","Monte Cristo","-41.398611","-20.681111",NA,"MBML035949","MBML035949_1 MBML035949_2",NA,NA,"41W23'55","20S40'52","500","500","Erva saxícola, folhas verdes, flores branco-rosadas, frutos rosados.",NA,NA
"4","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","37883",NA,"Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","L. Kollmann/04-11-2009",NA,NA,"L. Kollmann; E.Leme & D.Couto","11630","2009","06","05","Brasil","Espírito Santo","Alegre","Pedra da Caveira da Anta","-41.389167","-20.6575",NA,"MBML037883","MBML037883_1 MBML037883_2",NA,NA,"41W23'21","20S39'27","1000","1000","Saxícola na sombra. Frutos secos.",NA,NA
"5","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","38721",NA,"Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","L. Kollmann/04-11-2009",NA,NA,"C. N. de Fraga; R.C.Forzza & P.Labiak","2250","2008","10","15","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Localidade do Rio Manso. Floresta Ombrófila Densa Altomontana","-41.121111","-20.532778",NA,"MBML038721","MBML038721",NA,NA,"41W7'16","20S31'58","1200","1200","Terrestre, rizomatosa, folhas e inflorescência eretas. Folhas discolores, verde brilhoso na face adaxial e acastanhada na face abaxial, pecíolo verde-avermelhado, anguloso. Inflorescência cilíndrica verde avermelhada. Flores masculinas",NA,NA
"6","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","41144",NA,"Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede",NA,NA,NA,"L. Kollmann; & R. Cribari","12213","2011","03","01","Brasil","Espírito Santo","Serra","Mestre Alvaro","-40.308333","-20.1675",NA,"MBML041144","MBML041144_1 MBML041144_2 MBML041144_3 MBML041144_4",NA,NA,"40W18'30","20S10'3","600","600","Erva terrestre na meia sombra, caule estipulas e peciolos marrons, lamina adaxial verde clara quando nova, verde escuro quando velha, abaxial marrom, inflorescencia seca.",NA,NA
"7","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","41509",NA,"Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","L. Kollmann/20-01-2010",NA,NA,"L. Kollmann; R. L. Kollmann & D. Couto","11866","2004","07","08","Brasil","Espírito Santo","Mimoso do Sul","Conceição do Muqui, Pontões","-41.550556","-20.939444",NA,"MBML041509","MBML041509 MBML041509_1",NA,NA,"41W33'2","20S56'22",NA,NA,"Erva saxícola na meia sombra, folhas acinzentadas, face abaxial vináceas, flores rosas escuras, floração em cultivo 15/12/2006.",NA,NA
"8","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","42382",NA,"Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","L.Kollmann/17-01-2011",NA,NA,"L. Kollmann; & D. Couto","12141","2011","01","17","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama,Canta Galo","-41.355","-20.681944",NA,"MBML042382","MBML042382_1 MBML042382_2 MBML042382_3",NA,NA,"41W21'18","20S40'55","650","650","Erva 80cm, flores brancas, pedicelosvermelhos, inflorescencia verde. VIDE ÁLCOOL",NA,NA
"9","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","49337",NA,"Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","L. Kollmann/03-03-2008",NA,NA,"D.R. Couto; F.C.Favoreto & M.Redling","484","2008","02","22","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama: Canta Galo","-41.385","-20.673889",NA,"MBML049337","MBML049337_1 MBML049337_2",NA,NA,"41W23'6","20S40'26","791","791","Saxícola, vegetando em matinha de galeria. Flores brancas.",NA,NA
"10","2020-07-10 09:43:52-03","MBML","MBML-HERBARIO","38497",NA,"Plantae","Begoniaceae","Begonia","espiritosantensis","Begonia espiritosantensis","E.L.Jacques & Mamede","L.Kollmann",NA,NA,"D.R. Couto","215","2004","11","28","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","29430","MBML038497","MBML038497_1 MBML038497_2","auto",NA,NA,NA,"710","710","Terrícola. Pétalas brancas, sépalas roseas. Parte alta do Fragmento do Toti, no afloramento rochoso na sombra.",NA,NA
