"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","306092","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","M. H. Nee","M. H. Nee","47547","1997","12","26","South America","Bolivia","Santa Cruz","Ignacio Warnes","8.2 km NE of La Esperanza and 1.5 km SW of junction with highway from Montero to Colonia Okinawa no. 1.","-63","-17.25","265","265","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","230207","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","M. H. Nee","M. H. Nee","47378","1997","12","20","South America","Bolivia","Santa Cruz","Ignacio Warnes","Quebrada El Jipa. 3 km NE from RR crossing on SE side of Warnes, on road NE to Okinawa.","-63.13","-17.4933","325","325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00837383","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"R. de Lemos Fróes","11610","1939","02",NA,"South America","Brazil","Maranhão","São Luís","Island of Sao Luiz. Estrada do Barreto.","-44.3028","-2.5297",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837383","NY00837383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 04:01:00-03","NY","NYBG","01204730","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima",NA,NA,"F. A. González","3574","1996","01","12","South America","Colombia","Meta",NA,"Puerto López, Pachaquiaro, El Piñal.",NA,NA,"200","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1716944' target='other'> <mi>dwc_moreinfo</mi></a>","NY01204730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:22-03","EAO","IAN","100433","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","Lam.","Pfeifer, HW","Vogl, CV; Pater","1930",NA,NA,NA,"Southern America","Venezuela",NA,NA,"Sune numero.",NA,NA,NA,NA,NA,NA,"IAN100433",NA,"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:22-03","EAO","IAN","182375","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","Lam.",NA,"Trindade, MJS","s.n.","2002","03","30","Southern America","Brasil","Pará",NA,NA,NA,NA,NA,NA,NA,"Flor roxa.","IAN182375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:22-03","EAO","IAN","182575","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","Lam.",NA,"Trindade, MJS","s.n.","2002","03","30","Southern America","Brasil","Pará","Bacuriteua",NA,NA,NA,NA,NA,NA,"Flor roxa.","IAN182575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:22-03","EAO","IAN","52860","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","Lam.","Pfeifer, HW","Silva, NT da","428","1949","12","14","Southern America","Brasil","Rondônia","Guaporé","Rio Madeira, Iata, capoeira.",NA,NA,NA,NA,NA,"Cipó; flores roxas com centro amarelo.","IAN052860",NA,"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:22-03","EAO","IAN","87182","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","Lam.","Pfeifer, HW","Castañeda, RR","285","1945","01",NA,NA,"Colômbia","Magdalena",NA,"Tucurinca.Rio Madeira, Iata, capoeira.",NA,NA,NA,NA,NA,NA,"IAN087182",NA,"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:34:22-03","EAO","IAN","167885","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","Lam.","Ribeiro, BGS","Nitta, A","17217","1996","09","12","Southern America","Brasil","Pará","Santa izabel do Pará",NA,"-48.1605987548828","-1.29860997200012",NA,NA,NA,NA,"IAN167885",NA,NA,"27708","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:09:50-03","NBC","NL-BOTANY","U.1110286","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.","Smith AC","Krukoff BA",NA,"1939","01","01","Southern America","Brazil","Maranhão",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1110286 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1110286","NL-U1110286",NA,NA,NA,"Magnoliopsidae","U 0225713",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:09:50-03","NBC","NL-BOTANY","L.1661482","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Hatschbach GG",NA,"1959","04","08","Southern America","Brazil",NA,NA,"Est. Parana, Mun. Loanda, Porto São José.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1661482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1661482","NL-L1661482",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:09:50-03","NBC","NL-BOTANY","L.1661483","PreservedSpecimen","Plantae",NA,"Piperales","Aristolochiaceae","Aristolochia","odoratissima","Aristolochia odoratissima","L.",NA,"Peredo I",NA,"1946","03","29","Southern America","Bolivia",NA,NA,"Dep. Santa Cruz, Capital.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1661483 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1661483","NL-L1661483",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
