"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:36:28-03","E","E","166626","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","MADSEN, J.E.","64079","1987","10","13","W. Tropical South America","EC","Manabí","herbarium specimen of unspecif","BGBASE:178142","<a href=http://data.rbge.org.uk/herb/E00166626 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00166626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:28-03","E","E","274892","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","Howorth, R.","124","1999","06","22","W. Tropical South America","VE",NA,"herbarium specimen of unspecif","BGBASE:287630","<a href=http://data.rbge.org.uk/herb/E00274892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:28-03","E","E","166627","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","Kvist, Lars Peter;","60362","1987","01","08","W. Tropical South America","EC","Napo","herbarium specimen of unspecif","BGBASE:178143","<a href=http://data.rbge.org.uk/herb/E00166627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00166627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01212192","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","J. M. Pires","50661","1961","09","02","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212192","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith; D. C. Wasshausen","NY01212192_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01204370","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","B. Wallnöfer","13527","1997","11","15","South America","French Guiana","Saint-Laurent-du-Maroni","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368969' target='other'> <mi>dwc_moreinfo</mi></a>","NY01204370","Magnoliophyta","Cucurbitales","Aubl.","S. V. Heald",NA,"Saül and vicinity; Mont Galbao, W-WSW of Saül; south-side of summit of the NW peak.","-53.2914","3.6133","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01212189","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","J. M. Pires","52502","1962","08","13","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212189","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith; D. C. Wasshausen","NY01212189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01212187","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","H. S. Irwin","48325","1960","09","17","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212187","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01212188","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","R. S. Cowan","38584","1954","11","24","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212188","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith; D. C. Wasshausen","NY01212188_01 NY01212188_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01212190","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","J. M. Pires","51540","1961","10","06","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460520' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212190","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith; D. C. Wasshausen","NY01212190_01","Rio Araguari; Camp 13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01212185","PreservedSpecimen","Plantae","Begoniaceae","Begonia","glabra","Begonia glabra","J. Jangoux","1453","1981","07","17","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460502' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212185","Magnoliophyta","Cucurbitales","Aubl.","L. B. Smith","NY01212185_01","Rio Maicuru, proximidades da pista de pouso do Lageiro","-54.5","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
