"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","year","month","day","locality","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","maximumElevationInMeters","county","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","order","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:39:18-03","E","E","360702","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","Spruce, Richard","478","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:414742","<a href=http://data.rbge.org.uk/herb/E00360702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00360702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1837339","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","D. Coker","681","South America","Trinidad and Tobago","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837339","Bryophyta","Brid.","1920","03","17","Trinidad. Heights of St. Ann.","NY01837339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1837382","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","D. M. Vital","19859","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837382","Bryophyta","Brid.","1991","07","07","Parque Nacional do Itatiaia, along entry road near border with Rio de Janeiro at km 8.5.",NA,"Minas Gerais","-44.75","-22.37","2150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","227120","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","32933","South America","French Guiana","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227120","Bryophyta","Brid.","1997","11","02","Commune de Régina: Kaw Mountains, trail up Montagne Favard from Savane de Kaw",NA,NA,"-52.05","4.5",NA,"R. A. Pursell","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1837389","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","26595","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129016' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837389","Bryophyta","Brid.","1994","10","20","Serra do Ibitipoca, Parque Ibitipoca, ca. 30 km N of Lima Duarte at S end of park.",NA,"Minas Gerais","-43.93","-21.67","1500","R. A. Pursell",NA,"Lima Duarte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","456434","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","18793","South America","French Guiana","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=99581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00456434","Bryophyta","Brid.","1990","11","13","Maripasoula; Ca. 6 km N of Saül, vicinity of Eaux Claires, along first 4 km of Sentier Botanique",NA,"Saint-Laurent-du-Maroni","-53.2","3.62","200","R. A. Pursell","300","Saül",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1837430","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13089","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129057' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837430","Bryophyta","Brid.","1978","02","08","ca 5 km WSW of Guayaramerín along the road to Riberalta.","NY01837430_01","El Beni",NA,NA,NA,"R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1837436","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","13128","South America","Bolivia","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129064' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837436","Bryophyta","Brid.","1978","02","19","Vicinity of Guayaramerin city dump, just NW of town.",NA,"Vaca Diez",NA,NA,NA,"R. A. Pursell",NA,"Beni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1837398","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. R. Buck","2037","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129025' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837398","Bryophyta","Brid.","1977","12","01","Along Rio Surumu, 214 km N of Boa Vista.",NA,"Roraima",NA,NA,"700","R. A. Pursell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1837393","PreservedSpecimen","Plantae","Fissidentaceae","Fissidens","elegans","Fissidens elegans","W. D. Reese","16102","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129020' target='other'> <mi>dwc_moreinfo</mi></a>","NY01837393","Bryophyta","Brid.","1983","04","23","Serra do Cachimbo. km 777 on Cuiaba-Santarem highway (BR 163); 777 km N of Cuiaba. Just N of Mato Grosso border.",NA,"Pará","-54.92","-9.5","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
