"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","county","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:04-03","E","E","194516","PreservedSpecimen","Plantae","Labiatae","Eriope","obovata","Eriope obovata","Harley, R.M.; Hind, D.J.N.; Nic Lughadha, E.; Queiroz, R.F.; Ganev., W.","1991","12","31","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:200338","<a href=http://data.rbge.org.uk/herb/E00194516 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00194516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:04-03","E","E","194418","PreservedSpecimen","Plantae","Labiatae","Eriope","obovata","Eriope obovata","Sano, P.T.; Nic Lughadha, E.; Laessoe, T.","1992","02","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:199248","<a href=http://data.rbge.org.uk/herb/E00194418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00194418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00498745","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","R. M. Harley","1977","03","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498745","Magnoliophyta","Lamiales","Epling","19602","Bahia","Serra das Almas. Middle N.E. slopes of the Pico das Almas ca. 25 km. W.N.W. of the Vila do Rio de Contas","-41.95","-13.55","1500","1600","NY00498745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00632216","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","W. Ganev","1993","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632216","Magnoliophyta","Lamiales","Epling","2740","Bahia","Campos do Virasaia","-41.83","-13.35","1530","1530","NY00632216_01","R. M. Harley","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00498746","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","W. Ganev","1992","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498746","Magnoliophyta","Lamiales","Epling","1297","Bahia","Serra das Brenhas","-41.88","-13.32","1890","1890","NY00498746_01","R. M. Harley","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00632219","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","R. M. Harley","1992","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632219","Magnoliophyta","Lamiales","Epling","H52163","Bahia","Campo do Cigano","-41.92","-13.25","1700","1800","NY00632219_01","R. M. Harley","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00632223","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","W. Ganev","1993","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632223","Magnoliophyta","Lamiales","Epling","2313","Bahia","Vira Saia. Serra do Bicota","-41.83","-13.37","1550","1550","NY00632223_01","R. M. Harley","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00632222","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","R. M. Harley","1991","12","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632222","Magnoliophyta","Lamiales","Epling","H50585","Bahia","Campo de Ouro Fino","-41.9","-13.25","1600","1700","NY00632222_01","R. M. Harley","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00498740","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","G. G. Hatschbach","1984","01","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498740","Magnoliophyta","Lamiales","Epling","47479","Bahia","Mucugê, 5 km S","-41.3706","-13.0056",NA,NA,"NY00498740_01","R. M. Harley","Mucugê",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00813671","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","R. M. Harley","1996","07","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813671","Magnoliophyta","Lamiales","Epling","s.n.","Bahia","Pedra Redonda, entre o rio Preto e o rio Paraguaçu.","-41.4075","-12.95","1070","1070","NY00813671_01","R. M. Harley","Mucugê",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00498744","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","R. M. Harley","1974","02","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498744","Magnoliophyta","Lamiales","Epling","16040","Bahia","Serra do Sincorá. 4 km. S. of Mucugé, on road from Cascavel by the Rio Cumbuca","-41.38","-13","900","900","NY00498744_01","R. M. Harley","Mucugê",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00813672","PreservedSpecimen","Plantae","Lamiaceae","Eriope","obovata","Eriope obovata","E. Saar","1997","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813672","Magnoliophyta","Lamiales","Epling","s.n.","Bahia","Estrada Mucugê Barra da Estiva, 1 km para Mucugê.","-41.5633333","-13.0055556","1000","1000","NY00813672_01",NA,"Mucugê",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
