"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","recordNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","sex"
"1","2021-04-05 14:25:54-03","UNESC","CRI","14640","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","acre","Polygonum acre","Lam.","Baesso, M. M.","2001","09","10","Baesso, M. M.","2001","09","02","Brasil","Santa Catarina","Turvo","morro chato","-49.681944","-28.928056","49º40'55''W","28º55'41''S","Habito: Herbácea","CRI013948","CRI013948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:54-03","UNESC","CRI","14599","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum","Elliott","Zatta, S.","2012","10","25","Zatta, S.; Ceron, K.","2012","05","23","Brasil","Santa Catarina","Siderópolis","Malha II-Leste","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,"CRI013906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:54-03","UNESC","CRI","7840","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum","Elliott","Tais B. Guimarães","2005","01","25","Daniel B. Falkenberg; Tais B. Guimarães","2005","01","25","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S",NA,"CRI007263","CRI007263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:54-03","UNESC","CRI","927","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum","Elliott",NA,NA,NA,NA,"Vanilde C. Zanette; A. J. de Aguiar","1988","09","15","Brasil","Santa Catarina","Sombrio","Lagoa do Caverá.","-49.64","-29.097778","49º38'24''W","29º5'52''S",NA,"CRI007264","CRI007264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:54-03","UNESC","CRI","13397","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum","Elliott","Renato Colares","2018","05","30","Renato Colares","2018","01","15","Brasil","Santa Catarina","Siderópolis",NA,"-49.404167","-28.614444","49º24'15''W","28º36'52''S","Habitat: Terrestre Habito: Herbácea","CRI012004",NA,"139","139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:34-03","E","E","247995","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","acre","Polygonum acre",NA,NA,NA,NA,NA,"Félix, Frère","1909","04","20","CO",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00247995 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247995",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:278013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:34-03","E","E","399453","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum",NA,NA,NA,NA,NA,"Huidobro, A.M. Ruiz","1945","01","29","AR","Provincia de Buenos Aires",NA,"Partido Fandil; Traola",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00399453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399453",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:426566","779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:34-03","E","E","399454","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum",NA,NA,NA,NA,NA,"Juan Semper","1945","02","09","AR","Provincia de Mendoza",NA,"Luján, Chacaras de Coria",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00399454 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399454",NA,"940","940","Temperate South America","herbarium specimen of unspecif","BGBASE:426567","332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:42:34-03","E","E","399456","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"Buenos Ayres",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00399456 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399456",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:426569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:42:34-03","E","E","399457","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum",NA,NA,NA,NA,NA,"Christison, David (Dr.)",NA,NA,NA,"UY",NA,NA,"Laguna Guayabo, San Jorge Uruguay",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00399457 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399457",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:426570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:42:34-03","E","E","399455","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum",NA,NA,NA,NA,NA,"J.L. ? ?",NA,NA,NA,"AR",NA,NA,"Head of Río Rojas",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00399455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399455",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:426568","323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:42:34-03","E","E","399452","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum",NA,NA,NA,NA,NA,"Philippi, Rodulfo A.",NA,NA,NA,"CL","Región X [Los Lagos]","Provincia de Valdivia","Southern Chili; Valdivia",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00399452 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399452",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:426565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 12:32:00-03","NY","NYBG","87449","PreservedSpecimen","Plantae","Polygonaceae","Persicaria","punctata","Persicaria punctata",NA,"D. E. Atha",NA,NA,NA,"M. Ponce","1993","08","29","Ecuador","Napo",NA,"Atahualpa","-77.92","-1.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00087449",NA,"450","450","South America","sheet",NA,"322","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
