"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","493389","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala","A.St.-Hil.","F. C. Hoehne","20303","1927","05","14","South America","Brazil","São Paulo","Itapira","Itapira","-46.809771","-22.434053","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493389","NY00493389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","493388","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala","A.St.-Hil.","A. C. Cervi","4043","1992","12","30","South America","Brazil","Paraná","Jaguariaíva","(saida para Senges)","-49.68","-24.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493388","NY00493388_01","A. C. Cervi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493385","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala","A.St.-Hil.","J. C. Lindeman","Ha.13289","1965","12","08","South America","Brazil","Paraná","Campo Mourao",NA,"-52.3831","-24.0458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493385","NY00493385_01","L. Y. T. Westra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493387","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala","A.St.-Hil.","L. B. Smith","14681","1965","01","17","South America","Brazil","Paraná","Jaguariaíva","Road to Arapoti near boundary","-49.33","-24.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493387","NY00493387_01","L. B. Smith","850","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 07:29:00-03","NY","NYBG","493407","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala",NA,"M. Bernardi","19469","1979","01","11","South America","Paraguay","Canindeyú",NA,"20 km circa ad orientem Ype-Jhú, Mbaracayú, Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493407",NA,"L. C. Stutz de Ortega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","493384","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala","A.St.-Hil.","P. K. H. Dusén","9055","1910","01","23","South America","Brazil","Paraná","Ponta Grossa","Capao Grande","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493384","NY00493384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","493383","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala","A.St.-Hil.","B. Maguire","44533","1959","11","25","South America","Brazil","Mato Grosso",NA,"7 miles from Douradinho on road to Sao Paulo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493383","NY00493383_01",NA,"335.3","335.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","493386","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala","A.St.-Hil.","A. C. Brade","19573","1949","11","14","South America","Brazil","Paraná","Ponta Grossa","Villa Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493386","NY00493386_01","L. de F. de Carvalho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 07:29:00-03","NY","NYBG","324507","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","pulcherrima","Gomphrena pulcherrima",NA,"E. Hassler","5176",NA,NA,NA,"South America","Paraguay","Alto Paraguay",NA,"Iter ad Yerbales Montium Sierra de Maracayú; In altoplanitie et decliviis Sierra de Maracayú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=746597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00324507","NY00324507_01",NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:28:31-03","UNESP-IBB","BOTU","25820","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","macrocephala","Gomphrena macrocephala","A.St.-Hil.","Paschoal, M.E.S.","100111208","2008","12","11",NA,"Brasil","São Paulo","Pratânia","Área de cerradão",NA,NA,NA,"Erva decumente, flores emcapítulo rosa, anteras amarelas","BOTU025820","BOTU025820","Paschoal, M.E.S.",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
