"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2020-09-23 10:39:39-03","E","E","171835","PreservedSpecimen","Plantae","Gramineae","Guadua","paniculata","Guadua paniculata","Gardner, George","2981","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:181539","<a href=http://data.rbge.org.uk/herb/E00171835 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00171835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:39-03","E","E","171834","PreservedSpecimen","Plantae","Gramineae","Guadua","paniculata","Guadua paniculata","Ratter, J.A.; Rocha, M.P. & de Castro, R.A.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:181538","<a href=http://data.rbge.org.uk/herb/E00171834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00171834","1982","09","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 02:17:00-03","NY","NYBG","01175234","PreservedSpecimen","Plantae","Poaceae","Bambusa","paniculata","Bambusa paniculata","T. C. Plowman","8583","South America","Brazil","boxed",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1398915' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175234","1980","02","09","Magnoliophyta","Poales","T. R. Soderstrom","Pará","Conceição do Araguaia","Range of low hills ca. 20 km. west of Redençao, near Côrrego Sao Joao and Troncamento SantaTeresa","-50.17","-8.05","350","620","NY01175234_01 NY01175234_02 NY01175234_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00862711","PreservedSpecimen","Plantae","Poaceae","Guadua","paniculata","Guadua paniculata","H. S. Irwin","15244","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862711","1966","04","21","Magnoliophyta","Poales","X. Londoño","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, ca. 35 km N.E. of Formosa.","-47.1025","-15.30964","800","800","NY00862711_01","Munro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1147014","PreservedSpecimen","Plantae","Poaceae","Guadua","paniculata","Guadua paniculata","T. C. Plowman","8583","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401390' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147014","1980","02","09","Magnoliophyta","Poales","X. Londoño","Pará","Conceição do Araguaia","Range of low hills ca. 20 km, west of Redenção, near Côrrego São João and Troncamento Santa Teresa.","-50.1666669","-8.05","350","350","NY01147014_01 NY01147014_02","Munro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02618115","PreservedSpecimen","Plantae","Poaceae","Guadua","paniculata","Guadua paniculata","T. C. Plowman","8401","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2895943' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618115","1980","02","04","Magnoliophyta","Poales",NA,"Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho. Goiás.","-48.6008","-8.5006","400","500","NY02618115_01","(Munro) Hack.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 11:17:00-02","NY","NYBG","00861809","PreservedSpecimen","Plantae","Poaceae","Guadua","paniculata","Guadua paniculata","J. R. Swallen","3574","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861809","1934","02","18","Magnoliophyta","Poales",NA,"Maranhão",NA,"Caxias to Barra do Corda",NA,NA,NA,NA,"NY00861809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1066133","PreservedSpecimen","Plantae","Poaceae","Guadua","paniculata","Guadua paniculata","J. R. Swallen","9485","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267198' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066133","1946","06","18","Magnoliophyta","Poales","X. Londoño","Mato Grosso do Sul","Bela Vista","Bella Vista, Territory of Ponta Pora","-56.5208","-22.1092",NA,NA,"NY01066133_01","Munro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00862735","PreservedSpecimen","Plantae","Poaceae","Guadua","paniculata","Guadua paniculata","H. S. Irwin","10571","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862735","1965","11","19","Magnoliophyta","Poales","X. Londoño","Goiás","Cabeceiras","Serra do Rio Preto, ca. 10 km E. of Cabeceiras","-46.88996","-15.8","1000","1000","NY00862735_01","Munro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00862733","PreservedSpecimen","Plantae","Poaceae","Guadua","paniculata","Guadua paniculata","L. G. Clark","772","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862733","1991","01","31","Magnoliophyta","Poales",NA,"Minas Gerais",NA,"Parque Nacional Serra do Cipó, along a stream running into the Rio Cipó","-43.55","-19.38","800","800","NY00862733_01","Munro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
