"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","recordNumber","continentOcean","phylum","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-12-04 13:19:14-03","UDESC","LUSC","532","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Neubert, E.E.","Neubert, E.E.","1995","12","12","Brasil","Santa Catarina","São Joaquim","3Km antes do rio Pelotas.","-49.9317016601562","-28.2938995361328","48290","LUSC003545","LUSC003545","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:26:49-03","MBM","MBM","42428","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Cowan, R.S.","Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","São José dos Pinhais","Roseira","-49.2064018249512","-25.5347003936768","45291","MBM042428","MBM042428","auto","8553","Southern America",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:26:49-03","MBM","MBM","42429","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Burkart, A.","Guimarães, O.",NA,NA,NA,"Brazil","Paraná","Piraquara","Estrada Rio Taquari - Rio Divisa","-49.0633010864258","-25.4416999816895","12577","MBM042429","MBM042429","auto","1612","Southern America",NA,NA,NA,NA,NA,NA,NA
"4","2009-07-09 17:05:00-03","MO","MOBOT","2453424","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Burkart, A.","Gert G. Hatschbach","1949","11","13","Brazil","Paraná",NA,"Piraquara. Estrada Río Taquari-Río Divisa",NA,NA,NA,NA,NA,NA,"Hatschbach 1612","South America",NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 12:41:56-03","UFRGS","ICN","150867","S","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Miotto, STS","Hagelund, K",NA,NA,NA,"Brasil","RS","Giruá","Granja Sodol","-54.3497009277344","-28.028299331665","23862","ICN00023183","ICN00023183","auto","2649","América do Sul","Dicotyledon","2010","03","15","Doação de Karner Hagelund.",NA,NA
"6","2021-02-08 12:41:56-03","UFRGS","ICN","138551","S","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Neubert, EE","Neubert, EE","1995","12","12","Brasil","SC","São Joaquim","3km antes do rio Pelotas","-49.9317016601562","-28.2938995361328","48290","ICN00023180","ICN00023180","auto","90","América do Sul","Dicotyledon",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA
"7","2021-02-08 12:41:56-03","UFRGS","ICN","138550","S","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Neubert, EE","Neubert, EE","1995","12","12","Brasil","SC","Urubici","estrada entre Pericó e Urubici 500m antes de uma ponte","-49.5917015075684","-28.0149993896484","30102","ICN00023186","ICN00023186","auto","91","América do Sul","Dicotyledon",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA
"8","2021-02-08 12:41:56-03","UFRGS","ICN","135892","S","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Miotto, STS","Miotto, STS","2004","11","26","Brasil","RS","Bom Jesus","estrada secundária para São Joaquim que passa pela Serraria Araupel","-50.4166984558105","-28.6678009033203","55856","ICN00023182","ICN00023182","auto","2220","América do Sul","Dicotyledon","2010","03","15","Flores roxas",NA,NA
"9","2021-02-08 12:41:56-03","UFRGS","ICN","138555","S","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Neubert, EE","Mattos, J","1964","11","12","Brasil","SC","São Joaquim","Pericó perto de Vacas Gordas nas margens do rio Lavatudo","-49.9317016601562","-28.2938995361328","48290","ICN00023184","ICN00023184 ICN00023184_1","auto","12007","América do Sul","Dicotyledon",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Trepadeira de flores arroxeadas; No bordo da matinha ciliar",NA,NA
"10","2021-02-08 12:41:56-03","UFRGS","ICN","172110","S","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Miotto, STS","Iganci, JRV; Ferreira, PA; Silveira, GH; Buzatto, CR;","2008","11","17","Brasil","SC","Urubici","Campos de Santa Bárbara, PARNA São joaquim. Morro próximo ao ran","-49.5917015075684","-28.0149993896484","30102","ICN00023185","ICN00023185","auto","480","América do Sul","Dicotyledon",NA,NA,NA,"flores cor de vinho.","1695","1695"
"11","2021-02-08 12:41:56-03","UFRGS","ICN","110898","S","Plantae","Fabaceae","Lathyrus","paraguariensis","Lathyrus paraguariensis","Hassl.","Neubert, EE","Neubert, EE","1995","11","14","Brasil","SC","São Joaquim-Urubici","183 Km após entroncamento São Joaquim-Urubici Cruzeiro",NA,NA,NA,"ICN00023181","ICN00023181 ICN00023181_1",NA,"s.n.","América do Sul","Dicotyledon",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Flor lilás.",NA,NA
