"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","686182","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","Kin.-Gouv.","D. C. Zappi; E. Lucas","R. M. Harley","51312","1992","01","26","South America","Brazil","Bahia","Abaíra","Cachoeira das Anáguas.","-41.88","-13.27","1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686182","NY00686182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686181","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","Kin.-Gouv.","D. C. Zappi; E. Lucas","W. Ganev","1836","1993","07","12","South America","Brazil","Bahia","Abaíra","Pico do Barbado","-42.32","-13.9","2020","2020","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686181","NY00686181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:43:53-03","UNEB","HUNEB","10445","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi",NA,NA,"Valadão, R de M.","ALCB 74027","2006","08","03",NA,"Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Sete Passagens, Trilha para Grota de Dona Antônia.","-40.516667","-11.333333",NA,NA,NA,NA,"HUNEB0010445",NA,"Dicotyledoneae","40W31'0''","11S20'0''",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:13:45-03","UFBA","ALCB","107623","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","L.S. Kinoshita","Guedes, ML","Guedes, ML; Alunos de Microbiologia de Adriana","20328","2013","01","28","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Caminho para o corrego do boiadeiro.","-42.522778","-14.534722","930","930",NA,"Folhas coriáceas, discolores, com face abaxial pubescente. Inflorescência racemos axilares, flores com cálice rosa com pelos glandulosos, corola urceolada de cor vermelha.",NA,NA,NA,"-42.522778","-14.534722","2013","09",NA,NA,NA,NA,NA
"5","2019-10-09 11:13:45-03","UFBA","ALCB","031836","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","Kin.-Gouv.","Bautista, HP","Bautista, HP; Silva, SL","266","1997","04","06","Southern America","Brasil","Bahia",NA,"Unidade de Manejo Sustentável.","-41.341667","-12.989167","810","810",NA,"Com ca. de 70cm de altura. Partes jovens dos ramos avermelhadas. Folhas ascendentes discolores, margens revolutas, face abaxial cinzenta. Flores alvas. Frutos verde-claro com ápice amarronzado.; Veg.: Campo rupestre. Solo: Afloramentos Rochosos e Are",NA,NA,NA,"-41.341667","-12.989167","1997","09",NA,NA,NA,NA,NA
"6","2019-10-09 11:13:45-03","UFBA","ALCB","042247","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","L.S. Kinoshita","Guedes, ML; Stradmann, MTS","Stradmann, MTS; Poveda, A; Gomes, DF","0167","1995","03","03","Southern America","Brasil","Bahia",NA,"Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina.","-41.45","-12.466667",NA,NA,NA,"Terrestre, ca. 1,4m. Folhas crassas, discólores. Inflorescência axilares em cacho. Flores tubulares, vermelhas. Ocasional.",NA,NA,NA,"-41.45","-12.466667","1997","06",NA,NA,NA,NA,NA
"7","2021-02-24 18:13:31-03","UFBA","ALCB","42747","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","L.S. Kinoshita","Guedes, ML; Stradmann, MTS","Stradmann, MTS; Poveda, A; Gomes, DF","0167","1995","03","03","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina","-41.45","-12.466667",NA,NA,NA,"Terrestre, ca. 1,4 m. Folhas crassas, disc¢lores. InflorescÆncias axilares em cacho. Flores tubulares, vermelhas. Ocasional.; Mata ciliar, de 15 a 20 m de largura, limitada por paredões rochosos, higrófila. Sub comunidade montana. Solo arenoso, com",NA,NA,NA,"-41.45","-12.466667","1997","06",NA,NA,NA,NA,NA
"8","2019-10-09 11:13:45-03","UFBA","ALCB","73794","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","L.S. Kinoshita","Guedes, ML; Costa, MA","Costa, MA; Watanabe, MTC","234","2006","09","15","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Subida do Pico das Almas","-41.8","-13.55",NA,NA,NA,"de ca 1,5m. Sépalas verdes-avermelhadas. Corola vermelha.",NA,NA,NA,"-41.8","-13.55","2006","10",NA,NA,NA,NA,NA
"9","2019-10-09 11:13:45-03","UFBA","ALCB","73811","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","L.S. Kinoshita","Guedes, ML","Nogueira, TF; Valadão, RM; Guedes, ML; Santos, JS; Santana, FA; Carvalho, G; Sousa, DC de","15","2006","06","16","Southern America","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina","-40.5225","-11.385556","1182","1182",NA,"Altura ca. 1,5m. Folhas coriáceas discolores, com margem revoluta. Inflorecência com brácteas vermelhas. Frutos imaturos verdes.",NA,NA,NA,"-40.5225","-11.385556","2006","09",NA,NA,NA,NA,NA
"10","2019-10-09 11:13:45-03","UFBA","ALCB","74027","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ericaceae","Gaylussacia","harleyi","Gaylussacia harleyi","L.S. Kinoshita","Guedes, ML","Valadão, RM; Santos, JS; Sousa, DC de; Santana, W; Carvalho, G; Guedes, ML","109","2006","08","03","Southern America","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Sete Passagens, Trilha para a Grota de Dona Antônia","-40.516667","-11.333333",NA,NA,NA,"de ca 1,40m. Folhas cartáceas, discolores. Inflorescência com flores vermelhas, botões verde-vermelhos. Frutos imaturos verde-rosados.",NA,NA,NA,"-40.516667","-11.333333","2006","10",NA,NA,NA,NA,NA
