"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","previousCatalogNumber","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","eventTime","fieldNumber"
"1","2021-04-05 14:26:09-03","UNESC","CRI","3341","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.","L. A. Mentz","Vanilde Citadini-Zanette; Robson dos Santos","1942","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arbusto","CRI007604","CRI007604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2591","S","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.","Leandro L. Giacomin","Agra, M.F.; ; Bohs, L.; Giacomin, L. L.","AGRA7386","2011","05","04","Brasil","São Paulo","São José do Barreiro","Parque Nacional Serra da Bocaina. Main road through park from entrance at alojamento to Fazenda Das Posses.","-44.5699996948242","-22.6399993896484","44°36'46,8","22° 45'25,72","1390","1390","254",NA,NA,"Magnoliophyta","Solanales","30784","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:49-03","E","E","305244","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens",NA,NA,"Oliveira, P.I.","587","1982","07","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00305244 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305244",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:311609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:49-03","E","E","304709","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens",NA,NA,"Cordeiro, J.; Deodato, F.","1517","1995","09","14","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00304709 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304709",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:314549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:49-03","E","E","289762","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens",NA,NA,"Ribas, O.S.; Silva, J.M.","1936","1997","08","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00289762 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00289762",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:299499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1844240","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.",NA,"L. L. Giacomin","1870","2012","06","09","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia. Prop. do Sr. Furlani.","-40.5386","-19.8061",NA,NA,"720",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2139003' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844240","NY01844240_01","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","770200","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.","M. H. Nee","O. dos S. Ribas","570","1993","09","23","Brazil","Paraná","Morretes","BR-277, Rio dos Padres.","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770200","NY00770200_01 NY00770200_02","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00697414","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens glabrescens","Sendtn.","L. L. Giacomin","Y. E. J. Mexia","5340","1930","11","21","Brazil","Minas Gerais","Viçosa","Fazenda do Paraiso","-42.8817","-20.7542",NA,NA,"730","730","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=833489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697414","NY00697414_01","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet",NA,"glabrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","770189","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.","P. K. H. Dusén","P. K. H. Dusén","14528","1914","02","18","Brazil","Paraná",NA,"Volta Grande.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770189","NY00770189_01","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","770195","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.","J. R. Stehmann","M. Sugiyama","1018","1992","09","22","Brazil","São Paulo","Sao Miguel Arcanjo","Pq. E.C. Botelho.","-47.99","-23.8703",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770195","NY00770195_01","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","770183","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.","A. C. Cervi","A. C. Cervi","2377","1986","10","03","Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva.","-48.72","-25.42",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770183","NY00770183_01","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00697395","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.","M. H. Nee","G. G. Hatschbach","65196","1996","07","06","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1344","-20.3397",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=833302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697395","NY00697395_01","Magnoliophyta","Solanales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
