"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","872492","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.","M. das G. L. Wanderley","B. Maguire","49073","1960","08","07","South America","Brazil","Minas Gerais","On summit of Serra do Cipo, km. 112-128 from Hotel Chapeu do Sol.","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872492","NY00872492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:52:08-02","IPA","IPA","60850","S","Plantae","Plantae",NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.","Wanderley, M.G.L.","Wanderley, M.G.L.; Cavalcanti, T.B.; Yano, O.; Cavalcanti, T.B.; Yano, O.","CFSC10693","1987","09","07","Southern America","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro, km 142, próximo a bifurcação. Caminho para a cachoeira da farofa",NA,NA,NA,"Planta rizomatosa. Bainhas castanhas; Brejo","IPA0060850",NA,"2012","02","27","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"3","2020-12-21 16:47:47-03","MBM","MBM","426443","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seubert","Mota, N.F.O.","Mota, N.F.O.; Freitas, G.H.S.; Costa, L.M.; Freitas, G.H.S.; Costa, L.M.","2226","2011","04","10","Southern America","Brazil","Minas Gerais","Serra do Cipó, Próximo ao trevo da MG-10 com estrada para Morro do Pilar",NA,NA,NA,"Erva terrestre, formando densas touceiras com mucilagem hialina na base. Espigas jovens castanho-escuras.; Campos brejosos.","MBM426443",NA,"2011",NA,NA,"Morro do Pilar","-43.497778","-19.220833",NA,NA,"-43.497778","-19.220833",NA,NA,NA
"4","2020-12-21 16:47:47-03","MBM","MBM","27169","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seubert","Kral, R.","Hatschbach, G.","29982","1973","08","06","Southern America","Brazil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"MBM027169","MBM027169",NA,NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto",NA,NA,NA,NA,NA
"5","2020-12-11 11:45:35-03","UFMG","BHCB","149672","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Seub.",NA,"Mota, NFO; Freitas, GHS; Costa, LM","2226","2011","04","10","Southern America","Brasil","Minas Gerais","Serra do Cipó, campos brejosos próximo ao trevo da MG-10 com a estrada para Morro do Pilar.","1319","1319",NA,"Erva terrestre, formando densas touceiras com mucilagem hialina na base. Espigas jovens castanho-escuras.",NA,NA,NA,NA,NA,"Morro do Pilar","-43.497778","-19.220833",NA,NA,"-43.497778","-19.220833",NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","3000975","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix","Mart.",NA,"Martins, *","Martins s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:49-03","FZB-BH","BHZB","9192","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix",NA,"M.G.L. Wanderley & J. Santos Guedes","Ferreira Junior, C.A. et al.","475","2012","07","11",NA,"Brasil","MG","RPPN Brumas do Espinhaço e Ermo do Gerais","1355","1355",NA,"Folhas mais velhas acastanhadas. Sobre solo arenoso úmido.Ponto 103, 635004 7895005 1355m , com duplicata, Duplicata doada para Herbário SP",NA,NA,"2013","07",NA,"Santana do Riacho","-43.717222","-19.033056",NA,NA,"43W 43' 02","19S 01' 59",NA,NA,NA
"8","2019-06-10 10:11:49-03","FZB-BH","BHZB","3577","S","Plantae",NA,NA,"Xyridaceae","Xyris","hystrix","Xyris hystrix",NA,"Wanderley, M.G.L.","Munhoz, A.C.","4","2002","06","21",NA,"Brasil","MG","Serra do Cipó - Km 126",NA,NA,NA,"Touceira grande com aproximadamente 35cm de diâmetro e 60cm de altura. Presença de substância gelatinosa inodora, insípida e de cor escura na base das folhas. Outros coletores: Miriam Pimentel",NA,NA,"2002","11","20","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2438395","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","hystrix","Xyris hystrix",NA,NA,"M. Barreto",NA,"1933","8","6","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipó km 127, Palacio",NA,NA,NA,NA,"US01915674","US01915674_01",NA,NA,NA,"Santa Luzia","-43.8513984680176","-19.7696990966797","19939","auto",NA,NA,"Monocotyledonae","1",NA
"10","2020-09-12 05:00:02-03","US","US","2197874","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","hystrix","Xyris hystrix",NA,NA,"L. Smith, F. Segadas-Vianna, A. Egler, L. Dau & et al.",NA,"1952","4","29","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipó, 6 km ao norte do Palacio.","1200",NA,NA,NA,"US01915675","US01915675_01",NA,NA,NA,"Jaboticatubas","-43.58","-19.17",NA,NA,NA,NA,"Monocotyledonae","1",NA
