"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","individualCount","class","relatedCatalogItem"
"1","2020-09-23 10:44:13-03","E","E","77742","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha","isotype","Harley, Raymond M.","25810","1988","10","31","E. Tropical South America","BR","Bahia","Rio de Contas. Pico das Almas: vertente leste. Campo do Quiroz, perto do trilho da Faz. Silvina.","-41.95","13.533333","-41.950000","13.533333","1500","1500","herbarium specimen of unspecif","BGBASE:86062","<a href=http://data.rbge.org.uk/herb/E00077742 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00077742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376175","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha",NA,"R. M. Harley","26570","1988","12","03","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Lajeados a sudeste do Quieroz","-41.97","-13.53",NA,NA,"1500","1500","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376175","Magnoliophyta","Pandanales","Mello-Silva","R. de Mello-Silva","Rio de Contas","NY00376175_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","232843","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha","isotype","R. M. Harley","25810","1988","10","31","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Campo do Queiroz, perto do trilho da Fazenda Silvina","-41.95","-13.53",NA,NA,"1500","1500","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232843","Magnoliophyta","Pandanales","Mello-Silva",NA,"Rio de Contas","NY00232843_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01404669","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha","paratype","M. das G. L. Wanderley","1526","1988","11","05","South America","Brazil","Bahia","Ca. 5-6 km em direção N para o Pico das Almas",NA,NA,NA,NA,"900","1000","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2913586' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404669","Magnoliophyta","Pandanales","Mello-Silva","R. de Mello-Silva",NA,"NY01404669_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","248006","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha",NA,"A. Furlan","CFCR1675","1981","03","22","South America","Brazil","Bahia","Estrada para a Cachoeira do Fraga, no Rio Brumado, 3 km da cidade de Rio de Contas.","-41.8114","-13.5792",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248006","Magnoliophyta","Pandanales","Mello-Silva","R. de Mello-Silva","Rio de Contas","NY00248006_01",NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:39:16-02","BGBM","B","B 10 0243305","S","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha","isotype","R. M. Harley, D. J. N. Hind, R. Simão & J. M. Fothergill","25810","1988","10","31","Middle and South America","Brazil",NA,"Bahia. Mun.: Rio de Contas. Pico de Almas: vertente leste. Campo do Queiroz, perto do trilho da Faz. Silvina.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243305 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243305",NA,NA,"Mello-Silva",NA,NA,"B100243305",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:20:48-03","UNICAMP","UEC","60192","S","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha","isotypus","Harley, RM; Hind, DJN; Simão, RC; Fothergill, JM","25810","1988","10","31",NA,"Brazil","Bahia","Pico das Almas, Vertente leste. Campo do Queiroz, perto do trilho da Faz. Silvina","-41.95","-13.533333","-41.95","-13.533333","1500","1500",NA,NA,"Arbusto até 3 m de altura, ramificado na parte superior. Pedúnculos vináceos. Pétalas roxo - intenso. Estames amarelos. Planta viscosa; Campo arenoso com afloramento de rocha conglomerada. Acima das pedras","UEC060851","Liliopsida",NA,"Mello-Silva","Mello-Silva, R","Rio de Contas","UEC060851","1991","03",NA,NA,NA,NA,NA
"8","2021-03-01 16:20:48-03","UNICAMP","UEC","60191","S","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha","paratypus","Furlan, A; Pirani, JR; Cordeiro, I; Rossi, L; Giulietti, AM; Menezes, NL; Semir, J","CFCR1675","1981","07","22",NA,"Brazil","Bahia","Estrada para a Cachoeira do Fraga, no Rio Brumado, 3 km da cidade de Rio de Contas","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,"Erva de até 1.5 m alt. Flores roxas","UEC060852","Liliopsida",NA,"Mello-Silva","Mello-Silva, R","Rio de Contas","UEC060852","1991","03","49773","auto",NA,NA,NA
"9","2020-12-21 16:46:49-03","MBM","MBM","141007","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha","ISOTYPE","Harley, R.M.; Hind, D.J.N.; Simão, R.; Fothergill, J.M.; Hind, D.J.N.; Simão, R.; Fothergill, J.M.","25810","1988","10","31","Southern America","Brazil","Bahia","Pico das Almas, Vertente leste. Campo do Queiroz, perto do trilho da Faz. Silvina.","-41.95","-13.533333","-41.95","-13.533333","1500","1500",NA,NA,"Arbusto até 3m de altura, ramificado na parte superior. Pedúnculos vináceos. Pétalas roxo-intenso. Estames amarelos. Planta viscosa.; Campo arenoso com afloramento de rocha conglomerada. Acima das pedras.","MBM141007",NA,NA,"Mello-Silva","Mello-Silva, R.","Rio de Contas","MBM141007","1991","03",NA,NA,NA,NA,NA
"10","2017-02-13 11:01:00-02","MO","MOBOT","100954761","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","canelinha","Vellozia canelinha",NA,"Renato de Mello-Silva","Mello-Silva 2131",NA,NA,NA,"South America","Brazil","Bahia","Rd. near Fraga falls","-41.8266667","-13.5988889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mello-Silva","fide Mello-Silva & Sasaki","Rio de Contas",NA,NA,NA,NA,NA,"1",NA,NA
