"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00897419","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.","S. F. Smith","A. Macedo","5521","1989","05","25","South America","Brazil","Minas Gerais","Campina Verde","Campina Verde, Fazenda São Josédo Lajeado.","-49.4864","-19.5358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897419","NY00897419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00897420","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.","H. O. Sleumer","G. G. Hatschbach","21898","1969","07","16","South America","Brazil","Mato Grosso do Sul","Aquidauana","Fazenda Sta. Cruz.","-55.7869","-20.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897420","NY00897420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00897421","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.",NA,"J. A. Ratter","R5099","1985","10","05","South America","Brazil","Mato Grosso do Sul",NA,"Fazenda Nhumirim (Pantanal subregion of Nhecolândia), ca. 100 km SE of Corumbá, on the track to Salina Grande.","-57.02","-19.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897421","NY00897421_01","89","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00897418","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.",NA,"A. Macedo","5586","1989","11","15","South America","Brazil","Minas Gerais","Campina Verde","Campina Verde, baixada da Pindiaba, Fazenda São Josédo Lajeado.","-49.4864","-19.5358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897418","NY00897418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:54-03","UFRJ","RFA","10379","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.","H.Sleumer","G.G. Hatschbach; O. Guimarães","21898","1969","07","16",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Fda. Sta. Cruz","-55.7872009277344","-20.4710998535156",NA,"Arbusto espinhoso, 3m, flor creme.","RFA10238",NA,NA,NA,"1971","212961","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:09:42-03","CPAN-UFMS","COR","9975","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.","Resende, U. M.","Oda, F. M.; Aragaki, S.; Nunes, G.; Amador, G. de A. & Vieira, E. A.","7","2001","09","12",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Pitangueiras","-56.591667","-20.871111",NA,"Arbusto, heliófito; flor ausente; com frutos Habito: Arbusto",NA,NA,"502","502",NA,NA,NA,"56º35'30''W","20º52'16''S",NA,NA,NA,NA,NA,NA
"7","2020-11-26 18:09:42-03","CPAN-UFMS","COR","10540","PreservedSpecimen","Plantae",NA,NA,"Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.",NA,"Takahasi, A.; Campos, V.C.","476","2004","02","19",NA,"Brasil","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal.","-57.6533012390137","-19.0091991424561",NA,"Com Flor: amarelo-ouro",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:24:25-03","UFBA","ALCB","81434","PreservedSpecimen","Plantae","Dicotyledon",NA,"Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.","Smith, SF","Barbosa, E; Silva, JM","1534","2006","11","14",NA,NA,NA,NA,NA,NA,NA,NA,"Arbusto, 2m, flor amarela.; Cerrado.","ALCB050229","ALCB050229",NA,NA,"2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:24:25-03","UFBA","ALCB","92288","PreservedSpecimen","Plantae","Dicotyledon",NA,"Salicaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.","Medina, WA","Rotta, G","534","2008","01","10","Southern America","Argentina","Corrientes","Lavalle",NA,"-59.221667","-29.011667",NA,"Selva de inundaciòn enisla","ALCB050263","ALCB050263",NA,NA,"2008",NA,NA,"-59.221667","-29.011667",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:52:38-03","NBC","NL-BOTANY","L.2468836","PreservedSpecimen","Plantae",NA,"Malpighiales","Flacourtiaceae","Xylosma","venosa","Xylosma venosa","N.E.Br.",NA,"Schinini A; Ahumada O; Irigoyen J",NA,"1976","05","22","Southern America","Argentina",NA,NA,"Prov.Corrientes, Dpto. Concepcón, 28 Km SE de Concepción,Ea'El Tránsito'Paso extendido.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2468836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2468836","NL-L2468836",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
