"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","781584","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker","J. F. Pruski","G. Eiten","5928","1965","02","08","South America","Brazil","São Paulo","Paraguaçú Paulista","Along road 5km SW of center of city of Paraguaçú Paulista.","-50.6","-22.43","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:28:44-03","UNESP-IBB","BOTU","8953","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker",NA,"Campos, C.J.","110-13378","1978","03","13",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Arbusto 1 m de altura com inflorescência amarela","BOTU008953","9999","9999","BOTU008953",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:28:44-03","UNESP-IBB","BOTU","13614","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker","Bicudo, L.R.H.","Bicudo, L.R.H.","857","1986","04","01",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,NA,"BOTU013614","9999","9999","BOTU013614","1986","04","01",NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:07:14-03","UNESP-IBB","BOTU","13610","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker","Bicudo, L.R.H.","Bicudo, L.R.H.","459","1986","02","04",NA,"Brasil","São Paulo","Botucatu",NA,"-48.284722","-22.8",NA,NA,NA,"Flores liguladas e tubulosas amarelas anteras marrons nas flores tubulosas sem odor","BOTU013610","48°17'5w","22°48's","BOTU013610","1986","02","04",NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:07:14-03","UNESP-IBB","BOTU","13613","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker","Bicudo, L.R.H.","Bicudo, L.R.H.","578","1986","02","18",NA,"Brasil","São Paulo","Botucatu",NA,"-48.284722","-22.8",NA,NA,NA,"Flores liguladas e tubulosas amarelas anteras bem marrons - sem odor","BOTU013613","48°17'5w","22°48's","BOTU013613","1986","02","18",NA,NA,NA,NA,NA,NA
"6","2021-02-08 11:07:14-03","UNESP-IBB","BOTU","13615","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker","Bicudo, L.R.H.","Bicudo, L.R.H.","660","1986","03","04",NA,"Brasil","São Paulo","Botucatu",NA,"-48.284722","-22.8",NA,NA,NA,"Flores liguladas e tubulosas amarelas com anteras bem marrons - sem odor","BOTU013615","48°17'5w","22°48's","BOTU013615","1986","03","04",NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:07:14-03","UNESP-IBB","BOTU","13612","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker","Bicudo, L.R.H.","Bicudo, L.R.H.","1017","1986","04","29",NA,"Brasil","São Paulo","Botucatu",NA,"-48.284722","-22.8",NA,NA,NA,"Flores liguladas e tubulosas amarelas anteras marrons - sem odor","BOTU013612","48°17'5w","22°48's","BOTU013612","1986","04","29",NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:28-03","EAO","IAN","24214","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN024214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:28-03","EAO","IAN","13727","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker","Santos, JUM dos","Magalhães, MG","1526","1942","02","17","Southern America","Brasil","Minas Gerais","Belo Horizonte","Campo, margem de mata, serra do Taquaril.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto de 1m de altura, flores amarelas, muito frequente.","IAN013727",NA,NA,"IAN013727 IAN013727_e IAN013727_e1","1987","02","19","17082","auto",NA,NA,NA,NA
"10","2021-03-30 12:34:28-03","EAO","IAN","104368","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Aspilia","clausseniana","Aspilia clausseniana","Baker","Santos, JUM dos","Magalhães, MG","1526","1942",NA,NA,"Southern America","Brasil","Minas Gerais","Belo Horizonte","Campo, margem de mata, serra do Taquaril.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto de 1m de altura, flores amarelas, muito frequente.","IAN104368",NA,NA,NA,"1987","02","19","17082","auto",NA,NA,NA,NA
