"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","class","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem","sex"
"1","2020-09-23 10:41:47-03","E","E","167701","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","angustissima","Eugenia angustissima","Fiebrig, K.","583","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:176689","<a href=http://data.rbge.org.uk/herb/E00167701 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","167702","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","angustissima","Eugenia angustissima","Fiebrig, K.","583","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:176694","<a href=http://data.rbge.org.uk/herb/E00167702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","818299","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","angustissima","Eugenia angustissima","H. S. Irwin","24713","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=860083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818299","Magnoliophyta","Myrtales","O.Berg","M. Sobral","1969","03","20","Goiás","Alto Paraíso de Goiás","Ca. 20 km south of Alto do Paraíso (formerly Veadeiros). Chapada dos Veadeiros.","-47.51669","-14.29747","1000","1000","NY00818299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00906921","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","angustissima","Eugenia angustissima","H. S. Irwin","9633","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906921","Magnoliophyta","Myrtales","O.Berg","C. M. D. E. Legrand","1965","10","28","Distrito Federal","Brasília","Chapada da Contagem, ca. 20 km N.E. of Brasília","-47.78471","-15.6555","1000","1000","NY00906921_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","818295","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","angustissima","Eugenia angustissima","A. Macedo","2671","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=860066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818295","Magnoliophyta","Myrtales","O.Berg","M. Sobral","1950","10","31","Goiás","Jataí","Queixada.","-51.7142","-17.8817",NA,NA,"NY00818295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00906922","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","angustissima","Eugenia angustissima","H. S. Irwin","9723","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906922","Magnoliophyta","Myrtales","O.Berg","C. M. D. E. Legrand","1965","11","01","Goiás","Cristalina","Serra dos Cristais. 5 km W. of Cristalina","-47.6","-16.79518","1175","1175","NY00906922_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","818297","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","angustissima","Eugenia angustissima","H. S. Irwin","7240","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=860078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818297","Magnoliophyta","Myrtales","O.Berg","M. Sobral","1964","10","23","Goiás","Caiapônia","Ca. 48 km. S. of Caiapônia on road to Jataí. Serra do Caiapó.","-51.78","-17.2","800","1000","NY00818297_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1145944","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","angustissima","Eugenia angustissima","P. G. Delprete","10537","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1323819' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145944","Magnoliophyta","Myrtales","O.Berg","M. Sobral","2007","12","21","Goiás","Pirenópolis","Serra dos Pireneus. Estrada para a subida da serra desde Pirenópolis, primeira estrada da chão para a Chachoeira da Andorinha.","-48.9267","-15.8397","800","800","NY01145944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00981234","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","herbacea","Eugenia herbacea","H. S. Irwin","7298","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981234","Magnoliophyta","Myrtales","O.Berg","C. M. D. E. Legrand","1964","10","24","Goiás","Jataí","Ca. 30 km. N. of Jataí, on rd. to Caiapônia. Serra do Caiapó.","-51.7","-17.3","800","1000","NY00981234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00981209","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","herbacea","Eugenia herbacea","H. S. Irwin","7298","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981209","Magnoliophyta","Myrtales","O.Berg","C. M. D. E. Legrand","1964","10","24","Goiás","Jataí","Ca. 30 km. N. of Jataí, on rd. to Caiapônia. Serra do Caiapó.","-51.7","-17.3","800","1000","NY00981209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
