"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","fieldNumber","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4106167","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","R. M. Harley","22490","1980","05","24","South America","Brazil","Bahia","Palmeiras","Serras dos Lençois. Middle and upper slopes of Pai Inácio ca. 15 km. N.W. of Lençois, just N. of the main Seabra-Itaberaba road","-41.47","-12.45","900","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4422813' target='other'> <mi>dwc_moreinfo</mi></a>","NY04106167","NY04106167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","803914","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","R. M. Harley","19685","1977","03","19","South America","Brazil","Bahia",NA,"Serra das Almas. Middle and upper N.E. slopes of the Pico das Almas, ca. 25 km. W.N.W. of the Vila do Rio de Contas.","-41.95","-13.55","1600","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803914","NY00803914_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:43:11-03","UNEB","HUNEB","1648","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi","Goyder","Harley, R.M.","53649","1999","03","27",NA,"Brasil","Bahia","Rio de Contas","subida para o Pico das Almas.","-41.961667","-13.524444","1697","1697",NA,NA,"HUNEB0001648",NA,NA,"Dicotyledoneae","41W57'42''","13S31'28''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-19 15:43:11-03","UNEB","HUNEB","6101","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi","Goyder","Harley, R.M.","53649","1999","03","27",NA,"Brasil","Bahia","Rio de Contas","Subida para o Pico das Almas.","-41.961667","-13.524444",NA,NA,NA,NA,"HUNEB0006101",NA,NA,"Dicotyledoneae","41W57'42''","13S31'28''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:19:58-03","NBC","NL-BOTANY","U 0096713","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley RM; Mayo SJ; Storr RM; Santos TS dos; Pinheiro RS",NA,"1977","03","19","Southern America","Brazil","Bahia",NA,"Middle and upper N.E. slopes of the Pico das Almas c. 25 km. W.N.W. of the Vila do Rio de Contas.","-41.95","-13.55",NA,NA,NA,"Sandstone conglomerate metamorphic and quartzite rock outcrop with associated scrubby vegetation with damp flushes and grassland and marsh in some areas. This plant growing on summit ridge.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200096713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0096713","NL-U0096713","isotype","Magnoliopsidae","-41.95","-13.55","110899",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:19:58-03","NBC","NL-BOTANY","U.1102856","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Harley RM; et al.",NA,"1980","05","24","Southern America","Brazil",NA,NA,"Middle and upper slopes of Pai Inácio ca. 15 km N.W. of Lençois, just N. of the main seabra-Itaberaba road. Município of Palmeiras.","-41.466667","-12.45",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102856","NL-U1102856",NA,"Magnoliopsidae","-41.466667","-12.45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 10:59:57-03","ESALQ","ESA","22934","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Sano, P.T. et al.",NA,"1994","02","26",NA,"Brasil","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"ESA022934","ESA022934",NA,NA,NA,NA,NA,"Konno, T.","26531","auto",NA,NA,NA,NA,NA
"8","2021-03-31 13:35:12-03","MN","R","217360","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Sano, P.T. 14610; Atkins, S.; Sakuragui, C.M.; Harley R.M. & Souza, V.C.",NA,"1994","02","26",NA,"Brasil","Bahia","Abaíra-Catolés",NA,"-41.908056","-13.290833","1750","1750",NA,NA,"R000217360",NA,NA,NA,"41°54'29W","13°17'27S",NA,"Rapini, A.",NA,NA,"1997","07",NA,NA,NA
"9","2021-01-14 15:21:54-03","MN","R","217359","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Grill, A.A. 31; Conceição, A.A.",NA,"1996","08","18",NA,"Brasil","Bahia","Lençóis",NA,"-41.3899993896484","-12.563099861145",NA,NA,NA,NA,"R000217359",NA,NA,NA,NA,NA,NA,"Conceição, A.A.","47385","auto","1997","06",NA,NA,NA
"10","2020-04-22 16:17:30-03","UFPB","JPB","33018","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Apocynaceae","Metastelma","harleyi","Metastelma harleyi","Fontella","Rapini, A","1058","2003","04","19","Southern America","Brasil","Bahia","Rio de Contas","Serra da Nesa, caminho Mato Grosso - Itobira.&nf;Campo Rupestre.","-41.866667","-13.383333","1500","1500",NA,"; DESC: Trepadeira. Flores alvas.",NA,NA,NA,NA,"-41.866667","-13.383333",NA,"Rapini, A",NA,NA,"2003",NA,NA,NA,NA
