"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","recordNumber","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","typeStatus","eventTime","fieldNumber","individualCount","sex"
"1","2021-04-05 14:34:03-03","UNESC","CRI","2835","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle","L.","E. F. Guim","1971","C. G. Leal; et al.","1950","07","06","Brasil","Pernambuco","Recife","Mata de Maranguape.","-34.881389","-8.054444","34º52'53''W","8º3'16''S","6","6","Habito: arbustiva","CRI008725","CRI008725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:56-03","E","E","180483","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle",NA,NA,NA,"Susana Ponce","2002","02","04","PE",NA,NA,"Estero Algarrobo, a 20 m. hacia afuera del Santuario Nacional Los Manglares de Tumbes. Provincia Zarumilla. Departamento de Tumbes.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00180483 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00180483",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:173099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:56-03","E","E","180484","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle",NA,NA,NA,"Susana Ponce","2002","02","04","PE",NA,NA,"A 20 m. a las afueras del Santuario Nacional Los Manglares de Tumbes. Provincia de Zarumilla. Departamento de Tumbes.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00180484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00180484",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:173101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00955247","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle","L.","A. C. Smith",NA,"R. de Lemos Fróes","1932","07","09","Brazil","Maranhão","Cândido Mendes","Maracassumé River Region","-45.7278872","-1.456347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955247","NY00955247_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","1762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","413414","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle","L.",NA,NA,"G. F. J. Pabst","1962","02","19","Brazil","Rio de Janeiro","Mangaratiba","Ilha da Madeira próximo Itacuruçá","-44.0406","-22.9597",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413414","NY00413414_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","6320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1462187","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle","L.","D. M. Cavalcanti Ferreira",NA,"D. M. Cavalcanti Ferreira","2010","11","12","Brazil","Pernambuco","Goiana","RPPN Fazenda Tabatinga. Manguezal.","-34.8206","-7.6061",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551674' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462187","NY01462187_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02199395","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle","L.",NA,NA,"E. F. von Glocker",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2331065' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199395","NY02199395_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1624120","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle","L.",NA,NA,"F. R. Fosberg","1962","07","05","Trinidad and Tobago",NA,NA,"Caroni Swamp. Abundant along old canal in Rhizophora swamp. Trinidad.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1845518' target='other'> <mi>dwc_moreinfo</mi></a>","NY01624120","NY01624120_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","42543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","413421","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle","L.",NA,NA,"R. P. Belém","1966","10","31","Brazil","Bahia","Santa Cruz Cabrália","2-4 Km a W de Sta. Cruz de Cabrália, pela estrada antiga. Folha SE-24 (16-39c).","-39.0440986","-16.2986237",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413421","NY00413421_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","2809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1145575","PreservedSpecimen","Plantae","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle","L.","N. L. de Menezes",NA,"N. L. de Menezes","2007","07","15","Brazil","Pernambuco",NA,"Porto de Galinhas. Mangue situado um pouco além da prais do Muro Alto.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320521' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145575","NY01145575_01","South America","sheet",NA,"Magnoliophyta","Malpighiales","1427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
