"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","individualCount","fieldNumber","infraspecificEpithet","typeStatus","preparationType"
"1","2020-02-08 10:15:57-03","NBC","NL-BOTANY","L.1211638","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Comastri Filho JA","1979","11","28","Southern America","Brazil","Mato Grosso do Sul","Brazil Centro Oeste Mato Grosso do Sul Corumbá","L 0363956","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1211638 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1211638","NL-L1211638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:15:57-03","NBC","NL-BOTANY","U.1485122","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Ratter JA; et al.","1968","06","21","Southern America","Brazil",NA,"Mato Grosso, 8 km E.of the Base Camp of the Expedition ( Base Camp, c. 270km N. of Xavantina on the Xavantina - São Felix road). Growing in low grassy campo burned 6weeks prior to collection.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1485122 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1485122","NL-U1485122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-19 10:24:45-03","CPAP","CPAP","1995","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Pott, A.","1985","12","10",NA,"Brasil","MS","Fazenda Acurizal; Sub-região do Nabileque; Pantanal - Piquetão do Acurizal (retiro)",NA,"Erva cespitosa de12m de altura. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: . AMBIENTE: Paratudal (savana de Tabeuia caraiba).. SUBSTRATO: solo argiloso (Calciaquoll). RELEVO: Plano com termiteiros. (murundu).",NA,NA,"A. Pott","1985","12","10","2112","Corumbá","-57.333333","-19.666667","57°20' W","19°40' S","90","90",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-19 10:24:45-03","CPAP","CPAP","202","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Pott, A.","1980","04","29",NA,"Brasil","MS","Fazenda Nhumirim; Sub-região da Nhecolândia; Pantanal",NA,"Erva cespitosa. Duas formas: folhas glaucas e avermelhadas. INTERESSE: Forrageira. AMBIENTE: Campo alagável, beira de lagoa. SUBSTRATO: solo arenoso (Podzol Hidromorfico). RELEVO: plano. <ll>dwc_commonname:</ll> Rabo-de-burro",NA,NA,NA,NA,NA,NA,"1036","Corumbá","-56.65","-18.983333","56°39' W","18°59' S","90","90",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-19 10:24:45-03","CPAP","CPAP","25094","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Pott, V. J.","2001","04","18",NA,"Brasil","MS","Fazenda Sapucaia e rio Paráguai, Pantanal do Nabileque.",NA,"Erva cespitosa, . Frequente. Campo alagável com murunduns, na época seca, com gado. Solo: argiloso.. Relevo: levemente inclinado.",NA,NA,NA,NA,NA,NA,"4587","Corumbá","-57.6334","-19.764333","57°38'0,24''W","19°45'51,6''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-19 10:24:45-03","CPAP","CPAP","2651","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Pott, A.","1986","11","21",NA,"Brasil","MS","Fazenda Santa Rosa; Sub-região do Paiaguás; Pantanal - ponto 3",NA,"Erva cespitosa. INTERESSE: Forrageira. AMBIENTE: Campo alagável com canjiqueiras (Byrsonima Orbignyana). SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,"A. Pott",NA,NA,NA,"2367","Corumbá","-55.333333","-17.833333","55°20' W","17°50' S","167","167",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-19 10:24:45-03","CPAP","CPAP","2851","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Pott, A.","1987","02","24",NA,"Brasil","MS","Fazenda Santa Rosa; Sub-região do Paiaguás; Pantanal - ponto 1",NA,"Erva cespitosa. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: . AMBIENTE: Campo alagado (5cm). SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,"A. Pott","1987","02",NA,"2486","Corumbá","-55.333333","-17.833333","55°20' W","17°50' S","167","167",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-19 10:24:45-03","CPAP","CPAP","3398","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Pott, A.","1987","06","25",NA,"Brasil","MS","Fazenda Acurizal; Sub-região do Nabileque; Pantanal - invernada Canjiqueiral (2,4km Leste do acesso, junto a BR-262) - ponto 90",NA,"Erva cespitosa ereta. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: Frequente. AMBIENTE: Paratudal (savana de Tabebuia caraiba) com Canjiqueira (Byrsonima orbignyana), em murundu (monticulo de 0,3-1,2m altura) .. SUBSTRATO: solo argiloso (Calciaquo",NA,NA,"A. Pott","1987","06","25","3043","Corumbá","-57.133333","-19.633333","57°08' W","19°38' S","85","85",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-19 10:24:45-03","CPAP","CPAP","11147","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Schessl, M.","1992","02","17",NA,"Brasil","MT","Fazenda Ipiranga",NA,NA,NA,NA,NA,NA,NA,NA,"1702921011c","Poconé","-56.6227989196777","-16.2567005157471",NA,NA,NA,NA,"200792","auto",NA,NA,NA,NA,NA,NA
"10","2020-11-19 10:24:45-03","CPAP","CPAP","11157","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Andropogon","hypogynus","Andropogon hypogynus","Hack.","Schessl, M.","1992","03","12",NA,"Brasil","MT","Fazenda San Diego - rodovia estadual nº50, (Poconé-Porto Cercado) Km 16,9",NA,NA,NA,NA,NA,NA,NA,NA,"1203921023","Poconé","-56.6227989196777","-16.2567005157471",NA,NA,NA,NA,"200792","auto",NA,NA,NA,NA,NA,NA
