"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:40:41-03","E","E","212418","PreservedSpecimen","Plantae","Leguminosae","Inga","capitata","Inga capitata","Reidel","118","E. Tropical South America","BR","Prope Ilheoss.","herbarium specimen of unspecif","BGBASE:226807","<a href=http://data.rbge.org.uk/herb/E00212418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","408831","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","A. M. Amorim","1117","South America","Brazil","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Picada da Bandeira","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408831","Magnoliophyta","Fabales","Desv.","J. W. Grimes","1993","03","08","Bahia","Una","-39.08","-15.15","NY00408831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02144638","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","G. Pereira-Silva","16334","South America","Brazil","estrada a esquerda, no final do ramal Primavera.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326566' target='other'> <mi>dwc_moreinfo</mi></a>","NY02144638","Magnoliophyta","Fabales","Desv.",NA,"2012","08","18","Rondônia","Porto Velho","-65.1183","-9.6161","NY02144638_01","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02144647","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","G. Pereira-Silva","16419","South America","Brazil","Modulo Mutum transecto 6, parcela 4. Margem direita do rio Madeira.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326629' target='other'> <mi>dwc_moreinfo</mi></a>","NY02144647","Magnoliophyta","Fabales","Desv.","F. Bonadeu da Silva","2012","10","21","Rondônia","Porto Velho","-65.0458","-9.6164","NY02144647_01","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","408822","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","L. Vargas","947","South America","Bolivia","Rio Negro, tributario del Rio Abuná. Campamento Mocú, borde del Rio Negro a 15km suroeste de la boca. A 3 horas en bote lento de Fortaleza","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408822","Magnoliophyta","Fabales","Desv.","T. D. Pennington","1992","07","16","Pando","Federico Román","-65.7","-9.87",NA,"150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","389168","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","B. M. Boom","2088","South America","French Guiana",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389168","Magnoliophyta","Fabales","Desv.","O. Poncy","1982","10",NA,NA,NA,NA,NA,NA,"200","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","413879","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","T. C. Plowman","13924","South America","Brazil","Morro do Alto Moirao","sheet",NA,"Andreata collection number 639 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413879","Magnoliophyta","Fabales","Desv.",NA,"1985","02","12","Rio de Janeiro","Niterói","-43.1036","-22.8833","NY00413879_01","220","240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02878148","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","I. Brasil","262","South America","Brazil","Área de Proteção Ambiental Irineu Serra.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1414614' target='other'> <mi>dwc_moreinfo</mi></a>","NY02878148","Magnoliophyta","Fabales","Desv.","T. D. Pennington","2007","05","23","Acre","Rio Branco","-67.8714","-9.9289","NY02878148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1292932","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","B. V. Rabelo","3669","South America","Brazil","Rio Anajás. Ilha do Marajó","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1570470' target='other'> <mi>dwc_moreinfo</mi></a>","NY01292932","Magnoliophyta","Fabales","Desv.","T. D. Pennington","1987","10","31","Pará",NA,"-49.92","-0.98","NY01292932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01132142","PreservedSpecimen","Plantae","Fabaceae","Inga","capitata","Inga capitata","B. A. Krukoff","6447","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1322301' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132142","Magnoliophyta","Fabales","Desv.","O. Poncy",NA,NA,NA,"Amazonas",NA,NA,NA,"NY01132142_01 NY01132142_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
