"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","identifiedBy","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","dayIdentified","individualCount"
"1","2020-09-23 10:44:20-03","E","E","414312","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana","isotype","Harley, R.M.","19226","1977","03","02","E. Tropical South America","BR","Bahia","19.5 km SE of the town of Moro do Chapeu on the BA 052 road to Mundo Novo, by the Rio Ferro Doido","900","900","herbarium specimen of unspecif","BGBASE:453228","<a href=http://data.rbge.org.uk/herb/E00414312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00414312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","83785","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana","type","R. M. Harley","19226","1977","03","02","South America","Brazil","Bahia","Morro do Chapeu. 19.5 km. southeast of town of Morro do Chapeu on the BA 052 road to Mundo Novo, by the Rio Doido","900","900","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00083785","Magnoliophyta","Lamiales","Moldenke","-41.03","-11.63","NY00083785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","571767","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana",NA,"A. Furlan","307","1980","11","30","South America","Brazil","Bahia",NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571767","Magnoliophyta","Lamiales","Moldenke","-39.039072","-15.159747","NY00571767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","571768","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana",NA,"R. M. Harley","22835","1980","05","31","South America","Brazil","Bahia","Morro do Chapeu. Rio do Ferro Doido, 19.5 km. SE of Morro do Chapeu on the BA 052 highway to Mundo Novo","900","900","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571768","Magnoliophyta","Lamiales","Moldenke","-41.03","-11.63","NY00571768_01","G. Bromley","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01095810","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana",NA,"E. B. dos Santos","314","2001","08","07","South America","Brazil","Bahia","A 6 km de Maraú, na estrada para Ubaitaba",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488911' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095810","Magnoliophyta","Lamiales","Moldenke","-39.0144","-14.1033","NY01095810_01","S. Atkins","Maraú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","571839","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana",NA,"R. M. Harley","18239","1977","01","25","South America","Brazil","Bahia","3 km North of Comandatuba, SE of Una",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571839","Magnoliophyta","Lamiales","Moldenke","-39","-15.33","NY00571839_01","F. R. G. Salimena","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","571840","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana",NA,"R. M. Harley","18239","1977","01","25","South America","Brazil","Bahia","3 km North of Comandatuba, SE of Una",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571840","Magnoliophyta","Lamiales","Moldenke","-39","-15.33","NY00571840_01","F. R. G. Salimena","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","571769","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana",NA,"S. A. Mori","14044","1981","05","22","South America","Brazil","Bahia","Lagoa de Abaeté, NE edge of the city of Salvador",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571769","Magnoliophyta","Lamiales","Moldenke","-38.357405","-12.944359","NY00571769_01","H. N. Moldenke","Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:25:34-03","UFBA","ALCB","035260a","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana",NA,"Giulietti, AM; Bautista, HP; Smith, S; Harley, RM; Hind, DJN","PCD3243","1996","06","29","Southern America","Brasil","Bahia","Piemonte da Diamantina, Estrada Morro do Chapéu-Jacobina","950","950",NA,NA,"2,20 m, odor esquisito. Folhas papiráceas, discolores, face adaxial verde-escuro, abaxial verde-claro. Flores de corola de tubo vináceo, superiormente amarelado, parte expandida lilás-claro, fauce e tubo internamente amarelos.; Arbustos e pequenas ár",NA,"Dicotyledon",NA,"Moldenke","-41.084444","-11.482778",NA,"Silva, TRS","Morro do Chapéu","2008","07","-41.084444","-11.482778",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:25:34-03","UFBA","ALCB","035349","PreservedSpecimen","Plantae","Verbenaceae","Lippia","bromleyana","Lippia bromleyana",NA,"Silva, LB da; Harley, RM; Gasson, P; Nic Lughadha, E","PCD6036","1997","03","05","Southern America","Brasil","Bahia","Piemonte da Diamantina, Cachoeira do Rio Ferro Doido",NA,NA,NA,NA,"2,00 m, ramificado. Folhas coriáceas, discolores, face adaxial verde-escuro, abaxial glauca, aromáticas. Brácteas involucrais creme-esverdeadas, corola lilás a rosa, fauce amarela passando a lilás.; Campo rupestre",NA,"Dicotyledon",NA,"Moldenke","-41.000833","-11.628333",NA,"Harley, RM","Morro do Chapéu","1997","03","-41.000833","-11.628333",NA,NA,NA,NA,NA,NA,NA
