"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","identifiedBy","typeStatus","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:38:32-03","E","E","153134","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","elegans","Cyperus elegans","Spruce, R.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160307","<a href=http://data.rbge.org.uk/herb/E00153134 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:32-03","E","E","153162","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","Morong, Thomas","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:160275","<a href=http://data.rbge.org.uk/herb/E00153162 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153162","353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:32-03","E","E","153163","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","Morong, Thomas","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:160274","<a href=http://data.rbge.org.uk/herb/E00153163 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153163","562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:32-03","E","E","153164","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","Hassler, E.","New Guinea","PY","herbarium specimen of unspecif","BGBASE:160273","<a href=http://data.rbge.org.uk/herb/E00153164 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153164","12439","1905","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:32-03","E","E","153165","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","Hassler, E.","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:160272","<a href=http://data.rbge.org.uk/herb/E00153165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153165",NA,"1905","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:32-03","E","E","153166","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","Dubs, Balthasar","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160271","<a href=http://data.rbge.org.uk/herb/E00153166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153166","875","1988","06","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01174575","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","elegans","Cyperus elegans","H. H. Rusby","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396016' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174575","89","1886","10",NA,"Magnoliophyta","Poales","L.","Rondônia","Falls of Madeira","-65.3465375","-10.7798649","NY01174575_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","687129","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","elegans","Cyperus elegans","A. F. C. P. Saint-Hilaire","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687129","A424","1816",NA,NA,"Magnoliophyta","Poales","L.","Rio de Janeiro",NA,NA,NA,"NY00687129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","687128","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","elegans","Cyperus elegans","M. Dupré","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687128","s.n.","1842",NA,NA,"Magnoliophyta","Poales","L.",NA,"Brésil Méridional.",NA,NA,"NY00687128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 15:00:00-03","NY","NYBG","11764","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","elegans","Cyperus elegans major","O. L. Haught","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00011764","6","1928",NA,NA,"Magnoliophyta","Poales","Kük.","Piura",NA,NA,NA,"NY00011764_01","major","H. T. O'Neill","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00919019","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","H. L. de M. Barreto","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919019","10558","1940","01","06","Magnoliophyta","Poales","Vahl","Minas Gerais","Lapinha.","-43.8894","-19.6272","NY00919019_01",NA,"H. K. Svenson",NA,"Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","622677","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","P. C. Orth","South America","Brazil","sheet",NA,"Herbario Anchieta <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622677","682","1937","10","25","Magnoliophyta","Poales","Vahl","Rio Grande do Sul","In paludosis, Esteio.",NA,NA,"NY00622677_01",NA,"H. T. O'Neill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00939698","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","C. M. A. Rodrigues","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939698","24","1998","01","05","Magnoliophyta","Poales","Vahl","Mato Grosso do Sul","Pantanal do Miranda-Abobral. Passo do Lontra. Rodovia MS 184. Fazenda Boa Sorte. Pirizal a beira da estrada.","-57.6531","-19.0094","NY00939698_01",NA,NA,NA,"Corumbá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-10-19 09:35:00-02","NY","NYBG","668444","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","giganteus","Cyperus giganteus","C. D. Játiva","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668444","2123","1967","08","05","Magnoliophyta","Poales",NA,"Esmeraldas","Near Borbon, abundant along river banks.",NA,NA,NA,NA,"G. C. Tucker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
