"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2017-06-09 15:58:00-03","NY","NYBG","02852092","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","I. Friis; C. M. Wilmot-Dear","L. J. Dorr","6725","1989","12","13","South America","Bolivia","La Paz","Sud Yungas","Ca. 9 km from Huancané on the road to San Isidro","-67.53","-16.37","2540","2540","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3141603' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852092","NY02852092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:32:47-03","UFRJ","RFA","17206","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","William C. Burger","Jacob L. Whitmore","93","1967","09","23",NA,"Costa Rica",NA,"Costa Rica","Prov. Cartago. Growing in dense shade along bank of stream. Basin of stream to the right of and above abandoned tunnel, 10 km east of Caché, going toward Tucurrique",NA,NA,"1090","1090",NA,NA,"RFA50320",NA,"Wedd.","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:26:44-03","NBC","NL-BOTANY","L 0942389","PreservedSpecimen","Plantae",NA,"Rosales","Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Jardim A; et al.",NA,"1994","02","06","Southern America","Bolivia","Santa Cruz",NA,"Al camino 40 km este de Samaipata.",NA,NA,NA,NA,NA,"Bosque pie de monte húmeda con muchas valles. Hay Schinus, Croton, Ilex, Cariniana estrellensis, Licania triandra, Sorocea, arte epífitas. Substrato arenosa sobre roca (dolomite).<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200942389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0942389",NA,"Wedd.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:26:44-03","NBC","NL-BOTANY","L 0942390","PreservedSpecimen","Plantae",NA,"Rosales","Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Lewis MA",NA,"1991","11","29","Southern America","Bolivia","La Paz",NA,"Río Churu- Following the Río Churu from 200 m W. of Aguilani to 1 km above the main fork up river. 3 km SE of the ruins of Choquecamiri, 17 km N. of Choquetanga.","-67.333333","-16.7",NA,NA,NA,"Riverine woodlands and mattorals, often dominated by Acalypha in the deep canyon.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200942390 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0942390",NA,"Wedd.",NA,"Magnoliopsidae","-67.333333","-16.7",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:26:44-03","NBC","NL-BOTANY","L.1619856","PreservedSpecimen","Plantae",NA,"Rosales","Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Herzog T",NA,"1911","02","01","Southern America","Bolivia",NA,NA,"Plantae in itinere secundo per Boliviam lectae. Baumstrauch im Bergwald von Tres Cruces, Kordillere von Santa Cruz.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1619856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1619856","NL-L1619856","Wedd.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:26:44-03","NBC","NL-BOTANY","U.1753951","PreservedSpecimen","Plantae",NA,"Rosales","Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Solomon JC",NA,"1983","01","25","Southern America","Bolivia",NA,NA,"Dpto. La Paz, Prov. Nor Yungas, 4.5 km below Yolosa, then 13.7 km W on road up Río Huarinilla.","-67.833333","-16.2",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753951 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753951","NL-U1753951","Wedd.",NA,"Magnoliopsidae","-67.833333","-16.2",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:26:44-03","NBC","NL-BOTANY","U.1753952","PreservedSpecimen","Plantae",NA,"Rosales","Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Solomon JC",NA,"1987","11","12","Southern America","Bolivia",NA,NA,"Dpto. La Paz, Prov. Nor Yungas, 1 km al O de Yolosa por el camino a Unduavi, Vado del Río Cedro.","-67.75","-16.216667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753952","NL-U1753952","Wedd.",NA,"Magnoliopsidae","-67.75","-16.216667",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:26:44-03","NBC","NL-BOTANY","U.1754071","PreservedSpecimen","Plantae",NA,"Rosales","Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia",NA,"Regnell AF",NA,"1847","05","01","Southern America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1754071 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1754071","NL-U1754071","Wedd.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:42:30-03","UNICAMP","UEC","77310","S","Plantae","Magnoliopsida",NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Gaglioti, AL","Toledo, DV; Bertoni, JEA","25972","1990","11","12",NA,"Brazil","São Paulo","Águas da Prata","Reserva Estadual de Águas da Prata., mata mesófila semidecídua","-47.333333","-21.866667",NA,NA,NA,"arbusto 2-3m, interior de mata, ramo c/ folhas","UEC007019",NA,"Wedd.","2010",NA,"-47.333333","-21.866667","03","03",NA,NA,NA,NA,NA
"10","2021-03-01 16:42:30-03","UNICAMP","UEC","35628","S","Plantae","Magnoliopsida",NA,"Urticaceae","Boehmeria","ulmifolia","Boehmeria ulmifolia","Gaglioti, AL","Weyland Vieira, MC","298","1982","02","21",NA,"Brazil","Minas Gerais","Monte Belo","Fazenda Monte Alegre","-46.3675003051758","-21.3264007568359",NA,NA,NA,"herbácea (Mato Mundo Novo), maior parte com frutos verdes, 2 frutos pretos.","UEC007037",NA,"Wedd.","2010",NA,NA,NA,"03","03","16667","auto",NA,NA,NA
