"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","phylum","order","county","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","typeStatus","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"1","2008-05-27 22:02:00-03","MO","MOBOT","3331746","PreservedSpecimen","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance","G.T. Prance","James L. Zarucchi","Zarucchi 3100","1983","7","19","South America","Brazil","Amazonas","Mun. de Maués, basin of Rio Maués, Rio Urupadi, at mouth of Igarapé Quininha, forest on terra firme.","-57.28333","-3.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","3331748","PreservedSpecimen","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance","G.T. Prance","James L. Zarucchi","Zarucchi 3079","1983","7","19","South America","Brazil","Amazonas","Mun. de Maués, basin of Rio Maués, Rio Urupadi, trail leading E ca. 4 km from mouth of Igarapé Quininha, forest on terra firme.","-57.26666","-3.71666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","3383855","PreservedSpecimen","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance","G.T. Prance","Carol A. Todzia","Todzia 2295","1983","7","2","South America","Brazil","Amazonas","Mun. de Nova Olinda. Rio Paca, tributary of the Rio Mari Mari. Terra firma forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-10 20:45:02-03","INPA","INPA","154334","S","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance",NA,"Zarucchi, JL","3079","1983","07","19","Southern America","Brasil","Amazonas","Basin of Rio Maués, Rio Urupadi, trail leading E ca. 4 Km from mouth of igarapé Quininha","-57.266667","-3.716667","Dicotyledon Com-Clade","Malpighiales","Maués","-57.266667","-3.716667","INPA0154334","INPA0154334 INPA0154334_e INPA0154334_e1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-10 20:45:02-03","INPA","INPA","154355","S","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance",NA,"Zarucchi, JL","3100","1983","07","19","Southern America","Brasil","Amazonas","Basin of Rio Maués, Rio Urupadi, at mouth of igarapé Quininha","-57.283333","-3.75","Dicotyledon Com-Clade","Malpighiales","Maués","-57.283333","-3.75","INPA0154355","INPA0154355 INPA0154355_e INPA0154355_e1",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-08-31 09:00:47-03","INPA","INPA","36358","S","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance","Prance, GT","Silva, MF da","267","1972","07","08","Southern America","Brasil","Amazonas","BR 319, km 113, Rodovia BR-319 (Manaus-Porto velho), km 113. Solo argiloso.","-60.36","-3.75","Dicotyledon Com-Clade","Malpighiales",NA,"-60.36","-3.75","INPA0036358","INPA0036358 INPA0036358_e INPA0036358_e1","1974","05","paratype",NA,NA,NA,NA,NA
"7","2020-08-31 09:00:47-03","INPA","INPA","36558","S","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance",NA,"Silva, MF da","467","1972","07","11","Southern America","Brasil","Amazonas","BR-319, Estrada entre o Rio Araça e o Lago do Castanho, em direção ao Careiro","-60.333333","-3.833333","Dicotyledon Com-Clade","Malpighiales","Careiro","-60.333333","-3.833333","INPA0036558","INPA0036558 INPA0036558_e INPA0036558_e1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-08-31 09:00:47-03","INPA","INPA","36581","S","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance","Prance, GT","Silva, MF da","490","1972","07","12","Southern America","Brasil","Amazonas","BR 319, Rio Araça a Lago do Castanho, Estrada Manaus-Porto Velho, trecho compreendido entre os rios Castanho e Araça. Mata de terra firme. Solo argiloso, úmido.","-60.36","-3.75","Dicotyledon Com-Clade","Malpighiales",NA,"-60.36","-3.75","INPA0036581","INPA0036581 INPA0036581_1 INPA0036581_1e INPA0036581_1e1","1974","05","paratype",NA,NA,NA,NA,NA
"9","2020-08-31 09:00:47-03","INPA","INPA","36913","S","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance",NA,"Silva, MF da","822","1972","07","17","Southern America","Brasil","Amazonas","BR 319, Rio Castanho a Rio Tupana, Estrada Manaus-Porto Velho, trecho entre os rios Castanho e Tupana. Mata de terra firme. Solo argiloso.","-60.581253","-4.00674","Dicotyledon Com-Clade","Malpighiales",NA,"-60.581253","-4.00674","INPA0036913","INPA0036913 INPA0036913_e INPA0036913_e1",NA,NA,"holotype",NA,NA,NA,NA,NA
"10","2020-08-31 09:00:47-03","INPA","INPA","37118","S","Plantae","Chrysobalanaceae","Couepia","marleneae","Couepia marleneae","Prance",NA,"Silva, MF da","1027","1972","07","22","Southern America","Brasil","Amazonas","BR-319, Furo do Castanho, estrada Araça Castanho","-60.3692016601562","-3.76805996894836","Dicotyledon Com-Clade","Malpighiales","Careiro",NA,NA,"INPA0037118","INPA0037118 INPA0037118_e INPA0037118_e1",NA,NA,NA,"91135","auto",NA,NA,NA
